PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	98	0.5213	0.5821667	0.6375	201.0696	2381.0341796875	8615.794921875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	13.05034	201.01112:1075 201.07257:2884 202.06036:936 203.00642:578 203.06848:583 203.1602:472 203.96495:239 204.0442:1627 204.94501:3640 204.99551:11235 205.96027:515 206.00191:969 206.03683:562	
1	Unknown	98	0.5434167	0.5821667	0.6430333	215.0042	4384.6513671875	16394.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	27.31779	215.0042:5049 215.11922:253 216.00801:697 216.06102:427 216.94263:211 217.04976:5919 217.10106:1602 218.03644:1953 218.10074:381 219.0128:1264 219.10822:514	
2	Unknown	98	0.5268334	0.5821667	0.6430333	217.0498	5029.39208984375	19556.232421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.67989	216.94263:211 217.04976:5919 217.10106:1602 218.03644:1953 218.10074:381 219.0128:1264 219.10822:514 220.10107:228 220.97272:316 221.11644:430 222.01176:394	
3	Unknown	99	0.5268334	0.5877	0.6541	142.034	4574.1455078125	17208.224609375	null	[M+H]+	M + 0	similar chromatogram in higher mz_0	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	19.41996	141.96638:2082 142.03381:5427 142.1364:205 142.97073:515 143.02907:2146 143.96349:2102 143.99109:1007 144.02841:1363 144.06818:304 145.01137:1557 145.9635:315 146.01947:710 146.91829:552	
4	Unknown	99	0.5157667	0.5877	0.6430333	158.0123	18665.806640625	82808.90625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	27.89048	157.9733:2822 158.0123:22920 158.12202:567 158.99759:7771 159.97058:678 160.00586:678 162.00539:1273 162.98627:480	
5	Unknown	99	0.5323667	0.5877	0.6485667	173.9841	9915.35546875	37927.046875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	43.07304	173.98412:11269 174.99387:1370 175.9868:1621 176.05325:207 177.02345:242 177.09485:653 177.9756:429	
6	Unknown	99	0.5434167	0.5877	0.6707	183.0601	2671.99609375	10956.7255859375	null	[M+H]+	M + 0	similar chromatogram in higher mz_25	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9.014	182.99147:4902 183.06055:3177 183.9769:14561 184.0451:6127 184.98657:5074 185.04605:2009 185.97511:9216 186.03314:2747 186.14787:263 186.22221:236 186.99109:3637 187.96848:542	
7	Unknown	99	0.5378833	0.5877	0.6375	218.0344	1906.13671875	6825.18359375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.86005	217.96957:240 218.03444:2255 218.10223:282 219.0173:1143 219.09726:611 219.14284:240 220.96825:365 221.10022:338 222.01422:511 223.00513:10940	
8	Unknown	99	0.5489666	0.5877	0.6817667	230.0468	2032.68713378906	4367.75048828125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	39.16483	230.04678:2939 231.04938:907 231.10506:265 232.03098:558 233.00066:2791 234.00899:226 234.94969:380 234.99405:225	
9	Unknown	99	0.5102333	0.5877	0.6319667	239.0479	5209.46337890625	14106.9140625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	33.04584	239.0479:5286 239.14267:529 240.03288:2205 241.02602:5145 241.14554:327 242.03101:1331 242.93767:429 243.03598:3553 244.02599:1333	
