,Average RT (min),Average m/z,Average sn,Average score,20181114_CoulterCreek_1,20181114_CoulterCreek_2,20181114_CoulterCreek_3,20181114_Crescent-Creek-Jan_1,20181114_Crescent-Creek-Jan_2,20181114_Crescent-Creek-Jan_3,20181114_Crescent-Creek-May_1,20181114_Crescent-Creek-May_2,20181114_Crescent-Creek-May_3,20181114_MSMS_Miller-Creek-20181025_Site4-HLB_1,20181114_MSMS_Miller-Creek-20181025_Site5down-HLB_1,20181114_MSMS_Miller-Creek-20181025_Site8MW-HLB_1,20181114_RuralCreek_1,20181114_RuralCreek_2,20181114_RuralCreek_3,20181114_SR518-Cal_1000mL_1,20181114_SR518-Cal_1000mL_2,20181114_SR518-Cal_1000mL_3,20181114_SR518-Cal_1000mL_dil-to-1mL_1,20181114_SR518-Cal_1000mL_dil-to-1mL_2,20181114_SR518-Cal_1000mL_dil-to-1mL_3,20181114_SR518-Cal_1000mL_dil-to-10mL_1,20181114_SR518-Cal_1000mL_dil-to-10mL_2,20181114_SR518-Cal_1000mL_dil-to-10mL_3,20181114_SR518-Cal_1000mL_dil-to-25mL_1,20181114_SR518-Cal_1000mL_dil-to-25mL_2,20181114_SR518-Cal_1000mL_dil-to-25mL_3,20181114_SR518-Cal_1000mL_dil-to-60mL_1,20181114_SR518-Cal_1000mL_dil-to-60mL_2,20181114_SR518-Cal_1000mL_dil-to-60mL_3,20181114_SR518-Cal_1000mL_dil-to-160mL_1,20181114_SR518-Cal_1000mL_dil-to-160mL_2,20181114_SR518-Cal_1000mL_dil-to-160mL_3,20181114_SR518-Cal_1000mL_dil-to-400mL_1,20181114_SR518-Cal_1000mL_dil-to-400mL_2,20181114_SR518-Cal_1000mL_dil-to-400mL_3,20181114_SR520-Cal-in-DI_1mL_1,20181114_SR520-Cal-in-DI_1mL_2,20181114_SR520-Cal-in-DI_1mL_3,20181114_SR520-Cal-in-DI_10mL_1,20181114_SR520-Cal-in-DI_10mL_2,20181114_SR520-Cal-in-DI_10mL_3,20181114_SR520-Cal-in-DI_25mL_1,20181114_SR520-Cal-in-DI_25mL_2,20181114_SR520-Cal-in-DI_25mL_3,20181114_SR520-Cal-in-DI_60mL_1,20181114_SR520-Cal-in-DI_60mL_2,20181114_SR520-Cal-in-DI_60mL_3,20181114_SR520-Cal-in-DI_160mL_1,20181114_SR520-Cal-in-DI_160mL_2,20181114_SR520-Cal-in-DI_160mL_3,20181114_SR520-Cal-in-DI_400mL_1,20181114_SR520-Cal-in-DI_400mL_2,20181114_SR520-Cal-in-DI_400mL_3,20181114_SR520-Cal-in-DI_1000mL_1,20181114_SR520-Cal-in-DI_1000mL_2,20181114_SR520-Cal-in-DI_1000mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-1mL_1,20181114_SR520-Cal-in-DI_1000mL_dil-to-1mL_2,20181114_SR520-Cal-in-DI_1000mL_dil-to-1mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-10mL_1,20181114_SR520-Cal-in-DI_1000mL_dil-to-10mL_2,20181114_SR520-Cal-in-DI_1000mL_dil-to-10mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-25mL_1,20181114_SR520-Cal-in-DI_1000mL_dil-to-25mL_2,20181114_SR520-Cal-in-DI_1000mL_dil-to-25mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-60mL_1,20181114_SR520-Cal-in-DI_1000mL_dil-to-60mL_2,20181114_SR520-Cal-in-DI_1000mL_dil-to-60mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-160mL_1,20181114_SR520-Cal-in-DI_1000mL_dil-to-160mL_2,20181114_SR520-Cal-in-DI_1000mL_dil-to-160mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-400mL_1,20181114_SR520-Cal-in-DI_1000mL_dil-to-400mL_2,20181114_SR520-Cal-in-DI_1000mL_dil-to-400mL_3,20181114_SR520-Creek_Mix1_1,20181114_SR520-Creek_Mix1_2,20181114_SR520-Creek_Mix1_3,20181114_SR520-Creek_Mix2_1,20181114_SR520-Creek_Mix2_2,20181114_SR520-Creek_Mix2_3,20181114_SR520-Creek_Mix3_1,20181114_SR520-Creek_Mix3_2,20181114_SR520-Creek_Mix3_3,20181114_SR520-Creek_Mix4A_1,20181114_SR520-Creek_Mix4A_2,20181114_SR520-Creek_Mix4A_3,20181114_SR520-Creek_Mix4B_1,20181114_SR520-Creek_Mix4B_2,20181114_SR520-Creek_Mix4B_3,20181114_SR520-Creek_Mix5A_1,20181114_SR520-Creek_Mix5A_2,20181114_SR520-Creek_Mix5A_3,20181114_SR520-Creek_Mix5B_1,20181114_SR520-Creek_Mix5B_2,20181114_SR520-Creek_Mix5B_3,20181114_SR520-Creek_Mix6A_1,20181114_SR520-Creek_Mix6A_2,20181114_SR520-Creek_Mix6A_3,20181114_SR520-Creek_Mix6B_1,20181114_SR520-Creek_Mix6B_2,20181114_SR520-Creek_Mix6B_3,20181114_SwanCreek-Dec_1,20181114_SwanCreek-Dec_2,20181114_SwanCreek-Dec_3,20181114_SwanCreek-May_1,20181114_SwanCreek-May_2,20181114_SwanCreek-May_3
0,5.696000000000001,200.07405,35.03,1,3339,2477,3796,4698,3918,2252,3100,4444,3279,14036,74715,39193,3829,2730,1465,82880,80090,84703,520,102,143,2265,1292,1399,4124,4974,5807,12863,11105,11409,24928,23987,24049,48506,46458,45235,3705,1364,3113,4857,5875,5303,9655,8775,8777,9184,13484,9953,25697,22707,24741,52611,50461,51693,83163,84642,82750,149,630,261,2564,2669,1371,6352,5308,6788,12964,11883,11327,28890,27136,28977,57948,59436,56410,40738,39908,38963,23670,26514,24680,16419,15727,17367,11123,10460,11593,26707,28582,22854,6210,3153,5840,13326,9977,11114,4635,4520,3769,5471,5255,5571,4397,5408,5311,3060,2645,2647
1,4.3260000000000005,200.12823,16.9,1,1791,2769,2955,2544,1265,2225,2550,5645,3063,153779,146454,189119,967,1055,1018,110586,18219,113183,1318,1092,777,863,916,1517,1747,2715,2953,4393,3186,2378,4427,4441,6404,12401,52207,12007,2126,865,1297,1518,1184,1181,2907,1067,2141,2829,4026,6033,7920,12095,8717,20188,11553,15989,39576,37376,34697,644,1283,1162,959,1110,735,1569,1118,1904,2243,3891,2189,8259,10394,10966,17279,10468,22479,13373,7860,17718,7866,10274,11363,8287,5762,5399,3147,6259,3163,3161,7006,3794,3940,3438,5606,2723,2126,2977,1804,2418,2000,2429,1507,1572,539,2316,2175,3045,1496,802
2,4.22,200.12868999999998,29.97,1,2586,1877,2674,4057,3302,4223,2712,4212,2863,147749,175420,189706,2012,1857,1729,150122,130501,138150,945,1659,851,1993,2551,3750,1842,7239,5401,10739,15776,6710,31991,29816,27060,67774,64436,55721,2083,984,1990,1132,1851,1284,3601,2627,3509,4075,5931,5352,13429,17654,27086,31573,44809,32035,66758,93123,63482,1725,2667,1520,1973,1307,1045,2399,2209,3229,7003,5845,3969,25282,15333,23478,33528,52344,32689,39161,39707,24738,16266,15788,15010,10054,3813,6236,5919,6352,3111,28946,29011,34690,3972,6809,2975,10945,12118,11018,2675,3240,2389,2229,2068,4053,1055,2186,1263,1387,2033,2486
3,5.92,200.16484,192.03,1,1403,166,137,679,388,677,761,1571,1084,40774,87411,137532,472,414,990,187900,182708,183510,1110,1726,657,2390,4471,2803,9912,6938,8747,17974,18249,18506,39928,39970,39943,88982,85874,89680,2659,2505,3539,26569,26197,27304,85642,86148,81784,111197,108975,117669,334783,349745,344311,928752,845472,846609,1271332,1249058,1245259,2472,1833,3732,22887,23603,22115,54245,57706,53570,135527,135765,142344,325967,320256,329690,726957,700111,704661,597594,585410,578614,329919,325115,321337,196633,188255,191332,108502,92644,92686,113404,115250,114716,24297,23532,22863,35263,33860,33161,5076,5455,6572,7230,10364,8871,772,1658,1421,660,474,368
4,5.295,200.20181000000002,23.37,1,0,0,0,0,0,0,102,147,136,0,34312,17085,349,80,120,20203,20770,18202,0,0,0,66,269,240,883,592,496,3481,2578,3388,7631,7763,6246,14726,13410,15183,256,104,147,175,147,192,1211,1253,1412,2549,2731,2351,7242,7769,7673,12580,11485,10390,29678,28118,28546,0,0,0,412,930,758,1722,2913,1715,2692,5031,4496,11354,11981,11623,21283,21696,21087,11303,10555,10408,7012,7903,6614,4075,4243,3803,1864,2086,1735,4641,5136,5032,410,548,411,2618,2292,1549,245,290,188,571,232,868,211,141,193,372,96,333
5,4.641,200.23748999999998,1945.11,1,2018376,2023890,2027945,1785368,1794705,1791695,1611560,1600083,1610465,1217,3793,1056,1984214,1993214,2004312,661854,641012,649288,1035,666,1375,8241,8657,8682,24267,22822,21410,49530,46614,49168,119404,120002,120334,293585,294131,287087,1850426,1859973,1851667,1976577,1974543,1971742,1678486,1664344,1659697,1356902,1353790,1330438,1311359,1272061,1285179,1419709,1401400,1378835,1323934,1313964,1302266,1285,1442,1462,16157,15597,15403,42031,39459,43414,99095,98436,99091,258458,258254,256402,633693,617368,618652,1427643,1408459,1416302,1221833,1234439,1231408,1238819,1214275,1221204,1656362,1655196,1645897,1826083,1808798,1797667,1555836,1543607,1551398,900221,903386,901914,1007566,1011191,994290,1419085,1443243,1444279,1920096,1920621,1908809,1470877,1462266,1467923
6,10.350999999999999,200.23821999999998,345.52,1,4451,2385,1734,4328,976,4121,4877,3082,1965,15594,597589,263834,1640,4438,1380,3658,3440,4231,1551,1469,1661,2789,2678,3304,1093,1269,3287,4041,2362,3900,2087,1435,4111,1475,4493,4617,6642,2186,3943,7161,6617,1780,9818,3705,925,2389,723,1503,13347,11562,11969,12071,7286,7052,3283,7846,923,1866,4020,885,1658,2089,848,1029,1158,4336,746,696,4734,3773,6829,7618,2656,1996,1724,11691,10546,10689,9357,3779,9946,8307,7772,7021,3277,8234,8890,2209,6358,1363,3566,1582,5003,5004,6811,6158,5591,6411,6264,1074,5286,1146,7115,5196,5468,2349,1928,4534
7,5.785,201.03791999999999,9.27,1,314,416,370,1547,958,1168,3787,5328,5673,3377,51755,16073,274,517,415,0,0,0,261,104,76,256,234,125,129,109,117,111,105,136,0,0,0,212,181,163,138,1137,717,286,338,662,1425,539,2074,2124,722,938,3054,2269,669,3840,6311,7583,10444,9426,7892,101,246,130,124,542,219,287,185,315,292,463,886,2308,1596,2717,6137,4909,1848,1837,4005,4026,1676,1017,1893,1340,2612,2044,1510,1295,533,344,165,694,1212,2079,3526,3214,4057,4055,1076,1941,818,734,304,473,604,566,286,374,145,648
8,7.975,201.06631000000002,45.47,1,1927,2026,1977,1908,1709,1054,1208,1864,1748,0,0,0,1100,1723,921,29165,31809,29505,770,1662,1287,1773,3325,1576,1263,2831,2070,4767,2370,1278,12327,6446,4674,18290,16694,19623,1861,1097,2873,997,1856,1378,2408,1085,1438,4234,4932,1348,10169,9979,9140,533,358,255,115478,113659,114259,1262,2438,3553,2845,3376,4140,3272,6463,2374,8236,7532,6959,20193,21340,18149,38605,40956,58519,17138,14382,12916,12407,13360,13282,5472,11737,5807,1132,1988,2448,3219,3653,3582,1071,1315,1157,1211,1130,1796,1475,1989,1607,1584,1653,2044,1295,2208,1899,964,1020,1202
9,6.7010000000000005,201.06813,35.32,1,1788,1331,2554,841,2329,1332,1066,1546,1252,0,0,0,2017,824,1075,0,0,0,1970,1195,1379,1600,2325,902,972,2567,2945,663,1212,986,0,0,0,0,0,0,2658,4189,1629,4037,1326,5560,6625,7675,7959,7128,8252,4260,16262,16481,18539,33999,34123,34133,35807,36265,39436,2842,1867,974,3896,3391,3184,3000,3406,3451,7546,9750,10095,16245,13477,13640,24220,24646,22943,24081,24808,23569,15985,16318,17788,12016,10168,11772,7716,8573,7973,6595,6424,5749,2275,2920,1596,3562,1561,2511,2181,1085,1141,2373,1379,1303,301,1964,1599,1553,692,2014
