,m/z,rt,peak area
0,130.1567,3.59,442483.1389973958
1,135.1004,1.39,179415.2093098958
2,135.1004,3.79,118537.92679850261
3,135.1004,3.98,365263.6365559895
4,135.1004,9.84,131278.0618489583
5,140.0021,21.06,1105750.1829427083
6,140.0021,21.18,1659531.4970703125
7,140.0021,21.3,1941279.3264973958
8,140.0021,21.42,2063498.0218098958
9,142.1578,5.35,122974.47257486978
10,144.1389,6.87,303993.73604329425
11,144.1389,6.99,376389.1870117187
12,149.0224,11.93,388892.9244791666
13,149.0224,12.07,1201408.7708333335
14,149.0224,12.2,1190641.4248046877
15,149.0224,12.32,1201408.7708333335
16,149.0224,16.75,149086.5830078125
17,158.9986,21.07,407444.791015625
18,158.9986,21.19,463747.8883870442
19,170.1319,18.83,235693.71142578125
20,171.1489,5.48,120472.26220703125
21,174.1877,6.19,936036.58203125
22,174.1877,6.32,960347.2080078125
23,179.1051,8.23,105454.90104166666
24,181.0282,21.07,267812.73116048175
25,181.0282,21.18,274035.81136067706
26,181.0354,0.74,183775.0706380208
27,181.0354,1.89,957642.9733072916
28,181.0354,2.01,763054.1904296876
29,181.0354,2.14,957642.9733072916
30,182.1904,4.84,175842.30997721353
31,199.037,21.06,262589.89794921875
32,199.037,21.18,291409.44600423175
33,200.0266,21.07,508583.5291748047
34,200.0266,21.19,671345.7646077473
35,207.1017,6.73,173500.9627278646
36,211.0995,5.46,102261.74609374999
37,212.1152,4.27,659227.9270019531
38,214.2555,4.73,479215.58772786456
39,215.011,0.71,119881.20874023438
40,215.011,21.07,2055598.7998860676
41,215.011,21.2,1952095.4009195962
42,215.011,21.32,2055598.7998860676
43,217.0503,21.05,491494.84700520826
44,217.0503,21.19,679348.0158691405
45,217.1197,8.85,180098.75358072916
46,218.0335,21.04,136026.80716959634
47,221.1162,8.23,290324.5760091146
48,221.1162,8.59,140108.14339192706
49,221.1516,10.24,103959.5390625
50,225.1503,8.26,286713.96565755206
51,225.1953,8.45,199296.77876790363
52,226.125,8.28,305660.8504638672
53,226.1884,4.65,154554.87255859375
54,228.1967,8.17,403537.66271972656
55,228.1967,8.29,437757.0607096354
56,228.1967,16.11,239958.25846354166
57,228.1967,16.31,246599.71582031247
58,228.1967,16.43,290038.58378092444
59,228.2697,4.96,222461.82303873697
60,229.1846,7.9,229714.5294596354
61,236.117,4.63,432197.431640625
62,236.117,4.75,515542.68017578125
63,242.2879,5.36,38143032.98470052
64,242.4236,5.36,2024632.433268229
65,243.2882,5.36,6422181.110026041
66,243.2882,5.52,6806272.743815104
67,244.2926,5.36,487952.55179850257
68,249.1876,11.33,259666.4609375
69,249.1876,11.45,315913.54585774743
70,251.1891,5.21,413600.7828776042
71,255.0057,6.62,1379661.5952962239
72,255.0057,6.78,1466289.3003743486
73,256.0072,6.62,130707.98250325519
74,256.2634,15.21,464224.29890950525
75,256.2634,15.33,754093.425455729
76,256.9613,21.07,307413.2200113932
77,257.0024,6.61,138577.45751953125
78,262.2151,4.6,210709.1220703125
79,266.1779,8.55,356981.2013346354
80,266.1779,8.68,647218.0361328125
81,267.1699,12.04,225119.33825683594
82,271.0015,7.91,114778.61458333333
83,271.1533,5.03,2145470.060872396
84,271.1533,5.17,2257254.3855387373
85,271.1533,5.3,180403.39774576822
86,272.153,5.04,231428.83182779947
87,272.9379,21.07,202116.07128906247
88,273.1673,5.23,165198.7176106771
89,274.2731,9.96,207641.60209147137
90,275.1742,5.58,132983.32417805988
91,275.1742,10.37,789892.5699869792
92,275.1742,10.49,939958.7190348306
93,277.1847,11.07,253665.36267089844
94,277.1847,11.19,460782.1774088541
95,277.1958,5.21,1197590.9306640625
96,277.1958,5.33,1225876.9593098958
97,277.1958,8.37,247086.5660807292
98,277.2069,7.62,179616.5252685547
99,278.1955,5.2,173123.107421875
100,279.1653,12.71,109302.71756998697
101,280.1608,11.92,319052.3239746094
102,280.1608,12.06,786664.3600667317
103,280.2617,14.8,794291.0824788413
104,280.2617,14.92,711948.0891927083
105,280.2617,15.04,794291.0824788413
106,282.2755,15.55,2364024.5253906245
107,282.2755,15.69,2450461.4563802076
108,282.2755,15.82,2964704.6178385415
109,282.2755,15.94,3201885.8108723955
110,282.2755,16.06,3391107.6905924478
111,283.1803,8.53,10002044.087402344
112,283.1803,8.79,11182454.095703127
113,283.1803,8.91,11457918.80525716
114,283.1803,9.04,11559675.909830729
115,283.2029,8.27,494396.19909667963
116,283.2029,8.39,538275.6124674479
117,283.2482,8.45,424790.72558593744
118,283.2822,15.55,422613.74804687494
119,283.2822,15.67,446128.3060302734
120,284.2925,16.19,2192416.0777180986
121,284.2925,16.36,2568964.194010416
122,284.2925,16.5,2637124.709472656
123,285.1694,13.52,188985.2900390625
124,285.1922,8.53,102437.35583496094
125,285.2949,16.18,257410.24902343747
126,285.2949,16.31,387919.5432535807
127,291.2445,9.75,128388.01293945311
128,294.2068,10.57,154400.7657877604
129,297.223,11.03,560035.853515625
130,297.223,11.17,818772.5166015625
131,297.223,11.29,850353.3715820312
132,299.1791,6.06,125310.49877929688
133,299.1791,7.18,261558.19677734372
134,299.1911,13.52,223472.92871093747
135,300.1981,3.7,366188.27392578125
136,301.1482,11.93,106869.77539062499
137,302.2463,7.86,642862.3427734375
138,302.2463,7.98,707628.0652669271
139,303.1787,5.03,1044535.1819661459
140,303.1787,5.18,1067424.6938883462
141,303.1787,13.52,135844.0364583333
142,304.2599,7.05,125883.55891927083
143,306.1644,7.22,173055.244140625
144,308.2903,15.82,1779314.3843587236
145,308.2903,15.95,2429333.5111490884
146,308.2903,16.06,2763695.0528971353
147,309.2289,6.15,181753.65995279947
148,309.3032,15.82,344721.7854817708
149,309.3032,15.95,146059.87825520834
150,310.3069,16.45,1008527.3206787109
151,310.3069,16.57,1274270.982828776
152,310.3069,16.69,1384651.5547688804
153,311.1894,8.86,209745.69873046875
154,311.3139,16.45,204791.4270833333
155,312.3242,17.08,2560231.6481119795
156,312.3242,17.25,2803852.501302083
157,312.3242,17.4,2803257.102864583
158,313.0621,6.62,463689.79443359375
159,313.1498,12.04,173519.45536295572
160,313.3252,17.08,485126.4986979166
161,315.1729,5.7,336633.1246744791
162,318.2768,8.07,1974485.8864746094
163,318.2768,8.19,1316959.8841145833
164,318.2768,8.31,1669989.5569661458
165,318.2768,8.46,1974485.8864746094
166,319.2841,8.18,145476.23657226562
167,320.2049,13.52,853173.2086588541
168,320.2049,13.65,1127031.6591389973
169,320.2049,13.77,1152047.5830078125
170,325.1611,13.52,190777.16792805988
171,325.2262,12.05,307884.3590494792
172,329.0602,6.6,106100.88037109375
173,329.0602,7.92,118890.6512044271
174,333.1925,5.3,120535.51216634113
175,333.2325,10.38,4570333.55090332
176,333.2325,10.53,5093272.201782227
177,333.2325,10.66,5798294.490030924
178,333.2325,10.78,5807510.659830729
179,333.2325,10.91,5848594.43408203
180,334.2337,10.38,959667.8147379556
181,334.2337,10.51,1006792.0951334634
182,334.3139,17.09,233226.31184895828
183,335.2378,10.57,139395.46805826822
184,336.245,8.38,270593.9629720052
185,337.1474,8.17,167922.0537109375
186,337.2148,11.93,574612.484375
187,337.2148,12.06,1849071.5990804033
188,337.2148,12.19,1644759.0852864583
189,337.2148,12.31,1820862.9991861975
190,337.2148,12.43,1849071.5990804033
191,338.2144,12.12,102245.58056640625
192,338.3362,17.26,1302724.9114583333
193,338.3362,17.54,372703.6350911458
194,338.3362,17.66,435077.2882486979
195,338.3362,17.88,143211.3523763021
196,339.3391,17.24,363573.3619791667
197,339.3391,17.36,497487.16992187494
198,339.3391,17.49,122437.42765299478
199,340.3314,15.55,438363.06689453125
200,340.3314,15.66,559500.6253255208
201,340.3314,15.79,586925.4053141274
202,341.2311,8.54,3160260.314656575
203,341.2311,8.74,3478055.351888021
204,341.2311,8.85,3862775.048828125
205,341.2311,8.97,3866001.8723958335
206,342.2426,8.54,578865.5774739583
207,342.3521,16.19,1756584.3092447915
208,342.3521,16.34,2036872.6165364583
209,342.3521,16.46,2049578.3790690103
210,343.3532,16.18,341505.2403971354
211,344.2333,4.02,533068.3116861979
212,345.1847,5.77,471882.6139322917
213,347.2064,5.7,340045.6741536458
214,348.3053,15.59,462404.0657552083
215,348.3053,15.71,561143.4008789062
216,351.2293,11.01,195224.68147786456
217,353.2723,15.59,851143.4542643229
218,353.2723,15.74,908025.7165120443
219,354.2345,10.25,166314.81315104166
220,354.277,15.59,130489.90087890625
221,354.3054,12.17,500683.7718098957
222,354.3054,12.4,277498.9420572916
223,354.3054,12.54,499224.96240234375
224,354.3054,12.66,513926.560546875
225,354.3054,12.88,174579.55517578125
226,356.3235,12.64,146714.1251627604
227,356.3235,13.44,203055.98710123694
228,357.3083,13.83,126669.89115397134
229,359.1998,6.76,10006881.349609373
230,359.1998,6.92,10457385.801432291
231,359.1998,7.03,11902114.025227861
232,359.3148,16.53,528013.8841552734
233,359.3148,16.66,631255.9046223959
234,360.207,6.76,1504520.8338623047
235,360.207,6.87,1641389.4266764321
236,360.207,6.99,1778597.3760579429
237,360.207,7.19,141914.7071940104
238,360.3223,17.21,545319.6673177083
239,360.3223,17.35,921439.7307942706
240,361.217,6.71,302104.6995442708
241,364.3368,15.21,184132.0626627604
242,364.3368,15.34,279115.05037434894
243,366.3534,15.83,3340621.809895833
244,366.3534,16.02,4646695.470377604
245,366.3534,16.18,4740475.217285155
246,367.3512,15.83,715131.40234375
247,367.3512,15.95,937200.0524088542
248,367.3512,16.07,1081169.4076741533
249,368.3665,16.44,1488612.8935546873
250,368.3665,16.59,1717383.5559895833
251,368.4254,16.51,783382.2517903645
252,368.4254,16.65,1021323.15625
253,368.4254,16.78,1107985.6564127603
254,369.2221,7.01,207160.33365885416
255,369.2369,8.85,297825.0321858724
256,369.3698,16.44,286925.7316894531
257,369.4289,16.52,177663.6014811198
258,370.3758,17.08,2503062.2263183594
259,370.3758,17.21,3023183.3326822915
260,370.3758,17.33,3026811.4656575522
261,371.3103,16.82,733053.150390625
262,371.3103,16.94,1233106.9342447915
263,371.3846,17.07,634277.257486979
264,371.3846,17.21,691741.6579182942
265,372.3217,16.82,187444.525390625
266,373.1715,9.73,217918.10335286456
267,375.2371,7.96,407077.6474609375
268,375.2371,8.09,467535.1381429036
269,377.2084,5.78,711120.7608235677
270,377.3442,16.53,165220.02677408853
271,381.3043,16.53,971293.0551350911
272,382.2969,16.52,198883.02018229166
273,382.3428,13.04,158880.385538737
274,383.2769,11.39,269138.37776692706
275,383.2769,11.5,366992.2021484375
276,383.2922,11.26,303958.3463541666
277,384.29,7.29,174712.77787272134
278,385.3367,15.62,300797.07076009107
279,385.3521,15.04,143559.17602539062
280,388.2608,4.24,453978.5395914713
281,388.3385,16.82,128708.36897786456
282,389.2093,7.2,285134.6207682291
283,391.2384,6.76,8055291.8359375
284,391.2854,16.76,2649406.829427083
285,391.2854,16.91,3774297.482055664
286,391.2854,17.04,3923520.125976562
287,391.2854,17.15,4483858.565592447
288,392.2883,16.75,613668.1725260416
289,392.2883,16.91,943860.4311523436
290,393.2309,6.76,220230.41780598956
291,393.2939,16.74,375746.8292643228
292,394.3493,15.55,320836.1194661458
293,395.2494,10.27,318855.7569986979
294,395.2494,10.39,335529.17753092444
295,396.3893,17.21,1111834.4277343748
296,396.3893,17.35,1504038.48046875
297,396.3893,17.47,1527464.0113932292
298,398.3443,14.04,1383136.8347167969
299,398.3443,14.18,1284199.991048177
300,398.3443,14.3,1647578.541503906
301,398.3443,14.42,1723837.993001302
302,399.2536,12.76,593052.4047851562
303,399.2536,12.88,660364.1217447916
304,399.3334,14.06,379853.47265624994
305,399.3654,15.2,739258.3632812501
306,399.3654,15.33,1062742.1525065105
307,399.3654,15.45,1138048.9477539062
308,400.373,15.2,188457.94710286456
309,401.2067,11.62,1119236.0068359373
310,401.2067,11.74,834225.2490234375
311,401.2067,11.87,1119236.0068359373
312,410.377,14.84,393223.5445963541
313,410.377,14.96,465991.16170247394
314,412.3845,14.83,166261.6836751302
315,412.3845,15.6,310856.16129557294
316,413.2101,6.76,420771.13846842444
317,413.2762,16.9,123106.26558430988
318,413.3754,16.53,258342.31054687497
319,413.3754,16.65,270193.2862955729
320,414.3355,11.74,221776.54329427084
321,414.3355,11.92,484456.278930664
322,414.3355,12.06,501826.42675781244
323,414.3355,12.19,167107.7676595052
324,415.2812,11.66,232919.16438802084
325,415.2812,11.79,168148.05940755206
326,416.3457,12.23,276202.6710205078
327,419.2703,12.49,107205.75325520831
328,419.3206,17.28,4370673.401041666
329,419.3206,17.41,4184773.7070312495
330,419.3206,17.57,4638076.184895832
331,419.3206,17.68,4883929.494140625
332,419.3206,17.8,5385383.126790365
333,421.237,7.21,1885665.0003255205
334,421.237,7.39,2090667.23828125
335,422.2492,7.19,298412.8962402344
336,423.2469,9.5,158052.08170572916
337,427.3979,16.26,279026.70597330725
338,427.3979,16.37,349617.79024251306
339,429.2825,12.5,558750.558268229
340,429.2825,12.65,244172.06542968753
341,429.3684,16.82,613881.534016927
342,429.3684,16.96,1111422.2408854167
343,429.3684,17.07,1164826.9173583984
344,430.2968,12.51,157510.88330078125
345,430.3657,16.81,165232.59293619794
346,432.2807,4.43,485166.76118977857
347,433.3367,17.45,1618228.4065755205
348,433.3367,17.59,1258368.370768229
349,433.3367,17.72,1607377.684895833
350,433.3367,17.86,1618228.4065755205
351,435.265,5.78,172856.7353515625
352,435.2824,15.14,319190.5026041666
353,435.2824,15.25,497835.41162109375
354,441.2955,17.26,1077943.4899902344
355,441.2955,17.38,974813.2595621744
356,441.2955,17.53,1041912.5316569011
357,441.2955,17.65,1077943.4899902344
358,442.3382,8.47,272345.9290364583
359,443.3124,13.23,1010637.8294270833
360,443.3124,13.35,1067262.3342285156
361,443.3124,13.46,1333597.5553792317
362,443.3124,13.58,1344221.5523274739
363,444.3065,13.24,153472.2061360677
364,447.3559,18.06,185995.5789388021
365,447.3559,18.2,266298.83284505206
366,449.3465,16.86,1324620.8151041667
367,449.3465,17.37,142242.22265625
368,449.3465,17.49,156290.0371500651
369,449.3465,17.61,103526.57991536458
370,449.3465,17.73,803443.4666341145
371,450.3362,16.76,1099500.5096842446
372,450.3362,16.9,1645189.4275716143
373,450.3362,17.04,1692032.5884602861
374,451.2558,7.65,135142.3429361979
375,451.346,16.75,156005.28125
376,455.3171,17.51,325195.55615234375
377,457.3066,12.75,1282993.6158854165
378,457.3066,12.88,1404500.3219401042
379,457.3066,12.99,1567428.4609375
380,457.3249,13.9,527399.5423177083
381,457.3249,14.03,644020.8638916016
382,458.3138,12.75,242000.05753580725
383,458.3504,14.2,158642.88061523438
384,463.3459,17.02,134298.31197102866
385,465.2774,16.58,119308.40852864583
386,469.3335,17.77,601767.359375
387,469.3335,17.89,552907.7789306641
388,469.3335,18.03,601767.359375
389,473.2735,10.14,380402.5110677083
390,474.3537,16.7,180946.24511718747
391,475.3034,15.01,2041290.7687581377
392,475.3034,15.14,2340789.3222656245
393,475.3034,15.27,2490271.2959391274
394,475.3034,15.39,2506530.5341796875
395,476.293,15.07,178032.20865885416
396,476.3121,4.59,363579.1924235026
397,477.3611,17.31,2375140.6126302085
398,477.3611,17.46,2410526.9166666665
399,477.3611,17.63,553317.5690104166
400,477.3611,17.83,193749.98795572916
401,478.3741,17.2,946599.9420166014
402,478.3741,17.39,802070.4449869792
403,478.3741,17.51,1589135.7467447917
404,478.3741,17.63,1782254.3772786458
405,478.3741,17.77,1846510.3776041663
406,479.2935,7.2,152467.1202799479
407,479.3893,17.38,317479.891438802
408,479.3893,17.5,380839.5151367187
409,489.3083,17.07,377044.82674153644
410,489.3083,17.22,504729.7116699219
411,491.3873,17.53,2325075.0495198565
412,491.3873,17.71,2569052.9381510415
413,491.3873,17.85,2756080.0995686846
414,491.3873,17.96,2791010.2036132812
415,492.3316,15.02,4460776.868489584
416,492.3316,15.19,5129098.875651041
417,492.3316,15.33,5261737.239095051
418,492.3316,15.48,5590576.531087239
419,492.3907,17.46,859326.231648763
420,492.3907,17.57,751189.5179443359
421,492.3907,17.7,840526.4913736978
422,493.337,15.11,223053.0516764323
423,493.337,15.24,218456.1038411458
424,494.3247,15.01,165500.5135091146
425,494.3247,17.51,333614.21936035156
426,494.3247,17.63,500286.11641438794
427,497.2796,15.02,500977.85937499994
428,497.2796,15.17,613315.8704427083
429,500.3722,9.58,315132.8352864583
430,502.3777,14.24,172462.35416666666
431,505.4009,17.85,2809067.282877604
432,505.4009,17.97,2830798.4316813145
433,505.4009,18.1,3215423.849690755
434,505.4009,18.23,3369455.8081054688
435,506.4127,17.82,266444.8528645833
436,506.4127,17.94,504551.8336588541
437,506.4127,18.06,554933.2887369791
438,509.501,18.66,205141.15608723956
439,515.3837,16.7,319194.6733398437
440,517.3458,17.9,228002.78499348962
441,519.4193,17.37,2000505.3531901042
442,519.4193,17.49,2223200.0986328125
443,519.4193,17.98,220170.837890625
444,520.3343,4.73,256558.9153238932
445,520.4175,17.38,664960.4138997395
446,520.4175,17.51,670218.4151204426
447,521.4385,17.61,156352.45837402344
448,531.4829,18.66,137947.0889078776
449,532.4191,18.12,658193.1411946614
450,532.4191,18.26,732349.7747395833
451,532.4404,19.56,393293.9692789713
452,532.4404,19.68,530274.8789876301
453,533.357,15.02,1828695.3815917969
454,533.357,15.16,2026293.0841064453
455,533.357,15.28,2095145.3267415366
456,533.357,16.07,107796.19677734375
457,533.357,16.93,113358.81681315103
458,533.4423,19.55,112021.86853027342
459,534.3606,15.02,467255.9459635416
460,535.3447,17.52,979254.705485026
461,535.3447,17.64,1197687.1261393232
462,536.3521,17.51,301408.6505533854
463,536.3521,17.62,311988.3069661458
464,537.5334,19.38,3631709.0029296875
465,537.5334,19.52,4910802.319986979
466,537.5334,19.71,4966306.476969401
467,537.5334,19.87,5341057.9280598955
468,538.5448,19.37,1052725.7239583333
469,538.5448,19.5,1707000.806640625
470,538.5448,19.62,1767527.6502278645
471,539.3425,12.01,199425.0598958333
472,539.5367,19.36,181708.36018880206
473,540.3141,12.9,239502.47070312497
474,540.3141,13.01,311205.1605224609
475,546.3996,14.29,139115.0144856771
476,547.362,16.4,112663.0596110026
477,547.362,17.07,2810570.641276041
478,547.362,17.23,3372218.312174479
479,548.3701,17.07,740353.6184895833
480,548.3701,17.2,1089807.1468098955
481,548.5017,20.28,102488.01627604166
482,549.38,17.07,122085.11340332031
483,550.634,18.49,467116.73974609375
484,550.634,18.61,521662.9381510416
485,551.3834,16.92,384141.19156901044
486,551.626,18.48,153374.67342122394
487,553.394,18.12,913900.7979329427
488,553.394,18.25,1324565.507405599
489,554.391,18.12,300385.66455078125
490,556.3904,18.09,251630.11100260416
491,558.4193,10.57,369669.9446207682
492,558.4193,10.69,364842.2327473958
493,558.4193,10.81,369669.9446207682
494,559.4029,15.95,220164.02180989584
495,559.4029,16.07,309518.5740966797
496,559.5148,19.39,1351972.2966308594
497,559.5148,19.5,2409207.2261555986
498,559.5148,19.62,2449406.3120117188
499,559.5148,19.74,2454225.5999348955
500,559.5148,19.87,2623850.5175781245
501,560.5228,19.38,508198.3736979166
502,560.5228,19.49,861717.6516927083
503,560.5228,19.61,884333.8405761719
504,561.4428,17.72,146850.9973958333
505,564.4376,18.1,513459.0356038411
506,564.4376,18.22,731288.8912760416
507,565.4319,18.1,177963.1103515625
508,565.5676,20.31,5659483.521931965
509,565.5676,20.53,6856092.129435221
510,565.5676,20.65,6974498.275024414
511,565.5676,20.81,7043627.197916666
512,566.5638,20.31,1691722.7285156248
513,566.5638,20.43,2263121.0078125
514,566.5638,20.55,2645341.2112630205
515,566.5638,20.66,2692143.0979817705
516,567.5618,18.67,1036924.1330566406
517,567.5618,18.83,1494196.7785644531
518,567.5618,20.32,189944.2337239583
519,568.5616,18.66,370061.04036458326
520,568.5616,18.79,453791.295735677
521,569.3809,18.1,369893.70943196607
522,569.3809,18.22,421007.4368489583
523,573.4722,19.57,918056.7747395833
524,573.4722,19.72,1520429.434733073
525,573.4722,19.84,1567704.4424235024
526,573.4722,19.98,1579187.6177164712
527,575.4023,17.94,1279000.6516927083
528,575.4023,18.1,1415375.2491048174
529,576.3928,17.95,373997.4495442708
530,579.5369,18.11,140021.6027018229
531,581.3478,12.9,707725.6917317708
532,581.3478,13.02,924985.2244466145
533,581.3478,13.15,1087383.1934407554
534,582.3486,12.89,225407.4473876953
535,586.4392,18.39,301327.83414713544
536,587.5428,20.32,3347026.3359374995
537,587.5428,20.44,4444754.489705404
538,587.5428,20.6,5193576.372273763
539,587.5428,20.76,5264906.069335936
540,587.5428,20.88,5320102.290730793
541,588.5542,20.32,1333257.4764811199
542,588.5542,20.46,1734207.8837890625
543,588.5542,20.59,1994647.680053711
544,589.473,18.16,1492976.0439453125
545,589.473,18.29,1976078.5146484373
546,589.473,18.4,195770.47916666666
547,589.473,18.52,407896.31640624994
548,589.473,18.65,138776.5628255208
549,589.5438,20.26,371626.8107096354
550,590.4169,14.32,107712.57356770833
551,590.4642,18.12,1636607.419596354
552,590.4642,18.26,1998597.9241129558
553,590.4642,18.39,2010125.7249348955
554,593.5662,18.99,136355.48677571613
555,593.59,17.8,1204818.4501953125
556,593.59,17.96,1672523.1051432292
557,593.59,18.08,2039486.854329427
558,593.59,18.2,2044434.390299479
559,597.5923,19.39,765813.5805257161
560,597.5923,19.51,1214868.436401367
561,597.5923,19.63,1244939.4975585935
562,597.5923,19.75,1251512.411865234
563,603.5256,20.27,186658.7776692708
564,605.46,18.1,1173574.8125
565,605.46,18.21,1533795.378255208
566,605.46,18.34,1565246.4272460933
567,606.4537,18.09,360942.4684244791
568,606.4537,18.21,510151.5299886068
569,607.4005,19.28,104597.57291666666
570,609.5667,17.51,580004.8545735676
571,615.5697,17.8,735739.5179036459
572,615.5697,17.93,881584.3456624348
573,615.5697,18.05,315600.9013671875
574,616.4567,11.48,424755.5913492838
575,616.58,17.75,293228.2286783854
576,621.6069,19.81,328592.8040364583
577,621.6069,19.95,362663.4159749349
578,623.0258,18.24,236315.6865234375
579,623.6241,20.31,29991212.321044922
580,623.6241,20.54,36055097.89274088
581,623.6241,20.66,35694836.86149088
582,623.6241,20.9,34965526.05517578
583,625.6229,20.29,1793370.798828125
584,625.6229,20.43,2513399.7552897134
585,625.6229,20.54,3135057.8852945957
586,625.6229,20.7,3134093.4923502603
587,625.6229,20.85,3167936.267252604
588,626.6247,20.29,238747.0802408854
589,634.5445,19.55,126192.17187499999
590,637.5976,17.93,907809.2158203124
591,637.5976,18.05,785553.2581380208
592,637.5976,18.19,907809.2158203124
593,642.4103,18.39,336358.50341796875
594,642.4103,18.54,340695.43253580725
595,644.4951,18.39,479693.3190917969
596,644.4951,18.51,646498.5963541666
597,645.3722,17.68,325386.47249348956
598,645.3722,17.79,127188.30403645831
599,645.5013,18.39,186745.94189453125
600,647.3629,18.38,213460.87483723953
601,647.4665,18.74,270584.7892252604
