,m/z,rt,peak area
0,100.1117,5.47,702554.8216145833
1,114.1284,4.73,198955.7332763672
2,117.1111,0.73,121804.53938802083
3,117.1111,2.92,129959.63313802081
4,117.1111,4.26,110790.77734375
5,117.1111,7.19,115451.92757161456
6,117.1111,10.33,128131.23209635416
7,124.0249,0.61,438960.75634765625
8,130.1596,3.45,1402860.9493408203
9,130.1596,3.66,1399425.326985677
10,130.1596,3.78,1317534.9986979165
11,130.1596,3.91,1402860.9493408203
12,142.0359,0.6,272154.9921875
13,142.0359,0.77,520879.24141438794
14,142.1609,5.24,5484986.4124348955
15,142.1609,5.35,4312960.34765625
16,142.1609,5.5,5484986.4124348955
17,142.1609,5.68,5510024.318033854
18,143.0279,0.61,194553.9700520833
19,144.1363,6.88,312333.2330729167
20,149.0257,11.93,539835.3902994791
21,149.0257,12.05,2191141.372599284
22,149.0257,12.28,260323.1114095052
23,149.0257,12.41,479107.88313802076
24,149.0614,9.74,151503.73559570312
25,153.049,16.73,360114.31905110675
26,156.1407,3.79,414395.3729248047
27,158.013,3.79,414395.3729248047
28,158.9957,0.62,1297095.7504882812
29,158.9957,0.75,623429.2916666665
30,163.0728,11.69,322964.912516276
31,165.048,0.61,327880.7760416666
32,166.1409,0.73,613676.2404785155
33,166.1409,1.61,835722.3821614583
34,166.1409,1.74,824110.5681559243
35,166.1409,1.89,785710.1548258462
36,166.1409,2.03,835722.3821614583
37,170.1288,16.9,205192.63061523438
38,170.1288,18.76,132423.4358723958
39,170.1288,18.93,185974.6730143229
40,170.1288,20.05,197720.65104166666
41,170.1288,20.77,192764.9140625
42,172.1688,9.61,188548.8126627604
43,173.9826,9.61,188548.8126627604
44,179.0374,1.87,1007447.6059570312
45,179.0374,1.99,854308.9414062498
46,179.0374,2.11,1007447.6059570312
47,179.1091,8.24,106203.50142415366
48,180.1221,3.38,2321168.9817708335
49,180.1221,3.54,2389327.9500325527
50,180.9815,0.64,747524.640625
51,180.9815,0.76,317586.52929687494
52,180.9815,20.72,147052.5921223958
53,180.9815,21.04,113723.07267252603
54,181.0249,0.62,446576.7555338541
55,181.0249,0.75,649343.1126302083
56,181.0249,21.07,150568.2823893229
57,181.0322,1.92,219286.2500813802
58,181.1263,3.35,205840.1202799479
59,182.1362,2.42,232376.81901041666
60,182.1872,4.83,369410.40226236975
61,183.0637,0.63,259458.23380533853
62,184.0476,0.61,552056.0364583333
63,184.0476,0.73,914420.7025553385
64,185.0515,0.66,120971.73494466145
65,186.2247,4.9,145353.81677246094
66,186.2247,5.28,1762452.2215169268
67,186.2247,5.41,1415291.8269856768
68,186.2247,5.53,1762452.2215169268
69,187.2255,5.32,126458.74523925781
70,198.0962,3.96,137905.79768880206
71,198.1755,7.18,487926.5084635416
72,199.0414,0.62,488747.1359049479
73,199.0414,0.74,533525.3016764323
