,m/z,rt,peak area
0,103.9557,21.06,108076.03580729167
1,105.0341,11.53,496151.93282063794
2,107.0273,0.88,111326.24300130208
3,107.0273,21.18,231758.18277994794
4,109.1021,10.77,639322.8911946614
5,110.0092,22.35,120144.23718261719
6,117.1064,3.64,133165.12874348956
7,120.0468,6.58,272709.7346191406
8,121.0062,6.58,272709.7346191406
9,121.0498,6.58,272709.7346191406
10,122.0953,0.84,688944.2162679036
11,123.0021,21.05,379085.4580078125
12,127.9604,21.16,188192.59985351562
13,130.0398,1.03,105141.580078125
14,133.0813,3.88,199053.21118164062
15,133.9732,20.96,141312.00362141925
16,134.0375,20.96,141312.00362141925
17,134.0429,3.85,393628.4381510416
18,134.0429,4.08,187291.7453613281
19,137.1341,9.96,2522425.824544271
20,138.0311,20.25,125749.68115234375
21,138.0311,20.59,111366.27132161458
22,138.1361,9.94,231577.95076497394
23,139.0563,0.86,321903.6842447917
24,139.0563,21.04,128958.49446614583
25,141.0901,4.49,143325.9415283203
26,141.0901,4.8,159861.7425130208
27,141.9619,21.05,22963489.947916664
28,141.9619,21.31,5830126.96875
29,141.9619,21.52,6915363.1875
30,141.9619,21.67,3205632.895833333
31,142.121,4.81,185141.32373046878
32,142.9591,7.64,141717.19860839844
33,142.9591,7.98,118639.40625
34,142.9591,9.27,130754.0392252604
35,142.9591,9.4,153594.77799479166
36,142.9591,9.7,120685.65364583333
37,142.9648,7.64,141717.19860839844
38,142.9648,7.98,118639.40625
39,142.9648,9.27,130754.0392252604
40,142.9648,9.4,153594.77799479166
41,142.9648,9.7,120685.65364583333
42,143.0334,20.38,148107.169921875
43,143.0334,20.71,161126.594156901
44,143.0392,20.38,148107.169921875
45,143.0392,20.71,161126.594156901
46,143.9575,19.34,271706.52832031244
47,143.9575,19.6,162718.4609375
48,143.9575,19.72,1681059.7412109375
49,143.9633,21.73,104192.6201171875
50,144.1362,5.85,637329.4713541665
51,144.1362,5.96,691116.6342773436
52,144.9804,21.13,300916.3444010416
53,144.9804,21.25,328966.365641276
54,144.9804,21.37,397418.246907552
55,146.9832,21.04,369233.4938964843
56,146.9832,21.17,389451.4091796875
57,148.0571,0.87,1390325.6447347004
58,148.0571,0.98,1463314.091023763
59,148.0571,1.11,1586295.5927327476
60,148.0571,21.06,182532.67569986978
61,149.0017,0.87,1390325.6447347004
62,149.0017,0.98,1463314.091023763
63,149.0017,1.11,1586295.5927327476
64,149.0017,21.06,182532.67569986978
65,149.0196,7.26,155445.27018229166
66,149.0255,12.07,343487.5070800781
67,149.0613,5.4,893404.5128580729
68,151.0963,0.87,198803.57584635413
69,151.1507,10.77,4406880.625651042
70,152.1516,10.77,500427.74190266925
71,153.1285,10.65,141176.59802246094
72,155.0266,21.09,189483.86657714844
73,155.1073,5.52,137677.31286621094
74,155.1445,9.85,4336342.536417644
75,156.1031,3.76,168695.8611653646
76,156.1468,9.96,419965.2475585937
77,158.152,7.68,885365.9192708331
78,159.0019,21.25,127148.21105957031
79,160.1316,3.89,153106.44482421875
80,161.0953,11.02,215503.4033203125
81,163.0205,0.86,726741.3853352865
82,163.0205,0.98,748866.5465494792
83,163.0205,1.11,853420.7521158854
84,163.1314,5.32,907175.9080403645
85,164.0343,21.06,137343.35978190103
86,164.0803,11.2,233656.13037109375
87,164.0803,11.57,963299.0714518228
88,165.0479,21.1,103286.22904459634
89,167.9918,5.64,3038823.1740722656
90,168.1733,10.71,406018.13370768225
91,168.9825,10.71,406018.13370768225
92,168.996,5.63,294222.3746744791
93,169.1583,9.97,3228447.5824788413
94,169.1583,10.39,2461750.8333740234
95,169.1583,10.76,8050573.616333008
96,169.9858,21.03,250804.47424316406
97,169.9926,5.64,225037.5559895833
98,170.0946,8.97,310004.5973307291
99,170.1151,4.54,567453.2345377605
100,170.1627,9.96,330927.76696777344
101,170.1627,10.39,245446.7103678385
102,170.1627,10.74,923066.8478190105
103,170.9883,9.96,330927.76696777344
104,170.9883,10.39,245446.7103678385
105,170.9883,10.74,923066.8478190105
106,171.1046,4.29,136907.13053385416
107,171.1046,4.41,192480.8359375
108,171.173,10.79,325200.90511067706
109,172.1343,4.51,512850.33260091144
110,172.1343,5.51,248208.5001220703
111,172.1687,8.18,342460.7770589193
112,172.1687,8.45,173435.61979166666
113,172.1687,8.73,1745319.2775065103
114,172.1687,9.54,1806833.3937174478
115,173.1702,8.73,155250.3653971354
116,173.1702,9.53,168720.6866861979
117,174.0521,10.27,1028509.7057291665
