,m/z,rt,peak area
0,100.1109,5.32,3329255.346516927
1,102.1291,3.38,2274715.5013020835
2,102.1291,3.53,2334838.600382487
3,105.9955,0.63,138807.82470703125
4,114.0909,3.5,133111.82381184894
5,114.1274,4.71,392885.77978515625
6,114.1274,4.83,452813.62772623694
7,119.0656,4.24,238570.8059895833
8,119.0847,10.02,238076.2767333984
9,120.0556,4.08,689377.3647460938
10,120.9811,0.98,161673.9152018229
11,128.108,4.79,121281.15079752603
12,128.1438,4.95,135088.9640299479
13,128.1438,5.32,439869.25081380195
14,130.1585,3.61,997395.316080729
15,130.1585,5.33,657737.7684326172
16,130.1585,5.45,666903.9352213542
17,134.0687,4.98,2430017.9283854165
18,135.0753,4.97,246393.20886230466
19,135.0753,5.09,251363.76627604163
20,140.1105,4.91,359516.8131510416
21,142.154,5.22,280059.8248697916
22,142.1597,4.71,155900.56905110675
23,142.1597,4.94,140598.0096435547
24,142.1597,5.34,14759057.104817707
25,142.1597,5.7,14833927.437499998
26,143.164,5.34,1367388.9195556638
27,144.1754,5.64,149309.92862955728
28,149.0602,9.68,128532.3946126302
29,151.0952,13.81,346814.0481363932
30,151.0952,13.94,395682.4315185547
31,153.0477,16.68,472175.3698730469
32,155.1558,3.42,1234984.081380208
33,155.1558,3.54,1153696.8421223958
34,155.1558,3.67,1270764.8528645833
35,157.9738,21.21,104988.9873046875
36,158.1888,4.72,306989.4275716145
37,159.0008,21.07,549376.3518880208
38,159.0008,21.2,648683.0227864583
39,162.083,5.14,149296.33561197916
40,163.0715,5.64,1491160.9558105469
41,163.078,6.99,253547.66646321613
42,163.078,11.56,930751.0950520834
43,163.078,11.68,838889.8693440756
44,163.078,11.81,930751.0950520834
45,165.0863,4.99,2373387.072265625
46,166.1395,0.72,220418.12158203125
47,166.1395,1.6,135599.6700846354
48,166.1395,1.78,607253.9948323568
49,166.1395,1.94,594047.3470865886
50,166.1395,2.06,607253.9948323568
51,167.0725,8.44,1009077.3181966145
52,167.0725,8.56,936001.012532552
53,167.0725,8.7,1041269.2179361979
54,167.1059,4.46,104297.13419596353
55,168.0779,8.46,420886.68749999994
56,168.0779,8.57,473095.8421223958
57,168.0779,8.7,542021.3764648438
58,171.1512,5.46,1376928.9654947915
59,172.133,4.51,316520.8536783854
60,173.9812,2.31,117543.55513509114
61,173.9812,22.22,155255.6516927083
62,173.9812,22.34,168195.9817708333
63,173.9881,21.21,174639.50195312497
64,174.0578,10.26,287821.79931640625
65,174.0578,10.39,164201.55029296872
66,174.1831,5.54,540107.8125
67,174.1831,6.19,26974913.383626305
68,174.1831,6.55,27155350.071289062
69,175.0772,5.16,166851.47916666663
70,175.1893,6.18,2301969.0983072915
71,175.1893,6.33,2668876.556640625
72,175.1893,6.45,2805080.3670247393
73,177.1057,3.46,103158.88460286458
74,178.0931,6.68,877623.2846679686
75,178.0931,6.9,893768.3383789062
76,179.0359,6.68,877623.2846679686
77,179.0359,6.9,893768.3383789062
78,180.1206,3.38,2257572.538167318
79,180.98,0.62,2922165.707356771
80,180.98,21.04,360700.9239908854
81,181.1248,3.31,185288.0897216797
82,182.0982,8.46,948066.6944173176
83,182.0982,8.59,1009029.4197184246
84,182.0982,8.72,1073806.1656901042
85,182.1201,10.3,3868643.8886718745
86,182.1201,10.46,3896860.2499593096
87,182.1201,10.58,4231958.361206055
88,182.1929,4.83,509520.1837565104
89,183.1208,10.31,363260.8151041666
90,183.1208,10.44,398588.0236002604
91,183.1868,4.21,104165.5546875
92,184.1344,8.27,1353182.1057942708
93,184.2081,5.33,2848141.9943033857
94,185.087,8.45,396701.4117838541
95,186.2157,5.24,204066.4103597005
96,186.2232,4.89,174079.02319335938
97,186.2232,5.34,5003973.985432943
98,186.2232,5.62,5755043.292968751
99,186.2232,5.77,5667129.920328775
100,186.2232,5.91,5755043.292968751
101,186.992,0.74,726670.0707194009
102,186.992,2.42,136195.09847005206
103,187.1416,7.8,176467.95776367188
104,187.224,5.33,584850.9973144531
105,187.224,5.45,599160.5007324219
106,187.9969,0.65,147370.6223958333
107,190.1447,4.66,248649.873046875
108,190.1447,5.55,148742.27425130206
109,191.1284,3.9,109857.1708984375
110,192.1402,7.12,628377.8439127603
111,192.1402,7.24,675499.1754964192
112,192.1402,7.36,705246.5616861979
113,193.0955,5.22,263578.03938802076
114,193.1342,6.43,770594.2082926432
115,193.1342,6.56,973692.2141520182
116,193.1419,4.23,644274.4646809895
117,193.1419,4.35,628530.2562662759
118,193.1419,4.48,644274.4646809895
119,195.0986,4.23,138779.88252766925
120,195.0986,4.99,7942834.927083333
121,195.1064,4.33,127333.80061848958
122,195.122,2.89,282006.2124023437
123,195.122,5.61,126526.26546223958
124,195.122,13.85,264047.291015625
125,195.1298,5.74,288025.3323567708
126,196.1,4.99,508588.1158854166
127,196.1628,6.17,243030.68428548175
128,197.1145,4.96,142611.55297851562
129,197.9995,5.22,290522.0485026041
130,198.1025,3.88,120240.68229166667
131,198.1263,4.65,974506.961791992
132,198.15,6.26,2272173.2861328125
133,198.15,6.38,1339573.4134114583
134,198.15,6.5,2084988.6389567056
135,198.15,6.63,1990799.7841796873
136,198.15,6.77,2283989.261067708
137,198.1738,7.08,385998.40852864576
138,198.1738,7.21,402634.4530843098
139,198.9999,21.11,274758.6477864583
140,199.0875,7.3,2924545.9791666665
141,199.0875,7.55,3018856.4365234375
142,199.0875,7.66,3096661.5788574214
143,199.1831,7.09,7304793.37109375
144,199.1831,7.41,7384933.335123697
145,200.0214,0.61,947650.7764078774
146,200.0214,0.72,823892.3706868489
147,200.0214,0.84,960464.3346354165
148,200.0214,21.07,581341.4915364583
149,200.0214,21.2,669242.1810709635
150,200.1655,5.85,1817167.4266764324
151,200.1655,5.97,2427593.7166341143
152,200.1655,6.09,2532078.3470052085
153,200.1815,7.15,401358.1975911458
154,200.1815,7.28,432187.23527018225
155,200.2375,4.64,3572928.7127278647
156,201.1688,5.85,241221.27197265628
157,201.1688,5.96,248034.96207682294
158,201.2412,4.62,440482.8606770833
159,201.2412,4.76,455031.584798177
160,202.2176,4.07,242594.3026529948
161,202.2176,5.42,662973.8874104817
162,203.1093,6.05,105970.29162597656
163,204.1355,7.03,261984.4777018229
164,205.0849,11.83,1464290.5865885415
165,205.0849,12.04,1248260.3529052734
166,205.0849,12.16,1377830.7037760415
167,205.0849,12.28,1464290.5865885415
168,205.1669,5.21,2038003.524251302
169,206.1623,5.16,455859.99235026044
170,207.0963,6.7,10999545.70442708
171,207.0963,7.01,11024468.560384113
172,207.0963,7.13,1629082.9088541665
173,207.0963,7.25,1844930.212565104
174,207.1045,5.77,400692.79052734375
175,207.146,4.68,2528026.2565104165
176,207.146,4.81,3062500.479817708
177,207.1542,5.61,225244.58520507812
178,208.101,6.69,859259.9928385415
179,208.101,6.81,1038253.9574381509
180,208.151,4.68,284249.9479980469
181,208.151,4.81,401413.39388020826
182,209.119,4.84,143836.57731119794
183,209.1357,3.63,249327.2594401042
184,209.1943,5.23,476946.30265299475
185,210.1,5.2,384204.298828125
186,210.1252,8.48,2061005.1087239585
187,210.1252,8.65,2151291.278238932
188,210.1252,8.77,2248368.3960367837
189,210.184,4.25,529763.7080078125
190,210.184,10.47,1594657.0530598958
191,210.184,10.61,1663137.0410156248
192,210.184,10.74,1742542.0566406248
193,211.1193,5.18,155613.2861328125
194,211.1277,4.08,194891.23307291666
195,211.1362,4.4,450249.8014729817
196,211.1869,10.43,158982.45068359372
197,212.1181,4.26,15712240.536458334
198,212.1436,3.58,125684.62467447916
199,213.1046,6.05,764748.8406982422
200,213.1046,6.75,340434.2863769531
201,213.1216,4.26,2395764.5690104165
202,213.1557,5.42,329505.1593017578
203,214.0871,6.55,545491.6253255209
204,214.1299,4.24,110984.7334391276
205,214.2499,4.72,38707950.5801595
206,214.387,4.72,1787416.6809895833
207,214.9968,7.58,217076.59944661453
208,215.1258,4.29,282475.17293294263
209,215.2549,4.72,6038182.134684244
