,m/z,rt,peak area
0,100.1114,5.62,3823786.141438802
1,114.1281,4.7,567834.5271402994
2,124.0246,0.6,733677.9954427084
3,124.0246,0.73,945322.8833007811
4,128.1445,4.94,204301.7871907552
5,128.1445,5.31,476468.26180013025
6,128.1445,5.44,500163.5591634115
7,130.1592,3.63,455177.10302734375
8,130.1592,3.75,430811.9446614583
9,130.1592,5.31,766477.5604654948
10,130.1592,5.51,779141.5373942057
11,142.0355,0.64,403578.6888020833
12,142.1605,4.71,204969.6025390625
13,142.1605,4.94,181865.7107340495
14,142.1605,5.22,16842993.6780599
15,142.1605,5.34,16726716.693033854
16,142.1605,5.65,16842993.6780599
17,143.0217,0.64,115476.77657063802
18,144.1359,6.76,132411.14420572916
19,145.0903,7.78,412937.46138509107
20,149.061,9.64,141687.8878580729
21,153.0486,16.65,511781.47005208326
22,153.0486,16.77,689169.7486979165
23,157.9747,21.1,259076.08056640622
24,158.0126,21.1,259076.08056640622
25,158.1897,4.71,266922.4302164714
26,158.1897,4.83,278610.021484375
27,158.9953,0.62,1086992.3856608071
28,164.0275,21.73,161176.37809244794
29,165.0014,0.62,342975.6373697917
30,165.0014,0.73,409983.3901367188
31,165.0476,0.65,411643.9580078125
32,172.134,4.48,464299.06038411456
33,173.0798,4.52,136096.77994791666
34,173.9822,4.52,136096.77994791666
35,180.1216,3.37,2496603.1078287754
36,180.981,0.65,2487998.1280110674
37,180.981,21.06,370403.79597981775
38,180.981,21.2,419434.65539550775
39,181.0317,21.61,737024.4384358723
40,181.1258,3.32,201482.20198567703
41,182.1357,2.46,136559.2099609375
42,184.0471,0.61,318307.165242513
43,184.0471,0.74,666504.4541015624
44,184.2091,5.22,3285567.921549479
45,184.2091,5.35,3280674.845418294
46,184.2091,5.6,3285567.921549479
47,185.2065,5.32,293783.3668619792
48,186.2242,5.23,6174637.882527669
49,186.2242,5.34,6115267.277994791
50,186.2242,5.63,6366228.684936523
51,186.2242,5.75,6427197.7848307295
52,187.1352,7.79,423655.68375651044
53,187.225,5.3,710197.8650716145
54,193.143,4.25,256194.57739257812
55,196.9974,21.14,296175.78320312494
56,196.9974,21.37,140804.3240559896
57,198.0957,3.88,118919.12959798177
58,198.1749,7.05,488649.7505696615
59,198.1749,7.17,528722.4337565105
60,199.1842,7.07,7016480.001139322
61,199.1842,7.38,7056128.654663086
62,200.0225,0.62,1167332.8125
63,200.0225,21.07,685323.9287109375
64,200.0225,21.21,813648.6352539061
65,200.1826,7.06,685177.9973958334
66,200.1826,7.2,795260.3264973958
67,200.2387,4.63,4736012.872070312
68,201.2423,4.63,609143.268717448
69,201.2423,4.78,613795.6809488933
70,202.2187,5.41,347220.29398600257
71,205.086,11.83,1629074.4966227212
72,205.086,11.95,1653888.0050455728
73,205.086,12.07,1590120.0400390623
74,205.086,12.2,1622549.6806640623
75,205.086,12.31,1653888.0050455728
76,207.1554,5.61,152828.46927897134
77,212.1193,4.2,342623.9013671875
78,213.0632,6.05,104816.43798828125
79,214.2511,4.71,51184192.08528646
80,214.3797,4.71,2223589.375
