,m/z,rt,peak area
0,100.1114,5.23,3944748.200887044
1,107.07,13.66,133902.46549479166
2,114.1281,4.71,617389.0006103516
3,119.0853,10.01,160034.00028483072
4,121.0496,10.01,160034.00028483072
5,124.0246,0.61,148543.7784830729
6,128.1445,4.94,217405.3024088542
7,128.1445,5.31,507440.8629557291
8,128.1445,5.47,511421.92952473956
9,130.1592,3.6,622112.2650553385
10,130.1592,3.73,609329.8319905598
11,130.1592,3.85,622112.2650553385
12,130.1592,5.31,768098.3752848307
13,130.1592,5.45,805503.8883463541
14,142.1605,4.68,213068.64794921872
15,142.1605,4.93,224402.2353515625
16,142.1605,5.21,17630921.71797689
17,142.1605,5.71,17817845.83284505
18,143.1648,5.4,797036.2779947916
19,144.1359,6.76,220680.93863932288
20,145.0903,7.79,424787.4934895833
21,145.0903,7.91,509788.4128417969
22,145.0903,8.03,514103.876953125
23,149.0253,11.83,2852064.2819010415
24,149.0253,12.03,2533021.393229167
25,149.0253,12.17,2837267.1450195312
26,149.0253,12.29,2992899.65218099
27,149.0253,16.69,347867.6055094401
28,149.061,9.63,129089.9521891276
29,151.096,13.79,376729.89680989576
30,151.096,13.91,439762.7540690104
31,153.0486,16.64,598641.2279459634
32,153.0486,16.8,706383.9960530598
33,156.1403,3.7,218791.90690104166
34,157.9747,21.14,194824.65930175778
35,158.0126,21.14,194824.65930175778
36,158.1897,4.71,317260.5439453125
37,158.9953,0.64,677628.2408854166
38,158.9953,0.82,653117.3729248047
39,164.0275,21.76,363988.8971354166
40,166.1405,0.73,397016.46223958326
41,166.1405,1.61,1027786.325358073
42,166.1405,1.76,1003364.4057617188
43,166.1405,1.87,916539.7949218749
44,166.1405,1.99,1027786.325358073
45,172.134,4.47,447883.3420410156
46,173.0798,4.52,119639.14013671875
47,180.1216,3.31,2604895.7099609375
48,180.981,0.64,1623581.671875
49,180.981,0.83,2207123.2075195312
50,180.981,21.05,348637.01985677076
51,180.981,21.17,413500.19238281244
52,181.0317,21.61,762782.078938802
53,181.1258,3.29,212428.17919921875
54,182.1357,2.43,166442.64697265625
55,184.2091,5.21,3229065.3401692705
56,185.2065,5.3,386303.2924397786
57,186.2242,4.89,160389.7880859375
58,186.2242,5.21,6464520.825642902
59,186.2242,5.66,6711456.599446613
60,186.2242,5.78,6717571.441243488
61,187.1352,7.79,411670.79597981775
62,187.1352,7.93,125120.23083496094
63,187.225,5.31,698948.2161458334
64,187.225,5.43,720462.7111409504
65,187.225,5.56,752896.9166666666
66,193.143,4.25,233673.2394205729
67,195.1231,13.83,307496.31034342444
68,196.9974,21.17,247550.33365885416
69,196.9974,21.35,174993.57405598956
70,196.9974,21.74,154748.56677246094
71,198.0957,3.89,144291.325398763
72,198.1749,7.06,515501.4237874348
73,198.1749,7.17,572956.8963216145
74,199.0409,0.62,240338.3304036458
75,199.0409,5.85,111249.17228190103
76,199.1842,7.07,7490327.991088867
77,200.0225,0.64,1456558.9881184897
78,200.0225,0.85,1481382.763346354
79,200.0225,21.06,709643.4925130208
80,200.0225,21.18,801827.9008382161
81,200.0225,21.3,846510.1911621094
82,200.1826,7.07,741338.3658854166
83,200.1826,7.2,865226.0341796874
84,200.2387,4.63,5300875.349934896
85,200.2387,4.86,5311373.117675782
86,201.2423,4.62,676834.5055338541
87,202.2187,4.06,250289.71061197913
88,202.2187,5.4,669225.8779296875
89,205.086,11.83,1572610.4507242837
90,205.086,11.94,1555081.222330729
91,205.086,12.07,1286948.068033854
92,205.086,12.18,1501349.6066080728
93,205.086,12.3,1572610.4507242837
94,213.0632,6.05,170658.2962239583
95,214.2511,4.71,56979751.2277832
96,214.3797,4.71,2565537.7402343745
97,214.9894,0.74,120655.90694173177
98,215.2561,4.71,8742377.252929688
99,216.0497,5.83,1288435.7892252603
100,216.0497,6.01,1322691.3584798179
101,216.1967,4.1,159940.50732421875
102,216.2572,4.7,510411.6341145833
103,216.2572,4.82,571517.714029948
104,217.0458,21.06,538895.1326497395
105,217.0545,5.81,188567.35506184894
106,217.1066,4.53,2908745.936564128
107,218.0378,0.64,206691.63916015625
108,219.1482,7.48,519056.1540120443
109,219.1482,15.49,181323.25553385416
110,219.1482,16.03,187778.29703776044
111,219.1482,16.82,186194.779296875
112,221.1205,8.11,162919.82250976562
113,221.1294,6.89,1218268.203125
114,221.1471,7.07,234781.64392089844
115,221.1559,10.12,248209.45145670572
116,223.1285,6.88,405495.9704182943
117,223.1285,7.0,493546.9276529948
118,226.1204,8.18,1844460.2023111978
119,226.1204,8.37,2124806.037434896
120,226.1204,8.49,2243918.7836914062
121,227.1266,8.16,282153.52225748694
122,228.046,8.3,477351.8208821614
123,228.046,8.41,552444.1751302083
124,228.192,8.26,123244.52864583333
125,228.265,4.95,17984663.145833332
126,228.265,5.18,206867.8661295573
127,229.1891,7.81,35708545.38391113
128,229.2716,4.95,4587672.913899739
129,230.0616,6.05,1550058.7102864583
130,230.0616,6.17,1920665.5096435545
131,230.0616,6.29,1941290.7928059893
132,230.1905,4.64,132065.82014973956
133,230.1905,7.81,3080685.646850586
134,230.1905,7.93,3578097.1588948565
135,230.1905,8.05,4011749.1167805986
136,230.1905,8.17,4037965.558268229
137,230.2457,4.66,458716.0962320963
138,230.2457,4.8,565805.8725585936
139,230.2734,4.94,299838.1643880208
140,231.0669,6.04,206212.95784505206
141,231.187,7.79,115132.4287109375
142,234.1371,4.53,1648818.9016927083
143,234.1933,4.63,220419.125
144,236.1121,4.56,282276.6476236979
145,238.0276,5.84,112870.5694986979
146,238.18,10.15,104663.11511230469
147,239.0867,4.53,374378.3686523437
148,239.125,7.1,180176.80859374997
149,239.1537,3.22,152927.75862630206
150,239.2398,15.51,901829.5669759114
151,239.2398,15.63,1031520.7819010415
152,239.2398,15.75,1109677.970255534
153,240.0162,0.63,383140.5423177083
154,240.2659,5.12,494916.14465332025
155,242.2829,5.23,76785970.71582031
156,242.2829,5.43,369870807.703125
157,242.2926,5.33,254564491.8333333
158,242.4186,5.23,61175072.481770836
159,243.2929,5.23,12324885.583333332
160,243.2929,5.38,75689524.16666666
161,243.2929,5.71,934980.5533854165
162,243.4194,5.32,10316166.603841145
163,244.2289,5.19,354851.9306640625
164,244.2875,5.23,2872769.137369791
