,m/z,rt,peak area
0,100.1115,5.22,3997762.1241048174
1,105.9962,0.63,193484.19071451822
2,114.1281,4.72,597346.0615234375
3,114.1281,4.84,641231.4153645833
4,119.0854,10.06,136473.50179036456
5,121.0496,10.06,136473.50179036456
6,126.0955,7.06,126467.32421875
7,128.1446,4.95,229779.5303955078
8,128.1446,5.33,511370.1982421875
9,130.1593,3.62,460183.1728108723
10,130.1593,3.74,419990.14778645826
11,130.1593,5.31,794180.0510660807
12,139.9994,0.98,178723.17749023438
13,139.9994,1.63,107385.76595052083
14,139.9994,2.34,159450.2189127604
15,139.9994,21.38,201663.6056315104
16,142.1606,4.71,242618.9005940755
17,142.1606,4.95,233665.2661132812
18,142.1606,5.23,17562747.470092773
19,142.1606,5.71,17753341.302368164
20,145.0904,7.82,403571.2440185547
21,145.0904,7.94,480527.3186848958
22,149.0254,11.89,3566787.9440104165
23,149.0254,12.07,2958581.057373047
24,149.0254,12.2,3566787.9440104165
25,149.0254,12.35,3644009.404947917
26,149.0254,16.7,359824.23445638025
27,149.0611,9.65,343126.9072672526
28,153.0487,16.68,538175.0761718749
29,153.0487,16.8,601235.1471354167
30,157.9748,21.17,242230.1534016927
31,157.9748,21.29,335475.9469401042
32,158.0127,21.17,242230.1534016927
33,158.0127,21.29,335475.9469401042
34,158.1898,4.71,295875.10595703125
35,158.1898,4.83,313399.6818033854
36,158.9954,0.62,410280.25089518225
37,158.9954,0.74,404252.2381184895
38,164.0276,21.75,147467.0849609375
39,164.0276,22.0,113901.5441080729
40,165.0873,4.98,118193.5927734375
41,166.1406,0.74,255349.15616861978
42,166.1406,1.58,1072444.0019531248
43,166.1406,1.82,1029674.2440185547
44,166.1406,1.93,1003761.9539794922
45,166.1406,2.05,1072444.0019531248
46,172.1341,4.52,296429.0553385416
47,173.0799,4.53,125687.28670247395
48,173.9823,4.53,125687.28670247395
49,174.1842,6.19,1043696.8684895833
50,174.1842,6.31,1262674.5996907551
51,174.1842,6.44,1345062.2799479167
52,175.984,21.09,199073.64013671872
53,177.0856,6.69,272743.9583333333
54,179.0371,21.56,1337064.772664388
55,179.0371,21.68,1216788.975423177
56,179.0371,21.86,1280024.6364746094
57,179.0371,22.0,1337064.772664388
58,180.1217,3.39,2565257.1502278647
59,180.9811,0.66,1337970.432779948
60,180.9811,0.84,1351761.564453125
61,180.9811,21.06,340618.25272623694
62,180.9811,21.18,400467.00960286456
63,181.0246,21.1,276408.6013183594
64,181.0318,21.62,516405.5987141927
65,181.126,3.31,203073.45271809897
66,182.1358,2.45,168875.87858072916
67,184.2093,5.33,3276647.4091796875
68,185.2067,5.32,139530.30533854166
69,185.2067,5.45,118997.90511067708
70,186.2244,4.89,108942.31477864583
71,186.2244,5.23,6216970.833984375
72,186.2244,5.64,6475981.0263671875
73,186.2244,5.76,6510162.1370442705
74,187.1353,7.8,270263.6878255208
75,187.1353,7.92,308761.62386067706
76,187.2252,5.31,707096.0620117186
77,187.2252,5.51,719457.0004882811
78,187.9981,0.63,258668.3675130208
79,193.1431,4.26,289194.028889974
80,195.0998,5.0,511564.544921875
81,195.1232,2.97,123323.58203125
82,196.9975,21.13,191043.71565755206
83,198.0958,3.92,141691.09244791666
84,198.1751,7.1,472676.4222005208
85,198.1751,7.22,561610.0657552084
86,199.0012,21.1,386831.9331054687
87,199.0012,21.22,419150.1204020182
88,199.033,21.11,191568.6326904297
89,199.041,5.9,111800.06726074219
90,199.1844,7.11,7457981.877482096
91,200.0227,0.61,455828.1566975912
92,200.0227,0.73,424804.58821614576
93,200.0227,0.85,455828.1566975912
94,200.0227,21.07,725406.9143880208
95,200.0227,21.25,742681.6214192708
96,200.1827,7.1,706435.0066324869
97,200.1827,7.22,881209.6593424479
98,200.2388,4.64,5235316.04736328
99,201.2425,4.63,556036.9619547526
100,201.2425,4.75,675369.1222330728
101,202.2188,4.08,142844.2783203125
102,202.2188,5.43,469295.2434082031
103,205.0862,11.83,1837436.720377604
104,205.0862,11.96,1825150.822265625
105,205.0862,12.08,1510414.604777018
106,205.0862,12.21,1766660.9737548828
107,205.0862,12.35,1837436.720377604
108,205.1682,5.16,174836.1884765625
109,207.0976,6.7,492293.0594075521
110,207.0976,6.82,529785.3994140625
111,212.1194,4.26,925600.4951171874
112,213.0633,6.07,125787.82149251302
113,214.2512,4.72,55784975.22843424
114,214.3798,4.72,3068302.953125
115,215.2563,4.72,8800941.412760414
116,215.2563,4.93,8860273.615559895
117,216.0499,5.85,1083236.4108072917
118,216.0499,6.01,1222409.0294596353
119,216.2574,4.72,550811.9212239583
120,216.2574,4.84,582902.3346354166
121,217.0459,21.07,388087.6070963541
122,217.0459,21.2,465323.7416178385
123,217.0546,5.85,178936.68953450522
124,217.1067,4.55,2867578.7307942705
125,219.1483,7.52,675083.6164550781
126,219.1483,7.64,614825.6931966146
127,219.1483,7.78,675083.6164550781
128,219.1483,16.06,195762.51904296875
129,219.1483,16.86,226228.25760904947
130,221.1207,8.14,169255.9334309896
131,221.1295,6.94,1223849.2233072915
132,221.1561,10.19,203963.3487548828
133,223.1287,6.91,484016.0003255208
134,223.1287,7.02,524590.7185872396
135,225.1458,8.17,245154.76314290363
136,226.1205,8.22,2067077.1784667969
137,226.1205,8.34,2494530.073486328
138,226.1205,8.47,2676461.4153645835
139,227.1267,8.2,370726.1949869792
140,228.0462,8.35,162108.18798828125
141,228.1922,8.08,241329.0635172526
142,228.1922,8.21,158605.23950195312
143,228.2652,4.95,20410872.708333332
144,228.2652,5.11,1191766.8763020833
145,229.1892,7.84,35568863.90384929
146,229.2718,4.95,4753499.41805013
147,230.0618,6.08,1615898.2182617188
148,230.0618,6.27,1657906.3924153645
149,230.1907,4.49,200944.325398763
150,230.1907,7.83,2996055.7011718745
151,230.1907,7.96,3938480.1701253257
152,230.2459,4.67,559925.985188802
153,230.2735,4.95,316188.7591145833
154,231.067,6.08,181646.7736409505
155,231.1872,7.82,132042.59444173175
156,233.0534,17.76,1900668.257446289
157,233.0534,19.68,629458.5065511067
158,233.0534,20.66,153564.49291992188
159,233.0534,20.83,162156.93815104166
160,234.1373,4.56,1704008.2659505205
161,235.1697,10.95,199623.42374674475
162,236.1123,4.58,235399.01615397132
163,236.1123,4.71,243537.5903320312
164,238.0277,5.85,126975.39583333334
165,239.0869,4.55,411546.35791015625
166,239.1252,7.07,443023.9733886718
167,239.1539,3.42,134732.3548177083
168,239.24,15.53,520649.2413330078
169,239.24,15.66,543525.3186848958
170,240.2661,5.1,417432.46415201825
171,242.2831,5.23,88713813.43294272
172,242.2831,5.45,303432501.5572916
173,242.2928,5.31,191552266.66666663
174,242.4188,5.23,58835595.60937499
175,243.2931,5.23,6675521.499348958
176,243.2931,5.55,10911383.177083332
177,243.4294,5.33,13007207.688151041
178,244.2291,5.2,311154.1132405599
179,244.2877,5.24,7504553.248697916
180,244.2877,5.49,3356228.617513021
181,244.2877,5.68,3381867.9005533857
182,244.9531,0.63,207117.30603027344
183,245.2962,5.33,686579.6264648436
184,247.1676,6.32,265321.1564127604
185,249.1329,4.82,604108.0364583334
186,249.1827,11.25,182068.65348307294
187,251.1841,5.1,1139884.1681315103
188,252.1908,5.21,105302.9630533854
189,255.0108,6.55,179551.50244140625
190,255.2353,12.61,456619.3212890625
191,256.1763,3.39,102106.75447591145
192,256.2685,5.49,637547.4010416665
193,256.2685,15.2,260991.30045572913
194,256.2993,5.75,7886647.340494791
195,256.2993,6.02,8127194.405436198
196,256.9665,21.07,1416685.9322916665
197,257.2339,7.1,1854718.1471354167
198,257.2339,7.22,2113427.4809570312
199,257.3059,5.75,1388045.6611328123
200,258.0893,4.12,204544.7101236979
201,258.1512,9.76,548679.5071614583
202,258.1512,9.87,583145.4998372395
203,258.1512,9.99,618555.7444661459
204,258.2752,4.78,2300876.296223958
205,258.2752,5.07,1474311.4812825518
206,259.2792,4.71,1685393.5558268228
207,259.2792,5.04,420059.09676106763
208,262.2099,4.47,673891.0655924479
209,262.2099,4.61,643006.4378255209
210,262.2099,4.73,673891.0655924479
211,266.162,4.82,378032.9597167969
212,267.0043,0.7,112765.845703125
213,267.1753,11.94,259500.65966796875
214,267.2715,16.48,296286.35819498694
215,267.2715,16.6,340890.9518229166
216,268.9982,0.64,8757196.064778645
217,270.0007,0.63,440929.0515136719
218,271.148,4.93,2176751.7823893228
219,271.2239,12.25,2014146.4822184243
220,271.2239,12.47,2276836.4241536455
221,271.2239,12.59,2400979.78926595
222,271.2239,12.71,2722915.403971354
223,271.2239,13.03,237106.11657714844
224,272.1585,4.99,208275.61568196613
225,272.2347,12.22,207961.78515625
226,272.2565,4.69,1739146.4373372395
227,273.1728,5.11,705885.1894531249
228,273.2602,4.76,260102.27197265625
229,273.2602,4.87,267742.11507161456
230,274.1031,5.87,6934722.876790363
231,274.1031,6.47,104002.59244791666
232,274.2786,9.98,838680.6891276041
233,274.2786,10.11,1024290.1939290364
234,275.1027,5.85,1106774.7503255208
235,275.1577,4.54,173621.59358723956
236,275.1797,10.31,778997.8639322919
237,275.1797,10.43,874273.0972493488
238,275.1797,10.55,888557.0794270833
239,276.2494,5.45,117652.91178385416
240,276.2494,5.61,3531674.0570475264
241,276.2605,5.79,314302.66682942706
242,276.2605,5.92,458403.25276692706
243,277.1903,5.19,986439.1743164061
244,277.2457,5.6,518539.60750325525
245,277.2457,5.73,544521.5377604166
246,278.2456,5.61,1066842.174275716
247,278.2456,5.74,1139728.8429361978
248,279.1485,7.31,149125.23990885416
249,279.1597,11.88,8844962.141927084
250,279.1597,12.3,8928295.462239584
251,279.1597,12.44,9247782.78531901
252,279.1597,12.55,9283154.94189453
253,279.2491,5.61,113547.74702962239
254,280.0656,4.12,108192.45275878906
255,280.1665,11.87,1453492.865722656
256,280.1665,12.06,1363436.63680013
257,280.1665,12.18,1453492.865722656
258,280.1665,12.33,1464347.6455891924
259,280.2673,14.77,643600.6925455729
260,281.2444,13.74,887142.8383382162
261,281.2444,13.86,845104.5531005859
262,281.2444,13.99,887142.8383382162
263,283.152,6.7,1033022.7672526041
264,283.152,6.86,1169833.996500651
265,283.1746,3.63,313111.71630859375
266,283.1746,3.75,292977.3596191406
267,283.186,8.5,5795996.5856119795
268,283.186,8.84,5807597.847005209
269,283.2653,13.98,385341.1570638021
270,283.2766,15.66,195720.94112141925
271,283.2766,15.77,236658.97167968747
272,284.1731,8.21,577593.2535807291
273,284.1731,8.34,618416.5033365885
274,284.1845,8.46,1252027.904296875
275,284.1845,8.71,1270059.8354899087
276,284.2982,16.15,928666.7330729166
277,284.2982,16.29,1014504.5454101562
278,284.2982,16.43,1048898.1518554685
279,286.2494,8.05,1185049.1861979165
280,286.2494,8.18,1011639.1676839193
281,286.2494,8.29,1122407.8346761067
282,286.2494,8.41,1185049.1861979165
283,288.1218,6.09,4862929.1975911455
284,288.2486,12.31,131031.61800130208
285,288.2486,12.44,134014.76643880206
286,288.2948,4.76,291659.8024088541
287,289.1725,9.76,180695.55627441403
288,290.1805,9.79,5413739.672526041
289,290.1805,9.97,5982284.409342447
290,290.1805,10.08,6020761.038736979
291,291.1805,9.78,866779.8032633462
292,291.1805,9.9,999862.681640625
293,291.1805,10.02,1087313.7521158853
294,291.1921,11.01,123336.52962239581
295,292.1721,9.78,1471355.751627604
296,292.1721,9.91,1814585.3929036455
297,292.2423,4.93,170847.89119466144
298,293.1789,9.74,365593.5275878906
299,293.2141,12.21,512726.9326171875
300,293.2141,12.38,171209.33772786456
301,293.2141,12.5,122403.66276041666
302,296.2201,10.93,940184.4960530598
303,296.2201,11.05,818670.8888346353
304,296.2201,11.16,888579.0639648438
305,296.2201,11.29,940184.4960530598
306,297.9908,21.07,263026.94873046875
307,298.3486,8.37,390874.35628255206
308,298.3486,8.49,462677.99210611975
309,298.3486,15.2,687897.3958333331
310,298.3486,15.31,722912.2200520833
311,299.257,13.79,1427819.5973307292
312,299.257,13.9,1578722.4619954426
313,299.257,14.05,1756153.206054687
314,299.257,14.17,2022227.4477539062
315,299.257,14.52,109301.09261067708
316,300.2041,3.63,999748.5416666666
317,300.2642,13.76,143754.23661295572
318,301.1422,11.87,858503.0343424478
319,301.1422,12.05,795548.3416341145
320,301.1422,12.17,838522.8835856119
321,301.2145,15.99,297813.23388671875
322,302.2403,7.76,494627.34472656244
323,302.2403,7.88,521255.5415039062
324,302.2403,8.0,559621.0703938802
325,302.2887,4.65,129353.5069986979
326,302.3008,12.05,454371.74137369794
327,305.2168,6.35,1379519.8669433594
328,305.2168,6.47,1686622.6547851565
329,306.1583,7.17,101020.09554036458
330,306.2195,6.32,248242.53971354163
331,307.1887,4.81,886134.989095052
332,307.2133,5.76,119335.93355305989
333,308.0623,7.41,155675.54728190106
334,308.2965,15.78,482911.4654947917
335,308.2965,15.91,533012.9158528646
336,309.2104,10.6,387068.4200846354
337,309.2104,10.75,403669.0314127604
338,309.2228,5.98,1750470.9106852212
339,309.2228,6.09,1710720.5468749998
340,309.2228,6.38,1750470.9106852212
341,310.2263,6.09,366512.93863932294
342,310.2387,12.78,493414.9835611979
343,310.2387,12.91,574334.0822347004
344,310.3131,16.41,396629.875
345,310.3131,16.55,407616.7008463542
346,312.3305,17.03,522618.9064127604
347,312.3305,17.17,666083.0572102865
348,313.1436,11.98,796004.4235026041
349,313.1436,12.09,935150.0677083334
350,313.1436,12.23,960907.2543945314
351,313.2688,15.34,554255.8402099609
352,313.2688,15.46,633834.953125
353,313.2688,15.6,579139.8958333334
354,314.2729,15.55,220046.82954915363
355,315.1289,9.69,369575.55322265625
356,315.1289,9.8,413217.8477376302
357,315.1793,5.65,471572.5236409505
358,315.1793,5.78,488724.3017578125
359,315.9998,21.07,287492.94091796875
360,315.9998,21.18,319762.56363932294
361,316.1389,4.14,734932.6731770834
362,316.1389,4.27,819466.1993408203
363,317.1141,4.87,1565652.1762695312
364,318.1177,4.87,200684.39225260416
365,318.2704,8.12,1184094.628580729
366,318.2704,8.24,1299492.5768229165
367,318.2704,8.37,1395669.4615478513
368,319.1884,4.21,142021.61669921875
369,319.2777,8.1,126360.5234375
370,320.2114,13.45,183679.09407552084
371,321.2377,13.76,732795.1271158854
372,321.2377,13.89,697156.3746744791
373,321.2377,14.01,732795.1271158854
374,322.074,7.49,107436.53234863281
375,322.293,13.82,147434.9554036458
376,324.2326,5.72,142564.11474609375
377,325.2067,10.28,140043.0677083333
378,325.2327,14.3,331339.12581380206
379,326.249,6.02,742618.5493164062
380,326.249,6.14,704058.229329427
381,326.249,6.27,742618.5493164062
382,327.0068,8.72,168650.1640625
383,327.203,3.93,183012.5625
384,329.001,8.72,158883.77172851562
385,329.238,16.87,241337.8738606771
386,329.2775,12.24,2331532.47265625
387,329.2775,12.37,2236011.5732421875
388,329.2775,12.5,2561588.8843587236
389,329.2775,12.62,2667922.2740478516
390,329.2775,12.76,2839751.2314453125
391,330.28,12.21,420614.33068847656
392,330.3328,13.68,423998.51513671875
393,330.3328,13.8,463628.4962565104
394,331.206,6.05,742847.5213216145
395,331.206,6.17,681908.8525390625
396,331.206,6.29,742847.5213216145
397,331.2855,15.34,296634.94413248694
398,331.2855,15.46,9176062.385050455
399,331.2855,15.58,6831035.033081055
400,331.2855,15.7,8690297.911336262
401,331.2855,15.84,9200137.257486979
402,332.148,9.67,354218.3387044271
403,332.148,9.8,369624.53759765625
404,332.2941,15.53,1482315.6393229163
405,332.2941,15.66,1561857.2369791663
406,332.2941,15.78,1721974.412272135
407,332.334,12.87,304500.28124999994
408,332.334,12.99,308911.56620279944
409,333.2259,10.31,3890018.607788086
410,333.2259,10.64,3925066.861653646
411,333.2925,15.55,171356.7709147135
412,334.227,10.33,670818.3787434895
413,334.227,10.45,712110.4305826823
414,334.227,10.57,761111.75390625
415,335.2312,10.52,628806.3708902993
416,335.2312,10.65,701715.8209635416
417,335.2446,8.3,949990.6184895831
418,335.2446,8.42,1044472.4219970703
419,335.2446,8.55,1161779.2167154946
420,336.2518,8.29,131064.01802571614
421,336.3056,14.58,153528.38020833334
422,337.1542,8.11,110730.26228841145
423,337.1946,7.38,441772.46085611975
424,337.1946,7.51,508515.87337239576
425,337.2081,11.86,575497.1061197917
426,337.2081,11.99,1857768.3242187498
427,337.2081,12.11,1646261.325846354
428,337.2081,12.23,1857768.3242187498
429,337.2081,12.36,1872702.0236002603
430,338.2212,12.01,280903.7521158854
431,338.3159,14.84,166675.36975097656
432,338.343,17.18,5238546.673177084
433,338.343,17.44,5382099.563761393
434,338.343,17.56,5577045.947713216
435,338.343,17.88,132233.6319986979
436,338.9661,21.07,116019.52701822916
437,339.1017,4.87,186373.96805826825
438,339.346,17.17,988316.29296875
439,339.346,17.3,1210805.550415039
440,341.2379,8.47,955883.1638997395
441,341.2379,8.58,1012489.3102213541
442,341.2379,8.71,1118813.4329427083
443,341.3062,16.3,1245078.2301432292
444,341.3062,16.42,1288813.6564127603
445,341.3062,16.56,1183161.693359375
446,341.3062,16.68,1288813.6564127603
447,342.2358,8.48,150615.9013671875
448,342.3453,16.15,300363.8663736979
449,343.1542,11.55,1569209.0991210938
450,343.1542,11.67,1308552.011393229
451,343.1542,11.78,1531404.0774739583
452,343.1542,11.93,1569209.0991210938
453,344.1577,11.61,239487.0791015625
454,344.2265,3.96,1785929.1368815105
455,344.9846,0.65,2092822.590169271
456,345.1917,5.71,578814.9468994141
457,345.2331,3.94,250586.57564290363
458,345.9934,0.65,153750.80045572916
459,347.2134,5.65,354386.8968098958
460,347.2134,5.77,398635.8043619791
461,347.2273,9.79,116019.61442057292
462,348.2288,9.77,4583191.3772786455
463,348.2288,10.12,4609695.0781656895
464,348.3123,15.53,6722824.121744791
465,348.3123,15.66,7079416.501953124
466,348.3123,15.78,7844431.010416665
467,349.2331,9.76,836439.5693766277
468,349.2331,9.88,868578.0970052084
469,349.2331,10.0,961049.4010416667
470,349.3169,15.53,1380710.2174479165
471,349.3169,15.66,1489555.5849609373
472,349.3169,15.78,1613917.9039713545
473,350.2263,9.79,1456509.102742513
474,350.2263,10.06,1469560.8198242188
475,350.9976,0.64,2395681.0789388022
476,351.2364,9.75,301062.90917968756
477,352.0099,0.64,191962.93005371094
478,353.2653,15.32,17562755.86177571
479,353.2653,15.55,13332722.841796873
480,353.2653,15.66,16071461.993408203
481,353.2653,15.8,17314700.249999996
482,354.27,15.55,2576752.077840169
483,354.27,15.68,3177796.6053466797
484,354.27,15.8,3366259.293619792
485,354.2842,10.82,494691.3944091797
486,354.2842,10.94,553070.0618489584
487,354.3125,12.19,1239758.2072753906
488,354.3125,12.45,1138113.039876302
489,354.3125,12.6,1162780.961751302
490,354.3125,12.71,1239758.2072753906
491,355.2775,15.51,529568.6114908854
492,355.2775,15.63,515096.39343261713
493,355.2775,15.76,529568.6114908854
494,355.2917,10.79,164985.94771321616
495,357.144,12.41,270723.4227294922
496,357.2869,15.53,144966.7112630208
497,357.3155,13.79,2555382.423828125
498,357.3155,13.98,2575620.969970703
499,357.3155,14.12,2942028.793945312
500,357.3155,14.26,3093112.7576497393
501,358.3174,13.75,535722.8637695312
502,359.2071,6.7,7951934.890136719
