,m/z,rt,peak area
0,130.1568,3.8,239411.57360839844
1,140.0022,21.07,1075834.851236979
2,140.0022,21.21,1644500.0068359373
3,140.0022,21.34,1888213.3307291665
4,140.0022,21.47,1919429.863728841
5,144.139,6.86,333490.3512369791
6,144.139,6.99,382930.20393880206
7,149.0225,11.95,387687.63871256507
8,149.0225,12.07,1084730.7721761067
9,149.0225,12.2,1066012.1948242185
10,149.0225,12.32,1084730.7721761067
11,149.0225,16.74,162603.90946451822
12,158.9987,21.06,449972.86486816406
13,158.9987,21.18,579858.5885416666
14,170.132,18.79,115867.23583984375
15,170.132,19.07,121146.80802408853
16,172.1721,9.63,186038.57849121094
17,173.9859,9.63,186038.57849121094
18,179.0336,0.75,173043.9396158854
19,179.0336,1.87,605692.3279622396
20,179.1052,8.23,111059.51961263022
21,181.0283,21.06,195357.5169270833
22,182.1906,4.82,104668.88916015625
23,199.0371,21.06,149533.17211914062
24,200.0268,21.05,478828.07519531244
25,215.0111,21.09,1923210.559244792
26,217.0504,0.72,106312.11263020831
27,217.0504,0.94,101166.92964680989
28,217.0504,21.05,492839.45585123694
29,217.0504,21.17,645421.6819661458
30,217.0504,21.31,701762.6989746094
31,217.1199,8.85,185257.59033203125
32,218.0337,21.03,155780.15917968747
33,221.1164,8.24,310112.3328450521
34,221.1164,8.61,149737.884765625
35,225.1505,8.27,266158.6800130209
36,226.1252,8.29,133253.45353190103
37,226.1885,4.63,162035.49458821613
38,228.1969,8.2,632018.2008463541
39,228.1969,8.33,701006.7343749999
40,228.1969,16.11,216545.69380696613
41,228.1969,16.32,272646.25472005206
42,230.1862,4.6,192104.1520182292
43,231.0533,0.62,201451.72729492188
44,233.0209,21.64,225020.02685546875
45,233.0209,21.91,199890.88798014322
46,236.1171,4.63,443261.0231119792
47,242.2881,5.37,3918956.444580078
48,242.2881,5.5,3979162.1048177076
49,242.2881,5.63,4057018.566080728
50,243.2884,5.37,600948.4193115234
51,244.1951,7.85,175509.0196533203
52,249.1878,11.33,263240.15995279944
53,249.1878,11.46,319080.92789713544
