,m/z,rt,peak area
0,100.1116,5.59,745722.5918782551
1,114.1283,4.73,214279.9384765625
2,117.1111,4.73,214279.9384765625
3,124.0248,0.61,296009.0771484375
4,130.1595,3.46,1134879.8849283853
5,130.1595,3.69,1085341.5082600908
6,130.1595,3.82,1134879.8849283853
7,140.0668,0.71,215558.0314127604
8,142.0358,0.64,332705.61442057294
9,142.1608,5.24,5824297.063476562
10,142.1608,5.37,4604197.971272786
11,142.1608,5.49,5824297.063476562
12,142.1608,5.69,5863305.35611979
13,143.0278,0.62,145065.18050130206
14,144.1362,6.87,282946.4080810547
15,144.1362,6.99,320469.1603597005
16,153.0489,16.73,336840.8426106771
17,155.0887,16.06,108064.08040364583
18,155.9721,16.06,108064.08040364583
19,156.1406,3.76,154966.25870768228
20,158.0129,3.76,154966.25870768228
21,158.9956,0.61,651772.5981445312
22,158.9956,0.74,333623.7064615885
23,165.0017,0.63,174516.35465494788
24,165.0479,0.61,223628.4357096354
25,166.1408,0.73,513240.84814453125
26,166.1408,1.59,879719.7661946614
27,166.1408,1.75,850160.2260742188
28,166.1408,1.87,794950.9778645834
29,166.1408,1.99,879719.7661946614
30,172.1688,9.61,183585.87207031247
31,179.0373,1.89,703538.9008789061
32,179.0373,2.01,681134.4291992186
33,179.0373,2.14,703538.9008789061
34,180.122,3.42,2413558.0037434893
35,180.9814,0.64,1463425.4479166665
36,180.9814,0.76,1874548.4081624346
37,180.9814,20.84,138764.9383544922
38,180.9814,21.03,125765.65132649739
39,181.1262,3.36,204798.1279296875
40,182.1361,2.42,221022.49007161456
41,184.0475,0.61,394695.4254557291
42,184.0475,0.73,694757.7102864584
43,186.2246,5.25,1988073.537434895
44,186.2246,5.37,1838964.2496744788
45,186.2246,5.52,1988073.537434895
46,186.9934,0.64,606382.6393229166
47,186.9934,17.88,1958629.8772786458
48,186.9934,19.45,2120890.4518229165
49,186.9934,20.82,189030.92264811197
50,187.1356,7.91,103386.1515299479
51,187.2255,5.33,120126.25276692708
52,196.9978,21.08,2431543.371744792
53,196.9978,21.2,2103172.8640950522
54,196.9978,21.33,2431543.371744792
55,196.9978,22.32,164408.6435546875
56,198.0961,3.92,131098.80444335938
57,198.1754,7.18,540367.7146809895
58,198.1754,7.29,553109.4095865886
59,199.0413,0.65,229892.59769694012
60,199.1846,7.17,7112522.06315104
61,199.1846,7.36,7783114.878743488
62,199.1846,7.49,7837711.108072916
63,200.023,0.61,1232060.9986979165
64,200.023,0.75,1685840.8876139321
65,200.023,0.89,1822200.4907633462
66,200.023,21.05,563496.6474609375
67,200.023,21.2,794051.6885579426
68,200.183,7.17,854732.7721761067
69,200.183,7.31,874309.9444986978
70,200.2391,4.64,5743402.117838541
71,200.2391,4.76,6046862.983561198
72,201.2428,4.64,770456.4928385416
73,202.2191,4.14,144602.93343098956
74,202.2191,5.45,311042.0081380208
75,205.0865,11.95,1397769.7086588538
76,205.0865,12.07,1466007.2115071614
77,205.0865,12.25,1517673.4743245444
78,205.0865,12.38,1587977.1153971353
79,207.1393,5.94,102312.20296223958
80,207.1559,5.68,148170.2560221354
81,214.2516,4.73,60394126.928385414
82,214.3801,4.73,3779649.8024088535
83,215.0156,21.09,137763.2776692708
84,215.0156,21.23,275817.5089111328
85,215.2566,4.73,9490996.972167967
86,216.0502,5.91,1265743.1686197915
87,216.0502,6.09,1291783.34391276
88,216.1971,4.17,137517.95784505206
89,216.2577,4.74,643905.9349365234
90,217.0463,0.85,470090.4801432291
91,217.0463,1.12,174862.6101888021
92,217.0463,1.26,158615.76171875
93,217.0463,21.07,485251.9140625
94,217.0463,21.2,620671.740234375
95,217.055,5.9,154340.1115315755
96,217.1071,4.6,2615871.066080729
97,217.1071,4.74,2670160.1089274082
98,217.1244,8.85,191733.01424153644
99,218.0382,0.64,336743.1852213542
100,218.0382,0.77,124790.65738932292
101,218.0382,21.05,130472.24458821614
102,218.108,4.59,219675.53788248697
103,221.121,8.24,284553.8747558594
104,221.121,8.61,125698.05859374999
105,221.1299,7.0,1228549.8795572915
106,223.129,7.0,381759.8614908854
107,224.0412,0.62,127232.15913899738
108,225.1462,8.27,334766.0483805339
109,226.1209,8.29,453712.5501302083
110,226.1933,4.65,145796.92224121094
111,228.0465,8.43,719344.291015625
112,228.0465,8.55,761031.4542643229
113,228.1925,8.18,565250.5221354167
114,228.1925,8.3,573666.4409586589
115,228.1925,16.13,250749.90397135416
116,228.1925,16.3,214969.0634765625
117,228.2655,4.96,32094077.252848305
118,228.4025,4.96,1623431.7252604165
119,229.1896,7.92,24709082.348958332
