,m/z,rt,peak area
0,100.1117,5.47,658076.9528808594
1,114.1284,4.72,149888.8782552083
2,117.1111,4.12,110013.55061848958
3,117.1111,9.4,146885.0872395833
4,124.0249,0.62,786355.8494059243
5,124.0249,0.74,938582.1030273438
6,130.1596,3.46,1459311.7018229165
7,130.1596,3.64,1423384.6702473958
8,130.1596,3.85,1415917.205525716
9,142.0358,0.6,399735.9189453125
10,142.0358,0.73,699748.0952148436
11,142.1609,5.25,5244599.07792155
12,142.1609,5.36,4079238.3916015625
13,142.1609,5.5,5188133.470703125
14,142.1609,5.64,5244599.07792155
15,143.0278,0.74,106358.04829915364
16,144.1363,6.86,305033.0888671875
17,149.0257,11.94,470383.1726074218
18,149.0257,12.05,1248484.234049479
19,149.0257,12.28,306033.17985026044
20,149.0257,16.8,203278.96549479166
21,153.049,16.72,329269.0298665364
22,154.124,5.66,160211.0128580729
23,156.1407,3.76,251459.20035807288
24,158.013,3.76,251459.20035807288
25,158.9957,0.62,1096827.0457356772
26,158.9957,0.76,392194.3470052084
27,159.0021,21.17,125237.30480957031
28,165.048,0.6,466398.37133789057
29,166.1409,0.73,609275.4290364583
30,166.1409,1.59,915389.4436848958
31,166.1409,1.75,897441.2298583984
32,166.1409,1.87,837443.3645833333
33,166.1409,1.99,915389.4436848958
34,170.1288,16.04,180912.0205078125
35,170.1288,16.92,201122.5205078125
36,170.1288,19.1,111722.0830078125
37,172.1688,9.62,179390.6163330078
38,179.0374,1.9,265948.3279622396
39,180.122,3.39,2299978.1399739585
40,180.9815,0.64,867110.9351399739
41,180.9815,0.75,1112246.3374837239
42,180.9815,21.03,118540.52604166666
43,181.0249,0.64,533356.034016927
44,181.0249,0.75,648900.0021158854
45,181.1263,3.36,212525.75732421875
46,182.1361,2.41,229736.88728841144
47,183.0637,0.64,398116.04182942706
48,184.0476,0.6,1012856.6715494792
49,184.0476,0.75,1344981.9010416665
50,184.2096,5.33,382066.41927083326
51,185.0515,0.65,201748.85115559894
52,186.046,0.64,130243.88704427083
53,186.2247,4.91,162263.9375
54,186.2247,5.25,1710273.6861979165
55,186.2247,5.37,1390511.279703776
56,186.2247,5.5,1710273.6861979165
57,187.2255,5.32,109949.84342447916
58,193.1435,4.36,112411.14298502603
59,196.9979,21.08,2111476.453125
60,196.9979,21.21,1977433.2379964192
61,196.9979,21.34,2052514.390299479
62,196.9979,21.46,2111476.453125
63,196.9979,22.12,481282.14697265625
64,198.0962,3.93,137190.88736979166
65,198.1755,7.18,548079.5960286459
66,199.0414,0.61,410575.1778971354
67,199.0414,0.74,464250.3982747395
68,199.1847,7.17,7229632.580851236
69,199.1847,7.35,7894622.686157227
70,199.1847,7.47,7986291.387980143
71,199.1847,7.59,8029767.170084635
72,200.023,0.62,1735318.7624511716
73,200.023,0.75,2610746.811848958
74,200.023,0.88,2750243.6105143228
75,200.023,21.05,475707.81306966144
76,200.023,21.18,755095.9336751301
