,m/z,rt,peak area
0,130.1597,3.87,1110037.7025960286
1,134.0699,5.02,575966.4816080729
2,142.161,5.36,709062.9838053385
3,144.1364,6.87,304403.8199869791
4,144.1364,7.0,382734.3039550781
5,149.0258,11.94,401348.20304361975
6,149.0258,12.06,685750.9900716145
7,149.0258,16.77,109370.90218098958
8,165.0877,5.03,210422.60009765622
9,170.1561,3.68,139338.4619140625
10,172.169,9.58,210433.62003580728
11,173.9827,9.58,210433.62003580728
12,174.1847,6.19,5250226.436848959
13,174.1847,6.37,5481112.5126953125
14,174.1847,6.5,5594681.2685546875
15,175.1908,6.17,476544.5483805338
16,175.1908,6.3,495840.9259440103
17,177.086,6.76,570018.1824544271
18,180.9816,0.7,159159.998046875
19,180.9816,19.98,114623.83154296874
20,181.025,21.06,158280.55436197916
21,181.0323,0.75,210133.6298828125
22,181.0323,1.87,1134270.0089111328
23,181.0323,2.0,795508.8775227864
24,181.0323,2.11,1107579.9501953127
25,181.0323,2.23,1134270.0089111328
26,182.1873,4.89,271627.2922363281
27,184.1361,8.37,119234.63741048177
28,193.1436,4.34,138322.5203450521
29,195.1003,5.03,1456679.7373860676
30,195.1003,5.16,1626853.66796875
31,198.128,4.67,179156.58089192706
32,198.1518,6.45,219270.2218424479
33,198.1518,6.71,138893.68107096353
34,199.0893,7.37,375209.2747395833
35,199.1849,7.16,396248.5225423177
36,200.0232,0.62,486682.91308593744
37,200.0232,0.75,540257.4809977213
38,200.0232,0.87,579180.6552734375
39,200.0232,21.07,477497.06311035156
40,200.0232,21.2,783824.0755208334
41,200.1673,5.92,346076.5968424479
42,200.2393,4.64,235282.55240885416
43,205.0867,11.92,808381.6590169271
44,205.0867,12.07,853827.333658854
45,205.0867,12.2,808381.6590169271
46,205.0867,12.32,853827.333658854
47,207.0981,6.76,931325.2119140625
48,207.0981,6.89,1050629.6728515625
49,207.0981,7.2,127763.09733072916
50,207.1478,4.72,396838.3494059245
51,207.1478,4.86,172476.67138671872
52,209.2045,5.24,175328.81905110675
53,210.1859,10.55,331069.3188476562
54,212.12,4.28,4424055.043904622
55,213.1235,4.27,572676.1697184244
56,213.1576,5.47,104315.63053385417
57,214.089,6.64,122721.47347005206
58,214.2518,4.72,3033793.6976725264
59,214.2518,4.86,3319999.5308837886
60,215.0073,0.71,114490.62060546875
61,215.0073,21.98,124493.05143229166
62,215.2568,4.73,427441.4274088541
63,216.1368,4.76,164399.6194661458
64,217.0465,0.92,231074.63541666666
65,217.0465,21.07,396115.50878906244
66,217.0465,21.19,663389.9864908853
67,217.1073,4.59,139048.82157389322
68,217.1247,8.85,188904.66748046875
69,218.0385,21.04,119602.7950846354
70,219.1489,7.62,497903.5542399088
71,219.1489,7.74,508993.7513427733
72,219.184,5.14,185011.177734375
73,221.1213,8.23,275750.03304036456
74,221.1213,8.61,129716.92053222656
75,221.1567,10.25,112551.27034505208
76,221.1655,8.36,247494.35681152344
77,223.156,4.28,403114.2742513021
78,224.1311,8.53,240842.93343098962
79,224.1311,8.65,264742.360555013
80,225.1464,8.26,351696.86604817706
81,225.1914,8.61,100742.10721842447
82,226.1211,8.28,705106.7669270833
83,226.1211,8.4,978397.0380452473
84,226.1935,4.65,158193.53271484375
85,227.1273,4.25,287530.18640136713
86,227.1273,8.29,113081.98567708331
87,227.2091,9.22,378754.1396484375
88,228.1927,8.18,412099.68050130206
89,228.1927,8.3,458440.5004882812
90,228.1927,16.12,210507.50276692706
91,228.1927,16.3,244128.86088053384
92,228.2658,4.96,1575076.2018229165
93,228.2658,5.08,1650382.5502115884
94,229.1898,8.09,216333.15006510416
95,229.199,5.48,310496.63102213544
96,229.2723,4.96,217168.29048665363
97,230.1912,7.89,136055.21956380206
98,232.1701,7.85,182462.3818359375
99,232.2351,6.19,210348.85799153644
100,235.1703,11.03,119185.95247395833
101,235.1797,4.28,152884.5335286458
102,235.1797,4.95,243972.80297851562
103,236.0751,6.19,1352321.1624348955
104,236.0751,6.3,1395941.5220133462
105,236.1129,4.63,484270.9360351562
106,236.1129,4.75,513321.87447102857
107,237.0782,6.19,149388.5237223307
108,238.1617,3.95,490125.7467447916
109,239.1258,5.7,179145.09912109375
110,240.017,0.63,166050.2951253255
111,240.1802,4.27,285242.6360677083
112,242.2837,5.24,180825117.96647134
113,242.2837,5.36,177170574.8645833
114,242.4194,5.36,11910188.53515625
115,243.284,5.24,447281.1967366536
116,243.284,5.36,26064775.46875
117,244.2883,5.36,2640292.948893229
118,244.2883,5.5,2803963.6287434893
119,249.1734,4.92,179768.1204427083
120,249.1833,11.34,251604.83850097656
121,249.1833,11.45,338911.541015625
122,250.182,6.06,107966.359375
123,251.1848,5.15,921105.3081054689
124,251.1848,5.27,758152.7266031901
125,251.1848,5.41,921105.3081054689
126,255.0114,6.63,809466.453125
127,255.0625,7.77,214049.14501953122
128,256.2999,5.74,402227.8776041667
129,256.9672,21.08,320963.4213867187
130,257.1625,9.8,231929.5693766276
131,257.2345,7.32,177252.5489908854
132,258.2139,5.9,182562.8655598958
133,258.2758,4.64,519278.6630859375
134,259.1762,11.2,123058.39534505206
135,262.2106,4.62,169235.63932291663
136,264.1792,4.61,147805.3948160807
137,265.132,6.52,338972.0436604817
138,265.132,6.95,304690.05037434894
139,266.1307,5.41,150484.4111328125
140,267.176,4.54,109143.6416015625
141,267.176,12.04,652344.3343912759
142,267.176,12.18,776195.917195638
143,267.1867,8.55,586721.6599934896
144,267.1867,8.69,590893.6025390625
145,268.2361,10.54,174480.9659830729
146,271.1487,4.9,9823792.536336262
147,272.1592,5.03,1035427.6596272788
148,272.1592,5.16,1101898.680501302
149,272.2027,8.08,104995.41861979166
150,272.9332,21.11,114377.35807291667
151,274.1038,5.9,420686.83382161456
152,276.1839,10.38,818551.169921875
153,276.1839,10.53,856311.8988444011
154,277.1023,6.19,207947.2591145833
155,277.1799,11.08,459542.9864908854
156,277.191,5.2,6215614.597656251
157,277.191,5.36,6522376.669433593
158,277.191,8.37,1603261.4381510415
159,277.191,8.49,1715244.8631184895
160,277.2021,7.62,981406.7246093749
161,277.2021,7.76,1049077.3174641926
162,278.1907,5.21,1102421.1798502603
163,278.1907,8.37,191509.73095703122
164,278.2018,7.62,125463.91451009113
165,278.2129,14.69,134221.65397135416
166,279.0934,8.17,122897.44075520831
167,279.1493,7.4,596372.9571940105
168,279.1493,7.52,633929.4318033853
169,279.1604,11.94,4584376.350911458
170,279.1604,12.25,5440144.387369792
171,279.1604,12.37,5861932.736979167
172,279.1604,12.49,6012938.586263021
173,279.1604,12.61,6277847.684244793
174,279.2163,8.35,296310.0148111979
175,280.1672,11.93,297508.1340738932
176,280.1672,12.07,833422.3767089844
177,280.2681,14.81,692617.7780761719
178,282.1578,4.69,181321.68839518228
179,282.1916,4.25,676084.6905924479
180,282.282,15.55,1966637.3237304688
181,282.282,15.68,2299225.9458007812
182,282.282,15.8,2791696.756510417
183,282.282,15.92,2994536.3339843745
184,282.282,16.04,3136884.4353841143
185,283.1527,5.77,191235.03975423175
186,283.1527,6.76,3574418.9108072915
187,283.1527,6.94,4113280.208129883
188,283.1527,7.07,4611498.592651367
189,283.1527,7.3,4630361.015625
190,283.1867,8.54,40200751.74519856
191,283.1867,8.84,45449170.45548502
192,283.1867,9.13,369471.3874511719
193,283.198,8.25,422866.6114908854
194,283.198,8.37,442144.4952799479
195,283.2773,15.55,168297.5872395833
196,283.2773,15.67,126888.47330729166
197,283.2773,15.79,187671.5875651042
198,283.334,8.54,1827687.456705729
199,284.1398,4.3,129619.95458984375
200,284.1398,5.09,171503.5655110677
201,284.1511,6.75,380841.2302246094
202,284.1852,8.54,8203493.724894205
203,284.1852,8.82,9458680.80847168
204,284.1852,8.94,9654379.440714518
205,284.208,4.54,510009.8825683594
206,284.208,4.66,599137.4535725911
207,284.2534,8.45,271425.1110839844
208,284.2989,16.19,1414831.216105143
209,284.2989,16.35,2380591.1422526035
210,284.2989,16.47,2397163.450805664
211,285.1645,6.01,230674.3323974609
212,285.1645,6.69,185243.6966145833
213,285.1645,7.97,509951.30179850257
214,285.1645,8.13,545597.5529785156
215,285.1645,8.32,204766.46256510416
216,285.1759,6.22,178762.17549641925
217,285.1759,13.53,198921.90759277344
218,285.1873,8.54,832707.6858317057
219,285.1873,8.67,858945.2250976562
220,285.1873,8.8,963165.6324462891
221,285.2672,9.23,469307.1022135416
222,285.2672,9.35,510038.0450032552
223,285.3014,16.19,275198.001953125
224,286.1815,9.22,100811.54052734375
225,286.2502,8.19,594282.0102539062
226,290.1813,9.83,315257.3253173828
227,291.2045,5.47,238912.12076822913
228,291.2394,9.76,135005.7228190104
229,296.209,4.77,540878.3795572916
230,296.209,7.23,132868.52807617188
231,297.1584,10.36,498295.4396158854
232,297.1584,10.48,580583.0476074219
233,297.2297,11.05,523573.5211588541
234,297.2297,11.16,224654.30834960938
235,298.1585,4.65,309885.1320800781
236,298.2182,5.03,221678.52376302084
237,298.3494,15.13,517953.1529947916
238,298.3494,15.25,619621.3904622395
239,299.15,5.38,121733.45715332031
240,299.1859,13.53,225853.96952311197
241,300.1809,6.06,140231.4588216146
242,300.1809,7.17,218318.89306640622
243,300.2049,3.7,392719.03771972656
244,301.143,11.94,109677.48063151042
245,301.143,12.11,127386.9220377604
246,301.1671,5.31,193349.7647705078
247,301.1791,11.03,179874.35624186197
248,301.1911,8.55,130938.83060709634
249,302.2411,7.86,335847.41455078125
250,303.1734,5.03,3894374.940104167
251,303.1734,6.0,132151.6212565104
252,303.1734,7.08,110724.64892578125
253,303.1855,13.53,145555.69217936197
254,304.1816,5.02,517426.25744628906
255,304.1816,5.13,523121.4248046875
256,305.1687,8.52,381775.50089518225
257,305.1931,5.27,133618.65885416666
258,306.1591,7.21,968790.0675455729
259,306.1591,7.36,1005322.3352457681
260,306.1591,10.31,161407.8001302083
261,307.1649,7.2,139885.86393229166
262,307.2018,6.95,230662.50113932294
263,307.214,5.73,706496.8971354166
264,308.174,8.81,208056.55664062497
265,308.2973,15.83,1484954.5071614585
266,308.2973,15.94,2011999.125325521
267,308.2973,16.08,2250981.6833903
268,309.1988,9.89,324843.4864908854
269,309.2236,6.08,963299.591796875
270,309.2236,6.2,850849.2700195311
271,309.2236,6.32,963299.591796875
272,309.2978,15.82,308198.77490234375
273,309.2978,15.95,399389.4038899739
274,310.1526,4.24,306837.376953125
275,310.2395,12.85,331782.61722819007
276,310.2395,12.98,442598.49414062494
277,310.3139,16.45,810668.1649169922
278,310.3139,16.61,1163027.8400472002
279,311.184,8.84,171525.0169270833
280,312.3313,17.07,2509801.5009765625
281,312.3313,17.24,2800989.8345947266
282,313.0567,6.62,235675.28344726562
283,313.1193,7.76,500141.9506835937
284,313.1193,7.88,535630.0738932291
285,313.1444,12.03,197074.85734049478
286,313.207,7.56,116289.92020670572
287,313.2696,15.6,239903.6360677083
288,313.3323,17.08,473227.692220052
289,315.1801,5.69,2670475.710611979
290,315.1801,5.85,3172043.405192057
291,315.1801,5.97,3204955.041829427
292,316.1776,5.7,302676.24222819007
293,317.191,5.63,126674.60013834636
294,317.191,7.98,476091.3063151041
295,317.191,8.11,572718.6619466146
296,318.2712,8.09,1303428.8967692056
297,318.2712,8.25,1214258.593424479
298,318.2712,8.37,1303428.8967692056
299,319.2786,8.15,142948.00150553384
300,320.2122,13.53,808104.7858072915
301,320.2122,13.65,1100610.3001302083
302,320.2122,13.76,1290227.281616211
303,321.2128,13.53,219277.4364013672
304,321.2128,14.81,103290.46044921875
305,322.1521,5.21,286014.8850911459
306,322.2165,5.45,223968.18033854166
307,324.2334,5.69,561602.5622558594
308,324.2334,5.81,544606.8465169271
309,325.1685,13.54,176346.9500325521
310,325.2075,5.05,244725.29150390622
311,325.2205,12.04,633209.7356770833
312,325.2336,5.73,211241.2381184896
313,325.2336,11.86,128454.14729817708
314,326.2238,5.6,190211.85953776038
315,326.2499,6.09,401364.3513183593
316,326.2499,6.21,377899.649617513
317,327.0076,8.78,359117.2326253255
318,327.0076,8.91,393061.1799723307
319,327.217,8.65,360147.8538411458
320,327.217,8.77,507444.5388997396
321,329.0018,8.79,368349.5481770833
322,329.1993,5.75,151184.8655598958
323,329.2256,10.02,186120.486328125
324,331.1804,5.08,142181.86108398438
325,331.2069,6.11,441842.62011718744
326,331.2069,6.24,414792.1655273437
327,331.2069,6.35,441842.62011718744
328,331.2069,6.64,135281.15299479166
329,331.2864,15.59,2074855.0559895833
330,331.2864,15.72,2497684.699869791
331,331.2864,15.85,2923992.0862630205
332,331.2864,15.96,2914850.6443277993
333,333.1867,5.31,611540.9518229166
334,333.2267,5.58,233969.2957763672
335,333.2267,10.38,17031754.450968422
336,333.2267,10.53,17022288.732421875
337,333.2267,10.65,20102246.722656254
338,333.24,10.94,313259.658203125
