,m/z,rt,peak area
0,100.1117,5.48,461195.9770914713
1,107.0703,13.76,111404.83447265625
2,114.0919,3.53,123020.79463704427
3,115.0359,0.74,214826.87125651044
4,117.1112,3.6,100346.19462076822
5,120.0566,4.14,571326.9458007812
6,121.0499,4.14,571326.9458007812
7,125.1061,16.66,114710.86421712239
8,126.0908,4.37,112670.06119791666
9,130.1232,5.5,144718.9241536458
10,130.1596,3.46,1711654.74226888
11,130.1596,3.76,1437527.7128906248
12,130.1596,3.87,1698800.0279947915
13,134.0699,5.03,2844811.276041667
14,134.0699,5.17,2970888.602132161
15,136.0198,7.77,117490.24483235677
16,142.1609,5.24,3836208.0507812495
17,142.1609,5.37,3250237.931966146
18,142.1609,5.49,3836208.0507812495
19,144.1363,6.86,225569.54492187497
20,149.0257,11.93,599607.7563476562
21,149.0257,12.06,1654866.262044271
22,149.0257,12.29,264747.23246256507
23,149.0257,16.75,292742.7766927083
24,151.0723,4.24,129133.7277018229
25,151.0965,13.89,132137.4795328776
26,153.049,16.73,264524.1165364583
27,153.0919,16.06,293273.109375
28,153.0919,16.18,334378.5045572916
29,153.0919,16.94,138913.48828125
30,154.0871,3.63,120751.6183268229
31,158.9958,0.66,963884.4768066404
32,162.0909,5.19,150112.94026692706
33,163.0729,5.7,453440.4973958333
34,163.0729,5.83,490743.446126302
35,165.0877,5.03,795933.6340738932
36,165.0877,5.15,864847.2586669922
37,166.141,0.72,260283.73535156247
38,166.141,1.61,811812.8245442708
39,166.141,1.78,767131.0786132812
40,166.141,1.93,811812.8245442708
41,169.0841,3.58,144877.70686848956
42,170.1289,16.92,104864.51318359375
43,172.1689,9.6,127911.93188476561
44,173.1634,7.47,102767.0372721354
45,173.9827,7.47,102767.0372721354
46,174.1498,5.86,155520.0948079427
47,174.1846,5.53,504770.0109049479
48,174.1846,6.18,23203425.104166664
49,174.1846,6.41,25192033.2985026
50,174.1846,6.6,25346769.00480143
51,174.3031,6.18,948333.6541341145
52,175.1908,6.18,2410358.2447916665
53,175.1908,6.34,2637607.3343912764
54,175.1908,6.46,2745105.013387044
55,177.086,6.77,1541278.7071940103
56,177.086,6.92,1641707.8608398438
57,177.086,7.19,272195.4562174479
58,177.1002,3.37,323113.0209554036
59,180.1221,3.41,2171573.8022054033
60,180.1365,3.75,147434.03877766925
61,180.9815,0.62,1898045.1694335938
62,180.9815,0.75,2651071.2889811196
63,181.0612,9.1,130832.2980143229
64,181.1264,3.36,196870.71439615882
65,182.1362,2.46,149503.748046875
66,182.1872,4.85,651911.9256184896
67,182.1872,4.98,707604.4070638021
68,183.1224,10.37,249866.8728841146
69,184.136,8.38,886277.0992838541
70,185.1182,4.28,124128.0302734375
71,186.2248,5.33,904312.494954427
72,186.2248,5.46,1170086.4943847656
73,186.2248,5.58,1251328.419433594
74,186.2248,5.73,257494.55436197916
75,187.9986,0.64,188353.14274088538
76,187.9986,0.76,230419.7652994791
77,188.1264,6.06,306946.8561197917
78,190.1463,4.73,122967.99479166666
79,190.1463,5.59,212757.61885579425
80,191.13,3.94,145970.03304036456
81,192.1418,7.22,612804.7750651042
82,192.1418,7.35,664821.5715738932
83,192.1495,4.11,104857.77164713539
84,193.1358,6.51,868346.173055013
85,193.1358,6.62,970484.6215820312
86,193.1436,4.29,581493.8162434895
87,195.0924,7.81,128934.54785156249
88,195.1002,5.03,5362529.313151041
89,195.1002,5.24,5606095.316650391
90,196.1017,5.03,329700.3505859375
91,196.2037,4.64,361221.406656901
92,196.9507,0.75,122415.83675130206
93,196.9979,0.75,122415.83675130206
94,197.1162,4.84,116713.205078125
95,197.1162,4.97,119107.9091796875
96,198.0012,5.21,499250.23596191406
97,198.128,4.68,924743.8848876952
98,198.128,4.81,936635.8114827473
99,198.1518,6.36,1500793.8147786455
100,198.1518,6.56,1687304.9220377605
101,198.1518,6.71,2300085.679606119
102,198.1518,6.83,2447983.6751708984
103,198.1755,7.16,337061.2317708333
104,198.1835,3.69,150055.6035563151
105,198.1835,8.67,189542.28934733072
106,199.0892,7.38,1244866.5867919922
107,199.0892,7.52,1529554.4638264976
108,199.0892,7.65,1618460.9513346355
109,199.129,4.67,135763.48714192706
110,199.1529,6.46,130200.3302408854
111,199.1848,7.16,6023512.570312499
112,199.1848,7.33,6848829.760742187
113,199.1848,7.45,841840.5136718749
114,200.0871,7.37,131178.59273274738
115,200.1272,5.81,133780.1526692708
116,200.1672,5.91,2272874.0885416665
117,200.1672,6.04,2482632.252034505
118,200.1672,6.18,2680708.8925781245
