,m/z,rt,peak area
0,100.1116,5.46,691249.02734375
1,114.1283,4.72,198296.6468098958
2,124.0248,0.61,385467.2916666667
3,124.0248,0.73,629515.8446858723
4,130.1595,3.45,1403458.4046223955
5,130.1595,3.63,1391647.295410156
6,130.1595,3.75,1334001.5628255208
7,130.1595,3.87,1403458.4046223955
8,142.0357,0.61,274590.4293619792
9,142.0357,0.77,515771.2125651042
10,142.1608,5.25,5491186.621744791
11,142.1608,5.37,4340884.240234375
12,142.1608,5.49,5378691.665364583
13,142.1608,5.64,5491186.621744791
14,143.0277,0.62,147217.50944010416
15,144.1362,6.86,319552.1329752604
16,149.0255,11.94,509460.83268229157
17,149.0255,12.13,2025567.3736979165
18,149.0255,12.27,2440774.305013021
19,149.0255,12.39,2665368.238606771
20,149.0255,16.76,170843.25065104166
21,149.0613,9.74,146711.67757161456
22,153.0489,16.73,348915.15332031244
23,156.1406,3.79,430411.1653645833
24,158.0129,3.79,430411.1653645833
25,158.9956,0.62,1294524.5182291667
26,158.9956,0.74,604735.963704427
27,163.0727,11.71,260559.80338541666
28,166.1408,0.73,624526.8888346354
29,166.1408,1.57,865492.4456380208
30,166.1408,1.75,830451.4420572916
31,166.1408,1.87,810385.1139322916
32,166.1408,2.0,865492.4456380208
33,172.1687,9.61,194280.09138997394
34,179.0373,1.9,1003053.6145833333
35,179.0373,2.02,744811.9897460938
36,179.0373,2.14,1003053.6145833333
37,180.1219,3.37,2373956.1750081377
38,180.1219,3.57,2400130.1114908853
39,180.9813,0.65,778941.7513020834
40,180.9813,0.77,1080324.8840738933
41,180.9813,21.02,132600.0361328125
42,181.0248,0.63,540889.5452473958
43,181.0248,0.75,622573.6912434895
44,181.032,1.92,171487.86914062497
45,181.1262,3.36,205266.09212239584
46,182.136,2.43,211317.92911783853
47,183.0636,0.66,266850.0074869791
48,184.0474,0.61,887810.8854166666
49,184.0474,0.76,939649.8845621744
50,185.0514,0.66,119299.19954427084
51,186.2246,4.91,155822.18131510416
52,186.2246,5.35,1318172.977416992
53,186.2246,5.48,1675318.5904541016
54,186.2246,5.6,1759296.530924479
55,187.1355,7.9,100239.8328450521
56,193.1433,4.36,111318.49951171874
57,198.096,3.96,142897.60965983072
58,198.1753,7.18,542601.0078938801
59,199.0412,0.61,523380.0501302083
60,199.0412,0.77,558587.4908854166
61,199.1846,7.16,6920926.520182291
62,199.1846,7.35,7733142.811197917
63,199.1846,7.47,7739108.740600586
64,200.183,7.16,797592.8450520833
65,200.183,7.3,871786.4775390625
66,200.239,4.63,5708249.323201498
67,201.0255,0.62,120286.18489583333
68,201.0737,0.71,175194.57678222653
69,201.2427,4.64,709951.073079427
70,202.2191,4.12,304912.82503255206
71,202.2191,5.45,478251.55700683594
72,202.2191,5.58,617283.1491699219
73,205.0864,11.94,224225.05603027344
74,205.0864,12.06,1977344.6361490884
75,205.0864,12.21,1746281.0248616536
76,205.0864,12.35,1977344.6361490884
77,211.0955,5.45,101311.36572265625
78,212.1197,4.28,408316.794921875
79,214.2515,4.72,56334162.837402344
80,214.3801,4.73,3455536.68359375
81,215.0156,21.17,153906.7256673177
82,215.2565,4.72,8852876.405802408
83,216.0501,5.91,1020408.5035400391
84,216.0501,6.03,1113999.1844482422
85,216.197,4.16,160774.27868652344
86,216.2576,4.73,611401.5269368489
87,217.107,4.59,2514139.950195312
88,217.107,4.73,2591549.6826171866
89,217.1243,8.85,192278.86210123697
90,218.0382,0.62,764281.0697021484
91,218.0382,0.79,894683.766438802
92,218.0382,21.04,142471.06022135413
93,218.1079,4.58,214924.5286458333
94,219.0171,0.62,179536.02905273438
95,221.1209,8.23,259804.99572753903
96,221.1209,8.6,126794.77746582031
97,221.1298,7.0,1220786.5286458335
98,221.1563,7.17,172165.9375813802
99,221.1563,10.24,108948.72485351562
100,223.1289,7.0,349043.61364746094
101,225.1461,8.24,335746.10302734375
102,225.1461,8.36,364088.5930989583
103,226.1208,8.3,551545.400390625
104,226.166,7.92,129440.06233723956
105,226.1932,4.66,145854.807820638
106,228.0464,8.43,529890.9272867838
107,228.0464,8.56,574109.315266927
108,228.1924,8.18,745668.1046549479
109,228.1924,8.32,753555.4286702473
110,228.1924,16.32,148652.7881673177
111,228.2654,4.96,28997114.013020832
112,228.4024,4.96,1459767.55078125
113,229.1895,7.91,24472366.376057938
114,229.1895,8.16,26744803.719807945
115,229.1895,8.38,26827687.94580078
116,229.272,4.96,4812252.328694661
117,229.3179,7.91,987412.0472005208
118,230.062,6.14,1487381.6910807292
119,230.062,6.28,1532122.3572591147
120,230.1909,7.91,2605328.065104167
121,230.1909,8.05,2802470.885742187
122,230.1909,8.17,3095945.0066731772
123,230.2462,4.68,575451.043782552
124,230.2462,11.27,114109.98518880208
125,230.2738,4.96,313874.293375651
126,231.0673,6.13,166425.03116861978
127,234.1375,4.6,1707124.2148437498
128,234.1937,4.66,316659.767578125
129,235.17,11.03,288566.4077148437
130,236.1125,4.65,463815.1912841797
131,236.1125,4.77,482285.650390625
132,239.0872,4.58,182963.6112060547
133,239.1254,7.07,593456.9563802083
134,239.2402,15.59,1037437.9165039062
135,239.2402,15.71,1388706.3629557292
136,239.2402,15.84,1451592.0185546875
137,240.0166,0.64,309355.1036783854
138,240.2375,15.59,165424.6259765625
139,240.2664,5.13,536579.388671875
140,240.9882,0.61,575886.2447916666
141,242.2834,5.24,90490355.08333333
142,242.2834,5.41,420177030.5677083
143,242.2931,5.33,206606090.0
144,242.4191,5.35,54946672.65885416
145,243.2836,5.38,57090184.875
146,243.4296,5.38,8021015.403157552
147,244.2294,5.25,321466.76444498694
148,244.288,5.24,14873028.542805988
149,244.4248,5.34,377996.2486979166
150,245.2965,5.33,511157.6170654297
151,245.2965,5.45,595507.2913004558
152,245.2965,5.58,611965.1360677083
153,247.1678,6.39,211777.5039876302
154,249.183,11.34,316309.0029296875
155,249.183,11.46,390944.94002278644
156,251.1643,7.9,172432.44352213544
157,251.1844,5.2,355849.2821858724
158,255.0111,6.63,199261.3273111979
159,255.2356,12.68,316698.55745442706
160,255.2356,14.49,100399.82161458333
161,256.2278,7.18,126189.25826009114
162,256.2688,5.46,756352.3568929036
163,256.2995,5.76,7236545.422526042
164,256.2995,5.94,8033879.235351562
165,256.9668,0.62,2052341.1458333335
166,256.9668,0.76,2380233.6179606114
167,256.9668,21.07,322983.03450520826
168,257.2342,7.17,2079498.1725260415
169,257.2342,7.28,2181938.0909830723
170,257.2342,7.41,2383334.624348958
171,257.2444,15.6,120161.45849609375
172,257.265,5.46,144938.62972005206
173,257.3062,5.75,1179038.6282552083
174,257.3062,5.9,1364941.2304280596
175,257.9657,0.62,114984.3779296875
176,258.1515,9.83,238170.52278645834
177,258.2755,4.65,2058569.2202962239
178,258.2755,5.05,2368159.9375
179,259.2795,4.64,1562802.087931315
180,259.2795,5.05,357810.2743326823
181,261.247,13.8,349226.4995524088
182,262.2102,4.55,298591.7272135416
183,262.2102,4.67,286344.0221354166
184,267.1756,12.03,277744.83284505206
185,267.2718,16.52,626889.0088297527
186,267.2718,16.65,851576.2796223958
187,271.2242,12.27,1385716.2770182288
188,271.2242,12.39,1355589.4514973955
189,271.2242,12.51,1715303.9871826172
190,271.2242,12.63,1973181.3649088538
191,271.2242,13.11,159931.00862630206
192,272.2568,4.7,1821501.0360107422
193,273.1731,5.23,147324.11104329425
194,273.2605,4.78,251704.12923177084
195,274.1034,5.91,6831916.975260416
196,274.1034,6.13,7432124.6800130205
197,274.1034,6.32,7443486.179361979
198,274.2789,9.96,908782.2828776041
199,274.2789,10.08,996207.4944661458
200,275.103,5.91,996056.187174479
201,275.103,6.05,1078064.210611979
202,275.158,4.58,237299.56933593747
203,275.2791,9.96,105077.26057942708
204,276.2498,5.45,215678.12569173175
205,276.2498,5.62,2739380.333699544
206,276.2608,5.8,456885.14290364576
207,277.1795,11.09,301798.47786458326
208,277.1795,11.21,540796.958984375
209,277.246,5.62,425781.0245768229
210,278.2459,5.61,818667.9944661459
211,278.2459,5.74,860070.0659179686
212,278.2681,13.8,271366.67472330725
213,279.2047,4.44,155246.26102701822
214,280.1668,11.94,388905.9593098959
215,280.1668,12.05,1645187.853637695
216,280.1668,12.25,1539536.630859375
217,280.1668,12.36,1645187.853637695
218,280.2677,14.85,674609.1134440104
219,280.2677,14.96,688320.5550130208
220,280.2677,15.09,805744.6219075521
221,281.2447,13.84,403325.9878743489
222,281.2447,13.96,485109.4252522787
223,282.0107,0.61,472677.00146484375
224,282.2815,15.56,2043246.980102539
225,282.2815,15.71,2233890.6689453125
226,282.2815,15.82,2816071.4829508467
227,282.2815,15.95,3064140.287923177
228,282.2815,16.07,3138947.3201497393
229,283.1976,8.27,408285.39656575525
230,283.2089,8.38,115637.36718749999
231,283.2656,14.06,282558.1240234375
