,mz,assymetric,integration,sn,hw,ab,label
0,196.99735007900767,"[-0.005533333, 0.199199988]",296175.78320312494,0.892,36466.0,1.072,3
1,196.99735007900767,"[-0.011066666, 0.105133327]",140804.3240559896,0.915,67609.0,0.853,3
2,420.9756904755724,"[-0.049799997, 0.13833332499999998]",697342.7938639323,0.0,195821.0,0.557,1
3,483.34579373259214,"[-0.022133332, 0.12173332599999999]",179794.6885579427,0.0,59442.0,0.809,1
4,701.4045884637642,"[-0.011066666, 0.171533323]",201843.8046875,1.212,39443.0,0.849,1
5,560.5785423799547,"[-0.038733330999999996, 0.15493332399999998]",1166191.0590820312,0.0,308356.0,0.558,1
6,376.34163373336435,"[-0.05533333, 0.14386665799999998]",9466836.904378254,2.161,1911141.0,0.691,1
7,376.34163373336435,"[-0.171533323, 0.082999995]",10956518.464274088,2.8,989168.0,0.946,1
8,376.34163373336435,"[-0.29879998199999996, 0.07193332899999999]",12025781.465494791,5.492,158149.0,3.061,1
9,226.19275033008608,"[-0.005533333, 0.099599994]",105203.037109375,0.0,53831.0,0.978,1
10,319.1881131985382,"[-0.005533333, 0.23793331899999998]",254047.37447102863,1.116,24199.0,0.98,1
11,359.20679855805565,"[-0.005533333, 0.14939999099999998]",179765.51086425778,0.987,35683.0,1.161,3
12,272.2344947235878,"[-0.005533333, 0.182599989]",207628.2784016927,1.033,30594.0,1.061,1
13,529.5621326111803,"[-0.038733330999999996, 0.099599994]",282867.0149739583,0.0,130789.0,0.625,1
14,316.13862924362036,"[-0.038733330999999996, 0.182599989]",669756.7683105469,0.0,87039.0,0.869,1
15,420.35311972099646,"[-0.016599998999999997, 0.082999995]",112649.53649902344,1.35,77889.0,0.807,3
16,273.17257519731345,"[-0.005533333, 0.16046665699999998]",452293.84924316406,0.278,35140.0,2.585,1
17,790.5765473177895,"[-0.027666665, 0.16046665699999998]",219834.5146484375,1.114,35138.0,0.978,1
18,383.2076347727838,"[-0.016599998999999997, 0.14386665799999998]",299115.19531249994,1.583,82210.0,0.782,3
19,396.3177533093791,"[-0.044266664, 0.177066656]",1185549.9412434895,2.368,211163.0,0.634,1
20,396.3177533093791,"[-0.193666655, 0.12173332599999999]",1407378.7005208333,0.0,59546.0,1.315,1
21,534.349607377507,"[-0.022133332, 0.127266659]",174597.3326822917,0.0,55924.0,0.774,1
22,230.19048526342652,"[-0.082999995, 0.16599999]",2719236.129557292,2.851,395493.0,0.614,1
23,230.19048526342652,"[-0.204733321, 0.193666655]",3313019.4397786455,5.756,125931.0,0.917,1
24,230.19048526342652,"[-0.398399976, 0.044266664]",3369330.340128581,0.0,20179.0,4.715,1
25,214.2510799595875,"[-0.06639999599999999, 0.315399981]",51184192.08528646,101.254,5481407.0,0.354,1
26,338.3427584679082,"[-0.07193332899999999, 0.337533313]",5911378.018351236,18.546,485626.0,0.402,1
