,m/z,rt,sn,score,peak area
0,100.1116,5.59,0.0,3,745722.5918782551
1,114.1283,4.73,0.0,2,214279.9384765625
2,117.1111,4.73,0.0,2,214279.9384765625
3,124.0248,0.61,3.157,3,296009.0771484375
4,130.1595,3.46,1.05,1,1134879.8849283853
5,130.1595,3.69,2.635,1,1085341.5082600908
6,130.1595,3.82,2.97,3,1134879.8849283853
7,140.0668,0.71,0.0,2,215558.0314127604
8,142.0358,0.64,1.277,3,332705.61442057294
9,142.1608,5.24,2.764,1,5824297.063476562
10,142.1608,5.37,2.504,2,4604197.971272786
11,142.1608,5.49,10.788,2,5824297.063476562
12,142.1608,5.69,0.0,2,5863305.35611979
13,143.0278,0.62,1.835,2,145065.18050130206
14,144.1362,6.87,1.834,2,282946.4080810547
15,144.1362,6.99,0.733,2,320469.1603597005
16,153.0489,16.73,4.974,3,336840.8426106771
17,155.0887,16.06,0.0,2,108064.08040364583
18,155.9721,16.06,0.0,2,108064.08040364583
19,156.1406,3.76,0.0,2,154966.25870768228
20,158.0129,3.76,0.0,2,154966.25870768228
21,158.9956,0.61,2.484,3,651772.5981445312
22,158.9956,0.74,0.788,1,333623.7064615885
23,165.0017,0.63,0.0,1,174516.35465494788
24,165.0479,0.61,3.311,3,223628.4357096354
25,166.1408,0.73,0.0,2,513240.84814453125
26,166.1408,1.59,1.035,1,879719.7661946614
27,166.1408,1.75,2.154,1,850160.2260742188
28,166.1408,1.87,2.309,2,794950.9778645834
29,166.1408,1.99,1.42,3,879719.7661946614
30,172.1688,9.61,2.142,3,183585.87207031247
31,179.0373,1.89,1.037,3,703538.9008789061
32,179.0373,2.01,1.756,3,681134.4291992186
33,179.0373,2.14,1.306,1,703538.9008789061
34,180.122,3.42,0.0,1,2413558.0037434893
35,180.9814,0.64,2.847,1,1463425.4479166665
36,180.9814,0.76,0.0,1,1874548.4081624346
37,180.9814,20.84,0.89,2,138764.9383544922
38,180.9814,21.03,0.0,1,125765.65132649739
39,181.1262,3.36,0.0,2,204798.1279296875
40,182.1361,2.42,1.14,1,221022.49007161456
41,184.0475,0.61,3.147,1,394695.4254557291
42,184.0475,0.73,0.0,3,694757.7102864584
43,186.2246,5.25,1.836,3,1988073.537434895
44,186.2246,5.37,3.557,3,1838964.2496744788
45,186.2246,5.52,3.041,2,1988073.537434895
46,186.9934,0.64,3.539,2,606382.6393229166
47,186.9934,17.88,0.985,2,1958629.8772786458
48,186.9934,19.45,0.683,1,2120890.4518229165
49,186.9934,20.82,0.976,1,189030.92264811197
50,187.1356,7.91,0.0,2,103386.1515299479
51,187.2255,5.33,1.218,3,120126.25276692708
52,196.9978,21.08,1.286,3,2431543.371744792
53,196.9978,21.2,1.816,1,2103172.8640950522
54,196.9978,21.33,1.706,1,2431543.371744792
55,196.9978,22.32,0.992,1,164408.6435546875
56,198.0961,3.92,0.0,1,131098.80444335938
57,198.1754,7.18,6.612,1,540367.7146809895
58,198.1754,7.29,1.327,3,553109.4095865886
59,199.0413,0.65,0.0,3,229892.59769694012
60,199.1846,7.17,17.598,2,7112522.06315104
61,199.1846,7.36,2.96,2,7783114.878743488
62,199.1846,7.49,2.8,1,7837711.108072916
63,200.023,0.61,2.716,1,1232060.9986979165
64,200.023,0.75,2.52,2,1685840.8876139321
65,200.023,0.89,0.0,3,1822200.4907633462
66,200.023,21.05,2.552,2,563496.6474609375
67,200.023,21.2,1.632,1,794051.6885579426
68,200.183,7.17,8.672,3,854732.7721761067
69,200.183,7.31,1.196,3,874309.9444986978
70,200.2391,4.64,14.849,1,5743402.117838541
71,200.2391,4.76,0.0,2,6046862.983561198
72,201.2428,4.64,0.0,2,770456.4928385416
73,202.2191,4.14,1.992,1,144602.93343098956
74,202.2191,5.45,3.436,1,311042.0081380208
75,205.0865,11.95,2.114,3,1397769.7086588538
76,205.0865,12.07,2.144,2,1466007.2115071614
77,205.0865,12.25,1.925,2,1517673.4743245444
78,205.0865,12.38,0.0,3,1587977.1153971353
79,207.1393,5.94,0.0,3,102312.20296223958
80,207.1559,5.68,0.0,1,148170.2560221354
81,214.2516,4.73,127.423,2,60394126.928385414
82,214.3801,4.73,0.0,3,3779649.8024088535
83,215.0156,21.09,0.729,2,137763.2776692708
84,215.0156,21.23,0.915,1,275817.5089111328
85,215.2566,4.73,111.896,1,9490996.972167967
86,216.0502,5.91,13.947,3,1265743.1686197915
87,216.0502,6.09,1.328,2,1291783.34391276
88,216.1971,4.17,0.0,1,137517.95784505206
89,216.2577,4.74,0.0,2,643905.9349365234
90,217.0463,0.85,1.193,3,470090.4801432291
91,217.0463,1.12,0.841,2,174862.6101888021
92,217.0463,1.26,0.989,1,158615.76171875
93,217.0463,21.07,2.772,1,485251.9140625
94,217.0463,21.2,1.469,3,620671.740234375
95,217.055,5.9,1.596,2,154340.1115315755
96,217.1071,4.6,22.649,2,2615871.066080729
97,217.1071,4.74,0.0,1,2670160.1089274082
98,217.1244,8.85,1.996,1,191733.01424153644
99,218.0382,0.64,0.946,1,336743.1852213542
100,218.0382,0.77,0.546,2,124790.65738932292
101,218.0382,21.05,1.789,2,130472.24458821614
102,218.108,4.59,0.0,1,219675.53788248697
103,221.121,8.24,0.0,1,284553.8747558594
104,221.121,8.61,1.676,2,125698.05859374999
105,221.1299,7.0,0.0,3,1228549.8795572915
106,223.129,7.0,0.0,3,381759.8614908854
107,224.0412,0.62,0.0,2,127232.15913899738
108,225.1462,8.27,3.892,1,334766.0483805339
109,226.1209,8.29,2.104,1,453712.5501302083
110,226.1933,4.65,1.875,2,145796.92224121094
111,228.0465,8.43,6.235,3,719344.291015625
112,228.0465,8.55,1.513,2,761031.4542643229
113,228.1925,8.18,2.705,1,565250.5221354167
114,228.1925,8.3,2.07,2,573666.4409586589
115,228.1925,16.13,2.512,1,250749.90397135416
116,228.1925,16.3,2.235,1,214969.0634765625
117,228.2655,4.96,123.736,2,32094077.252848305
118,228.4025,4.96,0.0,2,1623431.7252604165
119,229.1896,7.92,13.907,1,24709082.348958332
120,229.1896,8.14,10.939,1,27894547.245849606
121,229.2721,4.96,0.0,2,5284686.399536133
122,229.3179,7.91,0.0,1,1023274.9378255208
123,230.0621,6.15,16.24,3,1600386.0679117837
124,230.0621,6.27,1.999,3,1635702.353149414
125,230.0621,6.39,1.135,3,1685195.976236979
126,230.191,7.91,11.287,1,2829823.3561197915
127,230.191,8.11,2.161,2,3203273.0639648438
128,230.191,8.23,1.864,2,3228259.2446289062
129,230.2462,4.69,7.328,3,579329.3181966145
130,230.2462,11.27,1.494,3,117128.70003255206
131,230.2739,4.97,0.0,1,365106.74121093744
132,231.0674,6.15,0.0,2,177887.6761067708
133,231.1876,7.89,0.0,3,115469.50732421875
134,233.0258,21.67,0.963,3,126375.67626953124
135,234.1376,4.6,16.116,1,1738540.746907552
136,234.1376,4.72,1.667,3,1789340.8780924478
137,235.1701,11.02,2.389,3,248065.7293294271
138,235.1701,11.14,0.0,1,270991.30029296875
139,236.1126,4.64,4.904,1,486896.5725504557
140,239.0873,4.59,0.0,1,194634.2080078125
141,239.1255,7.21,2.211,3,290334.91507975257
142,239.2403,15.59,3.421,1,859946.0800781249
143,239.2403,15.71,1.876,3,1105806.7569580078
144,240.0167,0.63,0.0,1,488462.2736002604
145,240.2376,15.57,0.0,1,137281.7012125651
146,240.2665,5.12,0.0,2,521844.60449218756
147,242.2835,5.25,0.0,1,80502730.46940103
148,242.2835,5.42,101.223,1,418925364.3385416
149,242.2835,5.78,2.796,2,418519211.80403644
150,242.2931,5.32,0.0,2,250951122.66666666
151,242.4192,5.25,3.698,2,61476005.859375
152,242.4192,5.5,2.598,1,58800823.66145832
153,242.4192,5.62,4.709,3,61476005.859375
154,243.2837,5.34,1.043,1,54749845.28645833
155,243.2837,5.47,0.723,3,42351011.70833333
156,243.4297,5.36,0.808,2,8839404.112630207
157,244.2295,5.26,0.0,1,325577.07421875
158,244.2881,5.25,12.319,1,15837319.988932291
159,245.2966,5.33,2.096,1,560768.3323567709
160,245.2966,5.46,1.653,3,599960.2031656901
161,246.9999,0.63,4.607,1,327908.896484375
162,247.1679,6.4,0.0,1,213765.38297526038
163,249.1831,11.34,2.46,2,278431.2373046875
164,251.1644,7.91,0.0,2,190779.70849609372
165,251.1845,5.16,0.0,2,414132.7027994792
166,255.0112,6.63,0.0,2,245605.05143229163
167,255.2357,12.66,2.269,2,291698.3321940104
168,255.2357,12.78,1.528,1,303342.03910319007
169,255.2357,14.48,0.0,3,126762.9405924479
170,256.2279,7.15,0.0,3,133128.9814453125
171,256.2996,5.76,16.755,3,8365715.326822916
172,256.2996,5.94,0.0,1,9222506.866048176
173,256.9669,0.66,2.406,3,532985.8632405598
174,256.9669,0.8,0.0,1,654089.7587483723
175,256.9669,21.07,0.0,1,322389.18489583326
176,257.2343,7.17,12.021,2,2231016.593424479
177,257.2343,7.3,2.373,2,2312134.332519531
178,257.2343,7.43,0.0,2,2468855.459960938
179,257.2651,5.48,0.0,1,127012.64908854166
180,257.3063,5.76,9.918,1,1483363.460611979
181,257.3063,5.9,2.162,2,1597778.3033447266
182,258.1516,9.85,0.0,2,221685.89192708334
183,258.2342,7.18,1.146,3,193842.2073567708
184,258.2756,4.64,0.242,3,1980715.8296305337
185,258.2756,5.05,13.274,2,2287126.8541666665
186,258.2756,5.18,2.467,2,2401859.6979166665
187,259.2796,4.65,3.306,2,1566350.0042317705
188,259.2796,4.87,0.0,2,1598938.0538330078
189,259.2796,5.05,0.0,1,362558.6885579427
190,262.2103,4.58,0.0,1,182556.00439453125
191,263.177,14.53,0.0,3,107775.74951171875
192,267.1757,12.03,0.0,2,310005.19807942706
193,267.2719,16.53,5.27,3,675465.1420084634
194,267.2719,16.64,1.856,3,744662.5983072916
195,268.9986,0.64,7.63,2,451431.70402018225
196,268.9986,0.76,0.0,1,538090.7013346354
197,272.2569,4.7,0.0,3,1813984.8692626953
198,272.2569,14.88,0.0,2,112115.23307291666
199,272.9329,21.11,1.021,1,116524.20930989583
200,273.1732,5.21,0.0,2,179596.88134765625
201,273.2606,4.79,0.0,3,261080.8798828125
202,274.1035,5.93,12.45,3,7878499.983072916
203,274.1035,6.15,4.319,1,8598036.94482422
204,274.1035,6.31,2.05,3,8598922.896525066
205,274.279,9.96,3.135,2,768384.5201822917
206,274.279,10.11,1.185,2,909198.628133138
207,275.1031,5.93,4.27,2,1107092.6975911458
208,275.1031,6.06,2.118,1,1269691.6277669272
209,275.1581,4.59,0.0,3,268948.9456380208
210,276.2499,5.45,0.741,1,203504.82666015625
211,276.2499,5.63,27.04,2,2853612.322916666
212,276.2499,5.75,2.857,2,2875478.616170247
213,276.2609,5.79,3.638,3,598090.7470703125
214,277.1796,11.08,2.489,3,470076.9399414062
215,277.1796,11.2,2.159,3,504020.795328776
216,277.2461,5.62,0.0,2,454085.80867513013
217,278.246,5.62,8.908,2,886023.6030273436
218,278.246,5.76,0.0,1,1005590.8649088541
219,278.2683,13.8,0.0,1,135553.94425455728
220,279.2048,4.44,0.0,3,114699.59729003906
221,280.1669,11.93,1.433,3,472580.5048828125
222,280.1669,12.06,1.234,1,1242302.1961669922
223,280.2678,14.83,2.169,2,727152.7044270833
224,280.2678,15.01,2.0,3,731567.2913818359
225,280.2678,15.13,1.353,3,761373.9122721354
226,281.2448,13.84,2.233,2,427463.74149576825
227,281.2448,13.95,1.445,1,587357.9173990886
228,282.2816,15.56,2.454,1,1807266.9624837239
229,282.2816,15.73,2.126,3,2430030.217773437
230,282.2816,15.86,1.829,2,2828124.779622395
231,282.2816,15.97,1.78,3,3137555.784342448
232,282.2816,16.09,1.4,2,3163829.9383138022
233,283.1977,8.28,1.009,3,220556.19726562497
234,283.2657,14.06,0.0,1,315496.94514973956
235,283.277,15.68,0.943,1,220759.9851888021
236,284.1849,8.29,0.0,1,166658.10506184894
237,284.2986,16.18,5.23,1,1357135.1865641274
238,284.2986,16.39,1.957,1,1498149.0066324868
239,284.2986,16.51,1.211,2,1521522.3072916665
240,284.3327,13.44,0.0,2,120172.92724609375
241,285.1756,13.53,2.627,2,231603.1222330729
242,285.3011,16.17,1.678,3,208243.22342936194
243,286.2498,8.12,1.113,2,1172213.3564453125
244,286.2498,8.25,3.332,2,958737.6445719401
245,286.2498,8.38,1.816,3,990692.4752197266
246,286.2498,8.5,1.26,1,1172213.3564453125
247,288.1223,6.14,13.834,3,5245099.882161458
248,288.1223,6.3,2.019,2,5442286.8323567705
249,288.1223,6.41,3.561,1,5639261.516927083
250,288.1223,6.54,1.229,3,5648813.867024738
251,288.2952,4.71,0.889,1,577609.2288411458
252,289.1151,6.14,3.005,3,607172.107421875
253,289.1729,9.84,2.181,1,211685.48803710938
254,290.181,9.85,5.887,1,5459143.127360026
255,290.181,9.98,3.383,1,6399772.018229166
256,290.181,10.13,2.402,3,6967632.286010742
257,290.181,10.3,2.649,1,7001886.3850911455
258,291.1809,9.85,4.228,3,930034.2337239583
