,m/z,rt,sn,score,peak area
0,100.1117,5.47,0.0,3,658076.9528808594
1,114.1284,4.72,2.779,3,149888.8782552083
2,117.1111,4.12,0.983,1,110013.55061848958
3,117.1111,9.4,0.964,1,146885.0872395833
4,124.0249,0.62,5.259,1,786355.8494059243
5,124.0249,0.74,0.0,2,938582.1030273438
6,130.1596,3.46,0.0,2,1459311.7018229165
7,130.1596,3.64,1.759,1,1423384.6702473958
8,130.1596,3.85,2.474,3,1415917.205525716
9,142.0358,0.6,2.3,3,399735.9189453125
10,142.0358,0.73,2.199,2,699748.0952148436
11,142.1609,5.25,0.0,3,5244599.07792155
12,142.1609,5.36,2.731,3,4079238.3916015625
13,142.1609,5.5,7.237,1,5188133.470703125
14,142.1609,5.64,0.0,3,5244599.07792155
15,143.0278,0.74,0.962,3,106358.04829915364
16,144.1363,6.86,2.15,1,305033.0888671875
17,149.0257,11.94,2.14,3,470383.1726074218
18,149.0257,12.05,0.474,3,1248484.234049479
19,149.0257,12.28,0.83,1,306033.17985026044
20,149.0257,16.8,0.851,2,203278.96549479166
21,153.049,16.72,4.195,2,329269.0298665364
22,154.124,5.66,0.0,2,160211.0128580729
23,156.1407,3.76,1.804,1,251459.20035807288
24,158.013,3.76,1.804,1,251459.20035807288
25,158.9957,0.62,2.407,2,1096827.0457356772
26,158.9957,0.76,1.059,1,392194.3470052084
27,159.0021,21.17,0.643,2,125237.30480957031
28,165.048,0.6,4.093,1,466398.37133789057
29,166.1409,0.73,0.0,3,609275.4290364583
30,166.1409,1.59,1.0,3,915389.4436848958
31,166.1409,1.75,2.012,1,897441.2298583984
32,166.1409,1.87,2.059,2,837443.3645833333
33,166.1409,1.99,1.302,1,915389.4436848958
34,170.1288,16.04,1.152,1,180912.0205078125
35,170.1288,16.92,1.543,1,201122.5205078125
36,170.1288,19.1,0.875,3,111722.0830078125
37,172.1688,9.62,2.425,1,179390.6163330078
38,179.0374,1.9,0.931,3,265948.3279622396
39,180.122,3.39,5.226,3,2299978.1399739585
40,180.9815,0.64,3.796,2,867110.9351399739
41,180.9815,0.75,3.222,1,1112246.3374837239
42,180.9815,21.03,1.505,2,118540.52604166666
43,181.0249,0.64,3.735,3,533356.034016927
44,181.0249,0.75,1.527,1,648900.0021158854
45,181.1263,3.36,1.522,1,212525.75732421875
46,182.1361,2.41,0.0,3,229736.88728841144
47,183.0637,0.64,0.0,3,398116.04182942706
48,184.0476,0.6,3.967,2,1012856.6715494792
49,184.0476,0.75,0.0,3,1344981.9010416665
50,184.2096,5.33,1.23,1,382066.41927083326
51,185.0515,0.65,0.0,2,201748.85115559894
52,186.046,0.64,0.0,1,130243.88704427083
53,186.2247,4.91,0.0,3,162263.9375
54,186.2247,5.25,1.246,2,1710273.6861979165
55,186.2247,5.37,2.307,2,1390511.279703776
56,186.2247,5.5,2.268,1,1710273.6861979165
57,187.2255,5.32,1.112,3,109949.84342447916
58,193.1435,4.36,0.0,2,112411.14298502603
59,196.9979,21.08,1.5,1,2111476.453125
60,196.9979,21.21,1.623,3,1977433.2379964192
61,196.9979,21.34,1.702,2,2052514.390299479
62,196.9979,21.46,1.536,1,2111476.453125
63,196.9979,22.12,0.953,3,481282.14697265625
64,198.0962,3.93,0.0,1,137190.88736979166
65,198.1755,7.18,6.718,3,548079.5960286459
66,199.0414,0.61,2.833,1,410575.1778971354
67,199.0414,0.74,2.167,2,464250.3982747395
68,199.1847,7.17,16.223,3,7229632.580851236
69,199.1847,7.35,2.44,3,7894622.686157227
70,199.1847,7.47,2.909,1,7986291.387980143
71,199.1847,7.59,1.811,1,8029767.170084635
72,200.023,0.62,2.386,3,1735318.7624511716
73,200.023,0.75,3.175,2,2610746.811848958
74,200.023,0.88,2.952,1,2750243.6105143228
75,200.023,21.05,2.291,1,475707.81306966144
76,200.023,21.18,1.782,2,755095.9336751301
77,200.1831,7.17,6.611,3,837535.4114583331
78,200.2392,4.64,65.011,1,4763797.678833008
79,201.0739,0.64,1.734,2,494821.80273437494
80,201.2429,4.64,9.255,3,588368.7278645833
81,202.2192,4.12,3.056,1,261085.67248535153
82,202.2192,5.45,3.118,1,451440.2971598307
83,202.2192,5.57,1.403,2,601775.888346354
84,205.0865,11.92,2.093,3,1348692.0408121746
85,205.0865,12.05,1.993,1,1509354.6634114583
86,205.0865,12.25,1.983,3,1417324.122721354
87,205.0865,12.37,1.257,2,1511654.493693034
88,207.1559,5.66,0.0,1,106315.20182291666
89,212.1198,4.24,0.0,1,131693.15197753906
90,214.2516,4.73,121.23,2,48427601.923583984
91,214.3802,4.73,0.0,2,2833681.1080729165
92,215.2567,4.73,0.0,2,7547803.519938151
93,216.0503,5.92,11.545,2,997699.4096272786
