,m/z,rt,sn,score,peak area
0,100.1118,5.34,1.649,2,136595.51920572916
1,130.1597,3.47,0.0,2,1087997.7223307292
2,130.1597,3.62,2.325,3,1076586.1051432292
3,130.1597,3.76,2.772,2,1029238.4472656251
4,130.1597,3.87,0.0,3,1087997.7223307292
5,134.07,5.03,0.0,2,501395.64432779944
6,142.1611,5.36,4.913,2,1143846.162109375
7,144.1364,6.87,2.936,1,332212.97835286456
8,149.0258,11.93,2.4,3,422123.71289062494
9,149.0258,12.06,0.44,1,736577.6321614583
10,149.0258,12.2,0.53,2,329218.615234375
11,149.0258,16.74,2.308,3,172721.31119791666
12,153.092,16.0,1.093,2,416466.4736328125
13,153.092,16.93,2.04,3,137588.5325520833
14,158.9959,0.62,3.608,1,592506.1385091145
15,158.9959,0.76,1.086,3,273967.3894042969
16,170.129,16.91,1.152,1,135077.61800130206
17,170.129,19.94,0.905,1,108202.04036458334
18,170.129,20.16,0.874,1,104958.3428548177
19,172.169,9.63,2.504,3,183409.9560546875
20,173.9828,9.63,2.504,3,183409.9560546875
21,180.1223,3.35,1.906,2,318048.13553873694
22,180.9817,0.63,5.105,2,864753.9248046875
23,180.9817,0.75,0.0,3,1030285.0721028645
24,181.0251,0.71,0.29,1,148133.95003255206
25,181.0251,21.05,1.478,2,156504.05647786456
26,181.0324,0.76,0.0,3,303321.08740234375
27,181.0324,1.05,1.644,2,253029.54671223956
28,181.0324,1.86,1.01,3,785480.172688802
29,181.0324,1.99,1.851,3,648751.6599934896
30,181.0324,2.11,1.534,2,785480.172688802
31,181.0613,8.8,0.0,2,142947.18717447916
32,181.0613,9.1,2.98,1,257954.82409667966
33,182.1874,4.84,2.97,2,194676.25732421875
34,183.1006,4.23,1.954,3,144749.4358723958
35,186.2249,5.36,1.335,2,305124.85139973956
36,193.1437,4.35,1.379,1,252095.51652018228
37,196.2039,4.64,0.0,1,127561.9980875651
38,198.1281,4.69,3.715,3,210674.56469726562
39,199.0098,4.09,0.0,2,101838.19677734375
40,199.0416,0.61,2.544,2,196160.17285156247
41,199.185,7.16,3.861,1,832226.6540934243
42,199.185,7.29,0.932,2,1017418.6103515625
43,200.2394,4.64,0.0,3,295637.381266276
44,202.2195,5.43,0.0,1,167740.4922688802
45,205.0868,11.94,1.983,2,191885.82600911456
46,205.0868,12.07,0.92,1,466868.75244140625
47,207.1562,5.68,3.039,2,207278.3127034505
48,210.1019,5.17,8.431,2,576456.5024414062
49,210.186,10.53,0.0,2,190981.7443440755
50,211.0959,5.46,0.0,2,105038.01448567708
51,212.1201,4.27,13.393,1,1316418.92972819
52,212.1201,4.43,0.0,1,1328542.9396158853
53,213.1237,4.27,0.0,2,188761.18066406247
54,214.2519,4.72,0.0,1,4336347.672363281
55,215.0074,22.28,0.885,3,102517.2550455729
56,215.2569,4.73,0.0,3,606194.706258138
57,217.0466,0.65,0.386,2,332687.9641113281
58,217.0466,0.87,0.902,2,238561.46923828122
59,217.0466,1.03,0.765,1,292190.7902018229
60,217.0466,21.07,1.918,1,410672.4422607422
61,217.0466,21.2,1.511,1,670728.5315755208
62,217.1074,4.59,0.0,1,580479.0923258462
63,217.1248,8.84,0.0,1,275346.29756673175
64,218.0386,0.62,2.758,2,379150.3634440104
65,218.0386,0.74,2.28,3,445129.54626464844
66,218.0386,21.04,1.57,1,138718.80712890625
67,221.1214,8.24,2.486,3,250820.2970784505
68,221.1214,8.36,1.053,2,306100.3224283854
69,221.1214,8.6,1.356,3,114791.88085937497
70,221.1568,10.25,0.0,2,117993.35530598956
71,221.1656,8.38,1.806,1,133558.08756510416
72,223.1204,8.07,0.821,3,106868.39090983072
73,223.1561,4.27,0.0,2,1832682.245727539
74,224.1581,4.27,0.0,1,159801.37263997394
75,224.185,5.68,0.0,1,127427.28877766925
76,225.1465,8.27,2.991,2,379696.13867187494
77,225.1916,8.46,2.536,3,205530.03564453122
78,226.1936,4.67,2.165,2,159858.8370361328
79,227.2092,9.23,0.0,1,176767.40295410156
80,228.1929,8.18,1.885,2,653675.5423177083
81,228.1929,8.3,2.085,2,672109.8697916666
82,228.1929,8.42,1.134,3,743323.0651855469
83,228.1929,16.3,2.552,3,269710.6145833333
84,228.1929,16.42,0.0,2,293696.4020182291
85,228.2659,4.96,13.492,2,2236187.1075846353
86,228.2659,5.08,0.0,2,2355980.4011637364
87,229.1899,8.13,0.763,2,402320.88761393225
88,229.1991,5.48,0.0,2,110070.82291666666
89,229.2725,4.96,0.0,1,326060.1954345703
90,230.0625,6.13,0.0,2,142394.01733398438
91,230.1914,7.91,3.313,3,279460.05867513025
92,233.0262,21.62,0.82,1,134798.7421875
93,233.0262,21.74,0.927,1,215485.06624348956
94,233.0262,21.94,0.994,3,177563.32958984375
95,234.138,4.58,0.0,2,389828.1472167968
96,235.1704,11.0,1.176,3,223436.88964843747
97,235.1799,4.25,0.0,1,149885.77315266925
98,235.1799,4.95,0.0,3,135650.8506266276
99,236.113,4.65,3.505,3,459339.4354654948
100,239.2407,15.6,0.0,3,203959.13151041666
101,240.0171,0.63,2.481,3,285418.63468424475
102,240.0171,0.75,0.0,2,365798.7586263021
103,240.1804,4.28,6.353,1,1277498.3127441406
104,240.1804,4.41,0.0,3,1473502.9920247397
105,242.2838,5.25,13.849,1,242129126.60148114
106,242.4196,5.36,19.737,2,15421148.876302082
107,243.2841,5.24,0.035,3,622792.057454427
108,243.2841,5.36,6.311,3,36570610.973958336
109,243.2841,5.58,0.641,3,1539837.7572835286
110,243.4301,5.36,0.0,1,2459971.695800781
111,244.1908,7.86,0.0,2,195528.85107421875
112,244.2885,5.37,10.916,2,3545770.7710774736
113,244.2885,5.49,2.97,3,3740288.2265625
114,244.2885,5.62,0.0,1,3806267.092081705
115,245.1401,4.27,0.0,1,357814.7040608724
116,245.297,5.35,0.0,2,117152.83919270831
117,246.1816,4.48,0.0,3,134868.0224609375
118,249.1835,11.34,2.073,1,313521.71769205725
119,249.1835,11.46,1.502,1,555918.5227050781
120,251.1547,9.97,0.791,1,131642.87744140625
121,251.1849,5.15,0.0,1,1549049.9567057295
122,251.1849,5.27,4.777,1,1371768.3626302083
123,251.1849,5.39,0.0,2,1549049.9567057295
124,255.0116,6.63,4.548,2,858664.5305989583
125,255.0116,6.77,0.0,2,1022625.7786051431
126,256.3001,5.75,5.631,1,633159.1115722656
127,256.9673,0.61,8.375,3,452211.9848632812
128,256.9673,21.06,0.0,1,299245.78206380206
129,257.2347,7.18,0.0,1,245432.2633463542
130,258.276,4.64,0.0,3,736265.3316650391
131,258.276,5.04,0.0,3,178405.8447265625
132,262.2107,4.56,0.0,1,239883.30594889322
133,265.1639,8.8,1.637,3,119982.08040364583
134,265.1639,9.1,2.371,3,209612.45361328125
135,265.1957,6.26,1.426,1,309035.7701822916
136,267.1761,4.54,0.0,1,429986.7156575521
137,267.1761,11.87,1.923,2,466668.6547851562
138,267.1761,11.99,1.082,1,817139.9936930339
139,267.2723,16.53,0.0,1,135727.4993489583
140,271.062,7.66,0.0,2,126503.79748535156
141,271.1596,4.9,1.214,3,104565.04231770833
142,271.1705,10.05,1.86,3,196771.96732584634
143,271.2247,12.3,1.826,1,376291.6826171875
144,271.2247,12.43,1.775,1,471521.9177246093
145,272.2573,4.77,0.0,3,148349.53955078125
146,273.1736,5.16,0.242,2,167942.04671223956
147,273.1736,5.29,1.255,2,395055.6202799479
148,273.1736,5.42,0.285,1,467474.2760416666
149,273.1845,12.29,0.0,1,122208.29630533853
150,274.0382,3.87,0.0,1,130769.65258789061
151,274.104,5.91,2.177,1,378852.68143717444
152,275.1805,9.05,2.194,2,347765.80305989576
153,275.1805,9.18,1.278,1,422119.07470703125
154,275.1805,10.38,4.602,2,2073373.2584635413
155,275.1805,10.52,1.98,1,2360215.2786051435
156,275.1805,10.63,0.0,3,2801582.425984701
157,276.184,10.38,2.987,2,345631.55603027344
158,276.184,10.51,1.024,1,374172.1652018229
159,277.18,11.09,2.059,2,257064.48730468747
160,277.1911,5.21,28.482,3,2677284.221923828
161,277.1911,8.37,2.395,2,374976.2249348958
162,277.1911,8.5,1.242,1,520477.6094970703
163,277.2022,11.31,0.975,1,184939.8846435547
164,278.1908,5.21,6.089,1,459258.1250813802
165,279.0936,8.18,0.0,2,174619.47932942706
166,280.1673,11.93,2.74,2,296592.74690755206
167,280.1673,12.06,0.626,1,321127.1097005208
168,280.1673,12.18,1.425,2,377367.9956461588
169,280.2682,14.84,1.97,2,680447.799235026
170,280.2682,14.99,2.089,1,732669.9604492188
