,m/z,rt,sn,score,peak area
0,130.1597,3.87,1.899,3,1110037.7025960286
1,134.0699,5.02,0.0,1,575966.4816080729
2,142.161,5.36,6.877,1,709062.9838053385
3,144.1364,6.87,2.711,3,304403.8199869791
4,144.1364,7.0,0.0,1,382734.3039550781
5,149.0258,11.94,2.561,1,401348.20304361975
6,149.0258,12.06,0.763,2,685750.9900716145
7,149.0258,16.77,0.713,2,109370.90218098958
8,165.0877,5.03,0.0,3,210422.60009765622
9,170.1561,3.68,2.008,2,139338.4619140625
10,172.169,9.58,0.0,3,210433.62003580728
11,173.9827,9.58,0.0,3,210433.62003580728
12,174.1847,6.19,18.591,2,5250226.436848959
13,174.1847,6.37,2.224,2,5481112.5126953125
14,174.1847,6.5,2.039,1,5594681.2685546875
15,175.1908,6.17,4.439,1,476544.5483805338
16,175.1908,6.3,0.0,3,495840.9259440103
17,177.086,6.76,4.22,3,570018.1824544271
18,180.9816,0.7,0.426,2,159159.998046875
19,180.9816,19.98,1.02,2,114623.83154296874
20,181.025,21.06,1.252,3,158280.55436197916
21,181.0323,0.75,0.0,2,210133.6298828125
22,181.0323,1.87,1.298,3,1134270.0089111328
23,181.0323,2.0,1.882,1,795508.8775227864
24,181.0323,2.11,1.712,1,1107579.9501953127
25,181.0323,2.23,1.549,1,1134270.0089111328
26,182.1873,4.89,0.592,3,271627.2922363281
27,184.1361,8.37,0.0,3,119234.63741048177
28,193.1436,4.34,0.0,2,138322.5203450521
29,195.1003,5.03,6.903,1,1456679.7373860676
30,195.1003,5.16,2.501,2,1626853.66796875
31,198.128,4.67,0.0,2,179156.58089192706
32,198.1518,6.45,2.551,3,219270.2218424479
33,198.1518,6.71,0.0,2,138893.68107096353
34,199.0893,7.37,4.567,1,375209.2747395833
35,199.1849,7.16,3.714,2,396248.5225423177
36,200.0232,0.62,2.298,1,486682.91308593744
37,200.0232,0.75,1.901,1,540257.4809977213
38,200.0232,0.87,0.0,3,579180.6552734375
39,200.0232,21.07,2.127,3,477497.06311035156
40,200.0232,21.2,1.623,3,783824.0755208334
41,200.1673,5.92,0.0,2,346076.5968424479
42,200.2393,4.64,0.0,2,235282.55240885416
43,205.0867,11.92,2.074,3,808381.6590169271
44,205.0867,12.07,1.14,2,853827.333658854
45,205.0867,12.2,1.876,1,808381.6590169271
46,205.0867,12.32,1.127,3,853827.333658854
47,207.0981,6.76,5.49,3,931325.2119140625
48,207.0981,6.89,1.958,3,1050629.6728515625
49,207.0981,7.2,0.0,3,127763.09733072916
50,207.1478,4.72,3.059,3,396838.3494059245
51,207.1478,4.86,1.45,3,172476.67138671872
52,209.2045,5.24,2.562,1,175328.81905110675
53,210.1859,10.55,0.0,1,331069.3188476562
54,212.12,4.28,0.0,2,4424055.043904622
55,213.1235,4.27,6.237,2,572676.1697184244
56,213.1576,5.47,0.0,2,104315.63053385417
57,214.089,6.64,0.0,1,122721.47347005206
58,214.2518,4.72,9.125,2,3033793.6976725264
59,214.2518,4.86,3.508,2,3319999.5308837886
60,215.0073,0.71,1.12,2,114490.62060546875
61,215.0073,21.98,0.882,2,124493.05143229166
62,215.2568,4.73,0.0,1,427441.4274088541
63,216.1368,4.76,0.0,1,164399.6194661458
64,217.0465,0.92,0.941,2,231074.63541666666
65,217.0465,21.07,1.884,1,396115.50878906244
66,217.0465,21.19,1.959,1,663389.9864908853
67,217.1073,4.59,0.0,3,139048.82157389322
68,217.1247,8.85,2.429,1,188904.66748046875
69,218.0385,21.04,1.2,3,119602.7950846354
70,219.1489,7.62,6.28,2,497903.5542399088
71,219.1489,7.74,1.102,3,508993.7513427733
72,219.184,5.14,0.0,1,185011.177734375
73,221.1213,8.23,3.24,2,275750.03304036456
74,221.1213,8.61,0.0,3,129716.92053222656
75,221.1567,10.25,0.0,1,112551.27034505208
76,221.1655,8.36,2.638,2,247494.35681152344
77,223.156,4.28,0.0,3,403114.2742513021
78,224.1311,8.53,1.888,3,240842.93343098962
79,224.1311,8.65,1.512,2,264742.360555013
80,225.1464,8.26,3.872,2,351696.86604817706
81,225.1914,8.61,0.749,3,100742.10721842447
82,226.1211,8.28,2.555,2,705106.7669270833
83,226.1211,8.4,1.866,2,978397.0380452473
84,226.1935,4.65,0.0,2,158193.53271484375
85,227.1273,4.25,0.0,1,287530.18640136713
86,227.1273,8.29,0.0,2,113081.98567708331
87,227.2091,9.22,4.396,1,378754.1396484375
88,228.1927,8.18,2.726,3,412099.68050130206
89,228.1927,8.3,0.0,2,458440.5004882812
90,228.1927,16.12,3.028,1,210507.50276692706
91,228.1927,16.3,0.0,2,244128.86088053384
92,228.2658,4.96,12.579,2,1575076.2018229165
93,228.2658,5.08,2.06,3,1650382.5502115884
94,229.1898,8.09,0.827,2,216333.15006510416
95,229.199,5.48,0.0,2,310496.63102213544
96,229.2723,4.96,3.782,3,217168.29048665363
97,230.1912,7.89,0.0,3,136055.21956380206
98,232.1701,7.85,0.0,3,182462.3818359375
99,232.2351,6.19,2.988,3,210348.85799153644
100,235.1703,11.03,2.038,1,119185.95247395833
101,235.1797,4.28,0.0,1,152884.5335286458
102,235.1797,4.95,0.0,2,243972.80297851562
103,236.0751,6.19,12.866,2,1352321.1624348955
104,236.0751,6.3,2.15,3,1395941.5220133462
105,236.1129,4.63,3.738,3,484270.9360351562
106,236.1129,4.75,1.471,3,513321.87447102857
107,237.0782,6.19,0.0,3,149388.5237223307
108,238.1617,3.95,4.804,3,490125.7467447916
109,239.1258,5.7,1.977,1,179145.09912109375
110,240.017,0.63,0.0,2,166050.2951253255
111,240.1802,4.27,2.718,1,285242.6360677083
112,242.2837,5.24,15.237,2,180825117.96647134
113,242.2837,5.36,44.302,3,177170574.8645833
114,242.4194,5.36,0.0,2,11910188.53515625
115,243.284,5.24,0.028,3,447281.1967366536
116,243.284,5.36,5.658,3,26064775.46875
117,244.2883,5.36,11.493,3,2640292.948893229
118,244.2883,5.5,2.139,1,2803963.6287434893
119,249.1734,4.92,1.671,3,179768.1204427083
120,249.1833,11.34,2.48,2,251604.83850097656
121,249.1833,11.45,0.0,2,338911.541015625
122,250.182,6.06,0.0,3,107966.359375
123,251.1848,5.15,0.0,2,921105.3081054689
124,251.1848,5.27,3.272,3,758152.7266031901
125,251.1848,5.41,0.0,1,921105.3081054689
126,255.0114,6.63,7.457,3,809466.453125
127,255.0625,7.77,0.0,2,214049.14501953122
128,256.2999,5.74,5.7,2,402227.8776041667
129,256.9672,21.08,0.0,2,320963.4213867187
130,257.1625,9.8,0.0,1,231929.5693766276
131,257.2345,7.32,0.0,2,177252.5489908854
132,258.2139,5.9,0.0,3,182562.8655598958
133,258.2758,4.64,0.0,2,519278.6630859375
134,259.1762,11.2,1.701,2,123058.39534505206
135,262.2106,4.62,1.651,3,169235.63932291663
136,264.1792,4.61,0.0,1,147805.3948160807
