,m/z,rt,sn,score,peak area
0,100.1117,5.48,1.56,3,461195.9770914713
1,107.0703,13.76,0.0,1,111404.83447265625
2,114.0919,3.53,0.0,2,123020.79463704427
3,115.0359,0.74,0.0,2,214826.87125651044
4,117.1112,3.6,0.987,1,100346.19462076822
5,120.0566,4.14,0.0,3,571326.9458007812
6,121.0499,4.14,0.0,3,571326.9458007812
7,125.1061,16.66,0.938,3,114710.86421712239
8,126.0908,4.37,0.0,3,112670.06119791666
9,130.1232,5.5,0.0,2,144718.9241536458
10,130.1596,3.46,0.0,1,1711654.74226888
11,130.1596,3.76,2.72,1,1437527.7128906248
12,130.1596,3.87,2.361,3,1698800.0279947915
13,134.0699,5.03,13.663,1,2844811.276041667
14,134.0699,5.17,0.0,1,2970888.602132161
15,136.0198,7.77,0.0,1,117490.24483235677
16,142.1609,5.24,1.366,1,3836208.0507812495
17,142.1609,5.37,3.227,2,3250237.931966146
18,142.1609,5.49,5.254,1,3836208.0507812495
19,144.1363,6.86,2.378,3,225569.54492187497
20,149.0257,11.93,2.325,3,599607.7563476562
21,149.0257,12.06,1.115,1,1654866.262044271
22,149.0257,12.29,0.825,1,264747.23246256507
23,149.0257,16.75,3.346,3,292742.7766927083
24,151.0723,4.24,0.0,2,129133.7277018229
25,151.0965,13.89,2.195,1,132137.4795328776
26,153.049,16.73,0.0,2,264524.1165364583
27,153.0919,16.06,2.165,1,293273.109375
28,153.0919,16.18,1.099,1,334378.5045572916
29,153.0919,16.94,2.594,3,138913.48828125
30,154.0871,3.63,0.0,3,120751.6183268229
31,158.9958,0.66,1.824,2,963884.4768066404
32,162.0909,5.19,0.0,2,150112.94026692706
33,163.0729,5.7,2.332,1,453440.4973958333
34,163.0729,5.83,1.349,2,490743.446126302
35,165.0877,5.03,6.607,1,795933.6340738932
36,165.0877,5.15,0.0,3,864847.2586669922
37,166.141,0.72,3.874,2,260283.73535156247
38,166.141,1.61,0.915,3,811812.8245442708
39,166.141,1.78,2.027,2,767131.0786132812
40,166.141,1.93,1.958,2,811812.8245442708
41,169.0841,3.58,0.0,1,144877.70686848956
42,170.1289,16.92,1.197,2,104864.51318359375
43,172.1689,9.6,0.0,3,127911.93188476561
44,173.1634,7.47,0.0,2,102767.0372721354
45,173.9827,7.47,0.0,2,102767.0372721354
46,174.1498,5.86,0.0,1,155520.0948079427
47,174.1846,5.53,0.0,3,504770.0109049479
48,174.1846,6.18,14.342,2,23203425.104166664
49,174.1846,6.41,4.559,1,25192033.2985026
50,174.1846,6.6,2.405,1,25346769.00480143
51,174.3031,6.18,0.0,1,948333.6541341145
52,175.1908,6.18,8.13,3,2410358.2447916665
53,175.1908,6.34,2.129,1,2637607.3343912764
54,175.1908,6.46,0.0,2,2745105.013387044
55,177.086,6.77,1.216,1,1541278.7071940103
56,177.086,6.92,0.254,2,1641707.8608398438
57,177.086,7.19,1.575,2,272195.4562174479
58,177.1002,3.37,1.817,3,323113.0209554036
59,180.1221,3.41,0.0,2,2171573.8022054033
60,180.1365,3.75,0.0,1,147434.03877766925
61,180.9815,0.62,2.52,2,1898045.1694335938
62,180.9815,0.75,0.0,1,2651071.2889811196
63,181.0612,9.1,0.0,2,130832.2980143229
64,181.1264,3.36,0.0,3,196870.71439615882
65,182.1362,2.46,0.0,1,149503.748046875
66,182.1872,4.85,0.927,3,651911.9256184896
67,182.1872,4.98,0.077,3,707604.4070638021
68,183.1224,10.37,0.0,2,249866.8728841146
69,184.136,8.38,10.283,2,886277.0992838541
70,185.1182,4.28,0.0,1,124128.0302734375
71,186.2248,5.33,2.096,2,904312.494954427
72,186.2248,5.46,2.025,1,1170086.4943847656
73,186.2248,5.58,0.73,1,1251328.419433594
74,186.2248,5.73,0.511,2,257494.55436197916
75,187.9986,0.64,1.683,2,188353.14274088538
76,187.9986,0.76,0.0,2,230419.7652994791
77,188.1264,6.06,0.0,1,306946.8561197917
78,190.1463,4.73,2.327,3,122967.99479166666
79,190.1463,5.59,0.799,3,212757.61885579425
80,191.13,3.94,0.0,2,145970.03304036456
81,192.1418,7.22,4.68,1,612804.7750651042
82,192.1418,7.35,1.091,1,664821.5715738932
83,192.1495,4.11,0.0,2,104857.77164713539
84,193.1358,6.51,6.276,2,868346.173055013
85,193.1358,6.62,1.967,2,970484.6215820312
86,193.1436,4.29,1.198,2,581493.8162434895
87,195.0924,7.81,1.949,3,128934.54785156249
88,195.1002,5.03,15.219,1,5362529.313151041
89,195.1002,5.24,0.0,1,5606095.316650391
90,196.1017,5.03,3.023,3,329700.3505859375
91,196.2037,4.64,0.0,1,361221.406656901
92,196.9507,0.75,1.547,1,122415.83675130206
93,196.9979,0.75,1.547,1,122415.83675130206
94,197.1162,4.84,0.935,1,116713.205078125
95,197.1162,4.97,0.904,3,119107.9091796875
96,198.0012,5.21,5.465,1,499250.23596191406
97,198.128,4.68,12.42,3,924743.8848876952
98,198.128,4.81,1.279,1,936635.8114827473
99,198.1518,6.36,2.144,2,1500793.8147786455
100,198.1518,6.56,0.385,1,1687304.9220377605
101,198.1518,6.71,5.008,3,2300085.679606119
102,198.1518,6.83,1.807,2,2447983.6751708984
103,198.1755,7.16,3.443,1,337061.2317708333
104,198.1835,3.69,0.0,3,150055.6035563151
105,198.1835,8.67,0.0,3,189542.28934733072
106,199.0892,7.38,5.118,2,1244866.5867919922
107,199.0892,7.52,2.142,2,1529554.4638264976
108,199.0892,7.65,1.032,2,1618460.9513346355
109,199.129,4.67,2.173,2,135763.48714192706
110,199.1529,6.46,0.0,3,130200.3302408854
111,199.1848,7.16,3.304,2,6023512.570312499
112,199.1848,7.33,2.259,2,6848829.760742187
113,199.1848,7.45,0.314,2,841840.5136718749
114,200.0871,7.37,2.182,1,131178.59273274738
115,200.1272,5.81,0.0,3,133780.1526692708
116,200.1672,5.91,9.83,1,2272874.0885416665
117,200.1672,6.04,1.904,1,2482632.252034505
118,200.1672,6.18,0.0,1,2680708.8925781245
119,200.1832,7.16,4.713,3,619046.178507487
120,200.1832,7.28,1.499,2,930133.459798177
121,200.2393,4.64,19.9,1,4055362.979166666
122,200.2393,4.79,0.0,3,4175923.049804687
123,201.1705,5.92,3.671,3,244983.9269205729
124,201.1947,8.2,0.0,2,169005.77799479166
125,201.243,4.65,0.0,3,525760.224609375
126,202.1465,4.28,0.953,3,101798.3390299479
127,202.1546,3.97,0.0,1,122504.82096354166
128,202.2193,4.13,3.265,1,272171.4580078125
129,202.2193,5.44,4.846,2,709721.5973307291
130,202.2193,5.56,0.0,3,820070.4255371093
131,203.111,6.11,1.104,1,103218.96915690103
132,204.1046,4.6,0.0,2,156972.07958984375
133,204.1373,7.14,0.0,2,188405.43131510416
134,205.0866,11.92,2.495,2,1315101.8061930337
135,205.0866,12.05,1.666,1,1355959.064941406
136,205.0866,12.25,1.746,1,1315101.8061930337
137,205.0866,12.38,1.147,1,1355959.064941406
138,205.1687,5.18,0.0,3,5842320.368611653
139,206.1723,5.17,0.0,1,834988.5771891277
140,206.1723,5.29,0.0,1,840767.5958658854
141,207.098,5.78,2.431,2,261089.0794270833
142,207.098,6.77,7.896,1,3381139.1503906245
143,207.098,6.93,2.195,2,3737394.917399088
144,207.098,7.05,1.89,2,4361598.8063151045
145,207.1395,5.86,0.789,1,136977.89351399738
146,207.1478,4.72,2.448,1,2279836.8332112627
147,207.1478,4.87,9.292,2,3290685.916992187
148,207.1478,4.99,1.497,2,3346663.322998047
149,207.156,5.2,1.072,3,186549.9786783854
150,207.156,5.68,2.426,3,238628.70646158853
151,208.1028,6.76,3.082,1,277406.6313069662
152,208.1528,4.72,3.51,2,301750.315266927
153,208.1528,4.84,1.02,1,118111.10717773435
154,209.1124,8.55,1.54,3,239512.2784016927
155,209.1124,8.67,0.909,2,107105.80061848958
156,209.1208,4.9,1.102,3,121379.96171061198
157,209.1375,3.71,0.0,1,269700.6993408203
158,209.2045,5.24,0.0,3,684992.4886067708
159,210.1018,5.17,7.134,1,636263.5264485676
160,210.127,8.54,3.175,1,407831.2426350911
161,210.1774,4.35,0.0,2,189973.45166015622
162,210.1858,4.27,0.0,1,558563.8232421875
163,210.1858,10.55,6.729,3,1524166.0365804036
164,210.1858,10.67,2.35,2,1765256.6918945312
165,210.1858,10.79,1.238,1,1825670.5636393228
166,211.1296,4.05,1.319,2,333220.8327636719
167,211.1296,5.2,0.0,1,185750.47627766925
168,211.1718,10.06,1.386,3,150309.15714518228
169,211.1802,7.38,2.188,1,123587.04427083331
170,211.1887,10.54,2.485,3,200639.71158854166
171,212.1199,4.28,110.65,2,14598159.752522789
172,212.1369,3.65,0.0,2,391749.02779134107
173,213.1064,6.11,4.096,3,480736.4264729817
174,213.1064,6.23,1.19,2,566629.2899983723
175,213.1064,6.87,0.0,3,291641.74137369794
176,213.1235,4.28,17.389,1,2256498.2800699864
177,213.1235,4.43,0.0,3,2285766.7073567705
178,213.1576,5.47,3.279,3,344476.2690022786
179,213.1576,5.59,1.2,2,454563.55680338544
180,214.089,6.66,12.787,1,1065468.5561523438
181,214.089,6.78,0.96,2,1076902.7329101562
182,214.1832,7.84,0.0,3,138192.85725911456
183,214.2517,4.72,110.961,2,41505220.04361979
184,214.3803,4.73,0.0,1,1911035.114583333
185,214.9986,7.66,0.0,2,162875.0185546875
186,215.0072,7.66,0.0,2,162875.0185546875
187,215.1276,4.36,0.977,2,141735.7010498047
188,215.2568,4.72,61.937,1,6302268.591145833
189,215.2568,4.93,0.0,1,6332673.262369791
190,216.0503,5.92,0.0,1,607685.1788736979
191,216.1368,4.76,0.0,1,752329.0358072917
192,216.1627,6.27,0.0,1,176592.1534830729
193,216.1973,4.16,0.0,2,149749.61214192706
194,216.2579,4.72,0.0,2,448984.39489746094
195,217.0464,0.88,0.785,3,430606.8166097005
196,217.0464,1.17,0.922,2,283613.01416015625
197,217.0464,21.06,1.98,3,368548.1241861979
198,217.0464,21.17,1.151,2,515319.7189941406
199,217.1072,4.59,0.0,1,2377828.9330240884
