,m/z,rt,sn,score,peak area
0,100.1116,5.46,2.17,1,691249.02734375
1,114.1283,4.72,0.0,1,198296.6468098958
2,124.0248,0.61,2.472,2,385467.2916666667
3,124.0248,0.73,0.0,3,629515.8446858723
4,130.1595,3.45,0.0,3,1403458.4046223955
5,130.1595,3.63,2.32,1,1391647.295410156
6,130.1595,3.75,4.76,3,1334001.5628255208
7,130.1595,3.87,0.0,2,1403458.4046223955
8,142.0357,0.61,2.346,3,274590.4293619792
9,142.0357,0.77,1.245,1,515771.2125651042
10,142.1608,5.25,3.09,3,5491186.621744791
11,142.1608,5.37,2.469,2,4340884.240234375
12,142.1608,5.49,4.69,2,5378691.665364583
13,142.1608,5.64,3.075,3,5491186.621744791
14,143.0277,0.62,0.934,2,147217.50944010416
15,144.1362,6.86,2.76,1,319552.1329752604
16,149.0255,11.94,2.276,3,509460.83268229157
17,149.0255,12.13,4.059,2,2025567.3736979165
18,149.0255,12.27,1.9,1,2440774.305013021
19,149.0255,12.39,1.878,3,2665368.238606771
20,149.0255,16.76,2.233,2,170843.25065104166
21,149.0613,9.74,2.183,1,146711.67757161456
22,153.0489,16.73,5.043,1,348915.15332031244
23,156.1406,3.79,3.091,3,430411.1653645833
24,158.0129,3.79,3.091,3,430411.1653645833
25,158.9956,0.62,2.573,1,1294524.5182291667
26,158.9956,0.74,0.789,3,604735.963704427
27,163.0727,11.71,1.078,1,260559.80338541666
28,166.1408,0.73,0.0,2,624526.8888346354
29,166.1408,1.57,0.827,3,865492.4456380208
30,166.1408,1.75,1.796,2,830451.4420572916
31,166.1408,1.87,2.324,2,810385.1139322916
32,166.1408,2.0,1.28,3,865492.4456380208
33,172.1687,9.61,2.192,1,194280.09138997394
34,179.0373,1.9,1.881,1,1003053.6145833333
35,179.0373,2.02,1.636,1,744811.9897460938
36,179.0373,2.14,1.883,3,1003053.6145833333
37,180.1219,3.37,12.943,1,2373956.1750081377
38,180.1219,3.57,0.0,2,2400130.1114908853
39,180.9813,0.65,3.903,2,778941.7513020834
40,180.9813,0.77,0.0,3,1080324.8840738933
41,180.9813,21.02,0.0,1,132600.0361328125
42,181.0248,0.63,4.019,1,540889.5452473958
43,181.0248,0.75,0.0,3,622573.6912434895
44,181.032,1.92,1.005,3,171487.86914062497
45,181.1262,3.36,0.0,2,205266.09212239584
46,182.136,2.43,1.059,3,211317.92911783853
47,183.0636,0.66,0.0,2,266850.0074869791
48,184.0474,0.61,7.0,2,887810.8854166666
49,184.0474,0.76,0.0,3,939649.8845621744
50,185.0514,0.66,0.0,2,119299.19954427084
51,186.2246,4.91,0.0,2,155822.18131510416
52,186.2246,5.35,2.218,1,1318172.977416992
53,186.2246,5.48,1.752,3,1675318.5904541016
54,186.2246,5.6,0.843,2,1759296.530924479
55,187.1355,7.9,0.0,2,100239.8328450521
56,193.1433,4.36,1.182,2,111318.49951171874
57,198.096,3.96,0.0,3,142897.60965983072
58,198.1753,7.18,5.873,1,542601.0078938801
59,199.0412,0.61,3.315,2,523380.0501302083
60,199.0412,0.77,1.454,3,558587.4908854166
61,199.1846,7.16,14.089,2,6920926.520182291
62,199.1846,7.35,3.419,3,7733142.811197917
63,199.1846,7.47,2.188,2,7739108.740600586
64,200.183,7.16,5.928,1,797592.8450520833
65,200.183,7.3,1.408,3,871786.4775390625
66,200.239,4.63,0.0,2,5708249.323201498
67,201.0255,0.62,0.0,3,120286.18489583333
68,201.0737,0.71,1.878,2,175194.57678222653
69,201.2427,4.64,8.876,2,709951.073079427
70,202.2191,4.12,2.909,2,304912.82503255206
71,202.2191,5.45,3.493,3,478251.55700683594
72,202.2191,5.58,1.374,2,617283.1491699219
73,205.0864,11.94,2.056,2,224225.05603027344
74,205.0864,12.06,0.0,3,1977344.6361490884
75,205.0864,12.21,2.678,1,1746281.0248616536
76,205.0864,12.35,0.0,1,1977344.6361490884
77,211.0955,5.45,0.0,2,101311.36572265625
78,212.1197,4.28,5.684,3,408316.794921875
79,214.2515,4.72,107.544,2,56334162.837402344
80,214.3801,4.73,0.0,1,3455536.68359375
81,215.0156,21.17,0.953,2,153906.7256673177
82,215.2565,4.72,0.0,1,8852876.405802408
83,216.0501,5.91,6.964,1,1020408.5035400391
84,216.0501,6.03,0.0,3,1113999.1844482422
85,216.197,4.16,0.0,1,160774.27868652344
86,216.2576,4.73,0.0,3,611401.5269368489
87,217.107,4.59,20.036,2,2514139.950195312
88,217.107,4.73,0.0,2,2591549.6826171866
89,217.1243,8.85,2.102,3,192278.86210123697
90,218.0382,0.62,2.546,1,764281.0697021484
91,218.0382,0.79,2.186,1,894683.766438802
92,218.0382,21.04,0.0,3,142471.06022135413
93,218.1079,4.58,3.708,1,214924.5286458333
94,219.0171,0.62,1.737,3,179536.02905273438
95,221.1209,8.23,2.823,3,259804.99572753903
96,221.1209,8.6,1.394,1,126794.77746582031
97,221.1298,7.0,0.0,1,1220786.5286458335
98,221.1563,7.17,0.0,1,172165.9375813802
99,221.1563,10.24,0.0,3,108948.72485351562
100,223.1289,7.0,4.57,2,349043.61364746094
101,225.1461,8.24,2.616,2,335746.10302734375
102,225.1461,8.36,0.0,2,364088.5930989583
103,226.1208,8.3,5.526,1,551545.400390625
104,226.166,7.92,0.0,1,129440.06233723956
105,226.1932,4.66,0.0,3,145854.807820638
106,228.0464,8.43,5.135,2,529890.9272867838
107,228.0464,8.56,1.048,1,574109.315266927
108,228.1924,8.18,2.933,1,745668.1046549479
109,228.1924,8.32,2.018,3,753555.4286702473
110,228.1924,16.32,0.935,3,148652.7881673177
111,228.2654,4.96,115.314,3,28997114.013020832
112,228.4024,4.96,0.0,2,1459767.55078125
113,229.1895,7.91,15.113,1,24472366.376057938
114,229.1895,8.16,5.875,1,26744803.719807945
115,229.1895,8.38,2.973,1,26827687.94580078
116,229.272,4.96,63.427,1,4812252.328694661
117,229.3179,7.91,0.0,3,987412.0472005208
118,230.062,6.14,15.329,3,1487381.6910807292
119,230.062,6.28,1.524,1,1532122.3572591147
120,230.1909,7.91,8.706,2,2605328.065104167
121,230.1909,8.05,2.167,3,2802470.885742187
122,230.1909,8.17,1.909,1,3095945.0066731772
123,230.2462,4.68,0.0,1,575451.043782552
124,230.2462,11.27,0.0,2,114109.98518880208
125,230.2738,4.96,0.0,2,313874.293375651
126,231.0673,6.13,0.0,3,166425.03116861978
127,234.1375,4.6,0.0,3,1707124.2148437498
128,234.1937,4.66,3.181,1,316659.767578125
129,235.17,11.03,3.327,3,288566.4077148437
130,236.1125,4.65,4.467,2,463815.1912841797
131,236.1125,4.77,1.319,3,482285.650390625
132,239.0872,4.58,0.0,2,182963.6112060547
133,239.1254,7.07,1.808,3,593456.9563802083
134,239.2402,15.59,3.406,3,1037437.9165039062
135,239.2402,15.71,2.317,3,1388706.3629557292
136,239.2402,15.84,1.01,2,1451592.0185546875
137,240.0166,0.64,0.0,3,309355.1036783854
138,240.2375,15.59,0.0,3,165424.6259765625
139,240.2664,5.13,0.0,3,536579.388671875
140,240.9882,0.61,11.226,2,575886.2447916666
141,242.2834,5.24,0.0,3,90490355.08333333
142,242.2834,5.41,100.672,2,420177030.5677083
143,242.2931,5.33,0.0,1,206606090.0
144,242.4191,5.35,6.079,1,54946672.65885416
145,243.2836,5.38,0.965,2,57090184.875
146,243.4296,5.38,0.739,3,8021015.403157552
147,244.2294,5.25,0.0,3,321466.76444498694
148,244.288,5.24,9.356,2,14873028.542805988
149,244.4248,5.34,1.566,1,377996.2486979166
150,245.2965,5.33,2.318,1,511157.6170654297
151,245.2965,5.45,2.2,1,595507.2913004558
152,245.2965,5.58,0.0,2,611965.1360677083
153,247.1678,6.39,2.52,1,211777.5039876302
154,249.183,11.34,2.532,3,316309.0029296875
155,249.183,11.46,1.265,3,390944.94002278644
156,251.1643,7.9,0.0,1,172432.44352213544
157,251.1844,5.2,2.039,1,355849.2821858724
158,255.0111,6.63,2.784,2,199261.3273111979
159,255.2356,12.68,2.145,2,316698.55745442706
160,255.2356,14.49,1.853,2,100399.82161458333
161,256.2278,7.18,0.0,1,126189.25826009114
162,256.2688,5.46,2.743,2,756352.3568929036
163,256.2995,5.76,15.641,2,7236545.422526042
164,256.2995,5.94,0.0,2,8033879.235351562
165,256.9668,0.62,7.588,1,2052341.1458333335
166,256.9668,0.76,3.477,2,2380233.6179606114
167,256.9668,21.07,0.0,1,322983.03450520826
168,257.2342,7.17,10.775,1,2079498.1725260415
169,257.2342,7.28,2.303,3,2181938.0909830723
170,257.2342,7.41,1.293,3,2383334.624348958
171,257.2444,15.6,0.0,3,120161.45849609375
172,257.265,5.46,0.0,2,144938.62972005206
173,257.3062,5.75,6.311,2,1179038.6282552083
174,257.3062,5.9,1.895,3,1364941.2304280596
175,257.9657,0.62,0.0,3,114984.3779296875
176,258.1515,9.83,0.0,1,238170.52278645834
177,258.2755,4.65,0.243,3,2058569.2202962239
178,258.2755,5.05,0.0,2,2368159.9375
179,259.2795,4.64,4.151,1,1562802.087931315
180,259.2795,5.05,0.0,3,357810.2743326823
181,261.247,13.8,4.493,1,349226.4995524088
182,262.2102,4.55,0.0,3,298591.7272135416
183,262.2102,4.67,2.339,1,286344.0221354166
184,267.1756,12.03,2.47,2,277744.83284505206
185,267.2718,16.52,2.752,2,626889.0088297527
186,267.2718,16.65,1.794,3,851576.2796223958
187,271.2242,12.27,1.504,1,1385716.2770182288
188,271.2242,12.39,2.282,1,1355589.4514973955
189,271.2242,12.51,2.106,3,1715303.9871826172
190,271.2242,12.63,0.0,3,1973181.3649088538
191,271.2242,13.11,0.0,3,159931.00862630206
192,272.2568,4.7,0.0,3,1821501.0360107422
193,273.1731,5.23,1.322,2,147324.11104329425
194,273.2605,4.78,3.453,3,251704.12923177084
195,274.1034,5.91,15.43,3,6831916.975260416
196,274.1034,6.13,4.26,1,7432124.6800130205
197,274.1034,6.32,0.0,1,7443486.179361979
198,274.2789,9.96,3.735,2,908782.2828776041
199,274.2789,10.08,1.545,1,996207.4944661458
200,275.103,5.91,5.92,2,996056.187174479
201,275.103,6.05,1.94,3,1078064.210611979
202,275.158,4.58,3.275,3,237299.56933593747
203,275.2791,9.96,0.0,1,105077.26057942708
204,276.2498,5.45,0.46,2,215678.12569173175
205,276.2498,5.62,26.842,1,2739380.333699544
206,276.2608,5.8,2.297,2,456885.14290364576
207,277.1795,11.09,1.888,1,301798.47786458326
208,277.1795,11.21,2.075,1,540796.958984375
209,277.246,5.62,0.0,3,425781.0245768229
210,278.2459,5.61,8.044,1,818667.9944661459
211,278.2459,5.74,1.062,2,860070.0659179686
212,278.2681,13.8,2.649,3,271366.67472330725
213,279.2047,4.44,0.0,1,155246.26102701822
214,280.1668,11.94,2.677,1,388905.9593098959
215,280.1668,12.05,1.309,3,1645187.853637695
216,280.1668,12.25,2.021,3,1539536.630859375
217,280.1668,12.36,1.129,2,1645187.853637695
218,280.2677,14.85,2.05,1,674609.1134440104
219,280.2677,14.96,1.803,1,688320.5550130208
220,280.2677,15.09,0.0,1,805744.6219075521
221,281.2447,13.84,2.467,3,403325.9878743489
222,281.2447,13.96,1.266,3,485109.4252522787
223,282.0107,0.61,0.0,2,472677.00146484375
224,282.2815,15.56,3.506,1,2043246.980102539
225,282.2815,15.71,2.052,3,2233890.6689453125
226,282.2815,15.82,2.079,1,2816071.4829508467
227,282.2815,15.95,2.177,3,3064140.287923177
228,282.2815,16.07,1.562,2,3138947.3201497393
229,283.1976,8.27,0.0,1,408285.39656575525
230,283.2089,8.38,1.159,3,115637.36718749999
231,283.2656,14.06,0.0,1,282558.1240234375
232,283.2769,15.68,0.952,2,203854.11604817706
233,284.1848,8.3,2.461,3,154320.37109375
234,284.2985,16.19,3.29,1,1114264.821940104
235,284.2985,16.36,1.85,1,1342270.4556477861
236,284.2985,16.48,1.707,2,1461546.4803873696
237,285.1755,13.54,3.143,3,265695.46142578125
238,286.2497,8.09,1.077,2,1311905.6796875
239,286.2497,8.24,2.231,3,1004114.2153727213
240,286.2497,8.36,2.376,1,1137570.69543457
241,286.2497,8.47,1.306,2,1311905.6796875
242,288.1221,6.14,14.032,1,4780603.675252279
243,288.1221,6.29,2.106,1,5054147.691935221
244,288.1221,6.41,0.0,2,5221173.633951823
245,288.2951,4.72,1.278,3,613414.3248291016
246,289.1728,9.85,0.0,1,216039.23681640622
247,290.1809,9.85,11.528,1,5997398.492838542
248,290.1809,10.01,2.113,3,6219829.848876953
249,290.1809,10.13,2.508,3,6897823.071004231
250,290.1809,10.24,2.425,3,6888859.073893229
251,290.1809,10.36,0.0,1,6950350.231363932
252,291.1808,9.84,2.65,2,783327.7309977213
253,291.1808,9.97,1.527,2,1039174.6711832682
254,291.1924,11.1,3.199,2,307059.6422526041
255,291.239,9.75,0.0,3,120268.21223958331
256,292.1725,9.85,3.381,3,1509737.4837239583
257,292.2426,4.96,0.0,3,169111.8465169271
258,293.1792,9.82,2.849,1,296699.76448567706
259,293.1792,9.94,1.058,1,304332.4542643229
260,294.213,10.58,4.413,3,1070671.892252604
261,294.213,10.7,0.424,3,269997.3024088541
262,294.213,10.84,0.178,1,325462.1394042969
263,295.156,6.49,0.0,2,143444.90999348956
264,295.215,10.58,0.0,2,195663.5323486328
265,296.2323,12.26,0.898,2,155062.56917317706
266,297.2293,11.05,3.141,1,674551.7945963541
267,297.2293,11.17,1.803,1,898535.1035156249
268,297.2293,11.3,1.17,2,1034551.9076334634
269,297.9912,0.62,2.683,3,451128.0677897135
270,297.9912,0.73,0.827,1,573780.3779296874
271,298.349,8.36,4.723,2,403484.5227864583
272,299.1855,13.51,0.0,2,233665.5594889323
273,299.2573,13.85,2.017,3,740807.3590494791
274,299.2573,13.97,1.655,3,1202399.7928059893
275,299.2573,14.09,2.143,2,1425067.021158854
276,299.2573,14.21,1.308,2,1446537.0849609373
277,299.2573,14.36,1.105,1,139275.26871744794
278,300.0244,0.66,0.0,2,806989.4892578124
279,300.2044,3.71,0.0,2,479233.35493977857
280,300.2044,3.86,0.0,1,485737.94433593744
281,301.0221,0.61,4.811,3,198300.54573567706
282,301.1425,11.93,2.298,1,160507.9007161458
283,301.1425,12.13,3.595,2,391065.98067220044
284,301.1425,12.26,1.084,1,428443.30082194007
285,301.1787,11.06,1.928,1,180975.79825846353
286,301.2148,16.06,1.383,3,128284.52180989583
287,301.2871,11.11,1.745,3,150166.6092122396
288,302.2407,7.86,3.56,3,495624.21476236975
289,302.2407,7.98,1.81,1,703786.6665852865
290,302.3011,12.01,3.073,2,351604.8950195312
291,302.3011,12.13,0.0,1,420938.7451171875
292,303.1851,13.51,1.725,1,158100.9462890625
293,303.2579,14.39,3.024,3,510003.365234375
294,304.3028,11.16,1.657,3,116544.08300781249
295,305.2171,6.41,9.454,1,1561756.45320638
296,305.2171,6.55,1.765,2,1710340.5332031248
297,305.2171,6.67,1.325,3,1770406.726236979
298,305.2659,13.89,4.142,2,414332.2728678385
299,306.2198,6.39,3.312,3,259235.81933593747
300,308.0627,7.48,0.0,3,177065.97037760416
301,308.2969,15.83,2.565,1,566785.6819254558
302,308.2969,15.94,2.339,1,778465.9807942709
303,309.2108,10.67,5.217,2,698988.3629557291
304,309.2108,10.79,0.0,3,784876.3854166665
305,309.2231,6.12,1.037,1,315179.80700683594
306,310.2142,10.66,0.0,3,108238.34318033853
307,310.239,12.86,2.789,2,384115.0862223307
308,310.239,12.98,1.222,3,472604.49918619794
309,310.3135,16.45,2.612,2,419312.318359375
310,310.3135,16.57,0.0,1,584439.7096354166
311,311.1836,8.87,2.735,2,230430.96044921875
312,312.3308,17.08,5.192,1,876982.9319661456
313,312.3308,17.26,1.084,3,1051915.3200683594
314,313.1439,12.04,3.433,1,316498.7259114583
315,313.2692,15.38,4.401,3,1360177.3619791665
316,313.2692,15.51,0.097,2,3043228.12890625
317,313.2692,15.68,0.49,2,904162.6256510416
318,313.2692,15.81,0.151,3,1318483.3747558594
319,313.3318,17.08,0.0,2,164811.53287760416
320,314.2732,15.59,3.184,2,664778.5572916666
321,314.2732,15.72,0.0,1,845893.6884765625
322,315.1292,9.75,3.181,1,240941.8331705729
323,315.1796,5.69,2.165,1,145080.380086263
324,316.0001,0.61,11.043,1,1318890.765625
325,316.0001,0.78,1.847,1,1352410.0302734375
326,316.0001,21.07,0.0,1,100227.70458984375
327,316.1392,4.19,8.433,2,689151.5859375
328,317.1144,4.91,5.047,1,1035592.8365885415
329,318.2708,8.09,1.513,3,3013241.098307291
330,318.2708,8.23,3.578,2,2164549.9001464844
331,318.2708,8.35,1.949,3,2622961.45336914
332,318.2708,8.47,2.082,2,2988143.444335937
333,318.2708,8.6,2.088,1,3013241.098307291
334,319.2781,8.19,2.477,2,315696.4812825521
335,319.2781,8.3,1.323,2,348182.700398763
336,320.2117,13.55,3.737,2,955269.8404947915
337,320.2117,13.66,1.786,1,1212883.1809895833
338,320.2117,13.78,1.229,3,1378092.542154948
339,320.2758,14.39,2.813,2,304432.1416015625
340,321.2123,13.51,2.182,3,234542.82470703128
341,321.238,13.82,1.28,2,210079.9002685547
342,322.0743,7.52,0.0,3,146658.05932617188
343,322.1516,5.2,3.594,3,258664.91552734372
344,322.2934,13.9,7.478,3,1241302.1106770833
345,322.2934,14.01,2.385,3,1343239.8033854165
346,322.2934,14.14,0.984,2,1412016.6730143225
347,322.9903,0.63,0.0,1,226324.1075846354
348,323.3005,13.89,0.0,3,176333.6160481771
349,325.168,13.51,2.149,1,207318.65079752603
350,325.2071,10.36,0.0,3,204549.36909993488
351,325.2331,14.38,3.633,1,608584.4593505859
352,325.2331,14.51,1.53,3,719135.5276692706
353,326.2363,10.65,0.0,3,119151.5333658854
354,327.0071,8.8,0.0,2,273843.6007080078
355,327.0071,8.91,0.0,1,280346.18538411456
356,327.2557,13.89,0.0,2,136509.6331380208
357,329.0014,8.78,0.0,3,265977.81591796875
358,329.2778,12.23,0.0,1,2107899.552001953
359,329.2778,12.36,1.794,1,1570717.5764567053
360,329.2778,12.47,2.413,2,1969680.9908854165
361,329.2778,12.61,1.603,2,1995003.414876302
362,329.2778,12.74,0.0,2,2107899.552001953
363,330.2803,12.28,0.978,1,182689.5136311849
364,330.3332,13.65,3.317,3,306198.2419433594
365,331.2859,15.38,2.174,2,1353518.4453125
366,331.2859,15.59,3.458,3,26227072.271972656
367,331.2859,15.79,5.891,3,40995424.43229167
368,331.2859,15.99,4.093,1,41046750.26595052
369,331.4449,15.59,0.0,2,1435324.5589192708
370,332.1483,9.73,0.0,3,255523.51725260416
371,332.2945,15.59,3.436,3,5550005.3115234375
372,332.2945,15.72,1.866,2,6847009.984375
373,332.2945,15.84,0.48,3,715811.4938151041
374,332.2945,15.99,0.407,2,329758.521484375
375,332.3344,12.84,2.33,3,253748.75358072916
376,333.2929,15.59,3.602,2,757722.4352620442
377,333.2929,15.73,2.035,1,957394.9440104166
378,335.2315,9.81,2.216,1,226634.91471354166
379,335.2315,9.92,1.027,1,291944.2096354166
380,335.2315,10.58,3.18,2,772065.8453776042
381,335.2315,10.71,1.69,2,1095574.433268229
382,336.2387,10.58,0.0,2,181138.24466959634
383,336.306,14.64,2.211,3,174473.3821614583
384,337.2085,11.94,1.326,1,786935.7347005208
385,337.2085,12.13,3.556,2,1601633.6520996094
386,337.2085,12.26,1.505,2,2173732.5361328125
387,337.2085,12.39,0.81,3,2260254.6660156255
388,337.2085,12.51,0.932,2,212077.51009114578
389,338.2216,11.94,0.0,1,135270.17248535156
390,338.2216,12.13,2.584,3,293210.3425292969
