Average m/z,Average RT (min),Average sn,Average score,20181114_CoulterCreek_2,20181114_Crescent-Creek-May_2,20181114_SR518-Cal_1000mL_dil-to-160mL_3,20181114_SR520-Cal-in-DI_1000mL_dil-to-60mL_1,20181114_SR520-Cal-in-DI_400mL_2,20181114_SwanCreek-Dec_3
100.1116,5.59,inf,0.1,745722.56,0.0,0.0,0.0,0.0,0.0
100.11167,5.47,inf,0.4,0.0,658076.94,0.0,0.0,461195.97,691249.0
100.1118,5.34,1.649,0.6,0.0,0.0,136595.52,0.0,0.0,0.0
107.0703,13.76,inf,1.0,0.0,0.0,0.0,0.0,111404.836,0.0
114.0919,3.53,inf,0.6,0.0,0.0,0.0,0.0,123020.8,0.0
114.12833,4.723,inf,0.56666666,214279.94,149888.88,0.0,0.0,0.0,198296.64
115.0359,0.74,inf,0.6,0.0,0.0,0.0,0.0,214826.88,0.0
117.1111,4.73,inf,0.6,214279.94,0.0,0.0,0.0,0.0,0.0
117.1111,4.12,0.983,1.0,0.0,110013.55,0.0,0.0,0.0,0.0
117.1111,9.4,0.964,1.0,0.0,146885.1,0.0,0.0,0.0,0.0
117.1112,3.6,0.987,1.0,0.0,0.0,0.0,0.0,100346.195,0.0
120.0566,4.14,inf,0.1,0.0,0.0,0.0,0.0,571326.94,0.0
121.0499,4.14,inf,0.1,0.0,0.0,0.0,0.0,571326.94,0.0
124.02484,0.613,3.6293335,0.56666666,296009.06,786355.9,0.0,0.0,0.0,385467.28
124.02486,0.735,inf,0.35000002,0.0,938582.1,0.0,0.0,0.0,629515.9
125.1061,16.66,0.938,0.1,0.0,0.0,0.0,0.0,114710.87,0.0
126.0908,4.37,inf,0.1,0.0,0.0,0.0,0.0,112670.06,0.0
130.1232,5.5,inf,0.6,0.0,0.0,0.0,0.0,144718.92,0.0
130.15958,3.46,inf,0.65999997,1134879.9,1459311.8,1087997.8,0.0,1711654.8,1403458.4
130.15959,3.858,inf,0.18333334,1134879.9,1415917.2,1087997.8,1110037.8,1698800.0,1403458.4
130.15955,3.665,2.197,1.0,1085341.5,1423384.6,0.0,0.0,0.0,0.0
130.1596,3.625,2.3225,0.55,0.0,0.0,1076586.1,0.0,0.0,1391647.2
130.1596,3.757,3.4173336,0.56666666,0.0,0.0,1029238.44,0.0,1437527.8,1334001.6
134.0699,5.17,inf,1.0,0.0,0.0,0.0,0.0,2970888.5,0.0
134.06993,5.027,inf,0.8666666,0.0,0.0,501395.66,575966.5,2844811.2,0.0
136.0198,7.77,inf,1.0,0.0,0.0,0.0,0.0,117490.24,0.0
140.0668,0.71,inf,0.6,215558.03,0.0,0.0,0.0,0.0,0.0
142.03575,0.75,1.7219999,0.8,0.0,699748.1,0.0,0.0,0.0,515771.22
142.03577,0.617,1.9743333,0.1,332705.62,399735.9,0.0,0.0,0.0,274590.44
142.16086,5.492,6.99225,0.79999995,5824297.0,5188133.5,0.0,0.0,3836208.0,5378691.5
142.1609,5.365,3.786833,0.5833333,4604198.0,4079238.5,1143846.1,709063.0,3250238.0,4340884.0
142.16084,5.657,inf,0.26666668,5863305.5,5244599.0,0.0,0.0,0.0,5491186.5
142.16086,5.245,inf,0.54999995,5824297.0,5244599.0,0.0,0.0,3836208.0,5491186.5
