,peak width in min,half intensity width in min,left width,right width,assymetric factor,integration,sn,hw,ab,peak height,ma,mb,broad rate,skewness,variance,label
2,0.188133322,0.12912821353479575,0.049799997,0.13833332499999998,2.777777777777777,697342.7938639323,0.0,195821.0,0.557,36840.39453125,495241.0296923544,200363.69972538046,695604.7294177348,0.4045781502591721,0.003326864977762937,1
3,0.14386665799999998,0.14416065493842892,0.022133332000000002,0.121733326,5.5,179794.6885579427,0.0,59442.0,0.809,8551.689453125,236320.8070106737,33917.16919839888,270237.9762090725,0.14352172213455153,0.001033021325817976,1
4,0.182599989,0.1828487905194412,0.011066666000000001,0.17153332300000002,15.5,201843.8046875,1.212,39443.0,0.8490000000000001,7202.2275390625,486407.00274180743,20525.56519935029,506932.56794115773,0.04219833407753298,0.00011951836710971596,1
5,0.193666655,0.11513490155247096,0.038733331,0.15493332399999998,4.0,1166191.0590820312,0.0,308356.0,0.5579999999999999,59718.37109375,1278521.2268743278,325332.80808087665,1603854.034955204,0.2544602320574966,0.003226666660262305,1
6,0.199199988,0.16230412735430635,0.05533333,0.14386665799999998,2.6,9466836.904378254,2.161,1911141.0,0.691,380699.21875,8800544.038590536,1353117.777312152,10153661.815902688,0.15375387832601115,0.003628892695068164,1
7,0.254533318,0.2126510745138534,0.17153332300000002,0.082999995,0.4838709677419355,10956518.464274088,2.8,989168.0,0.946,251776.09375,884251.5501447612,1791126.3065575766,2675377.856702338,2.025584581971443,0.0028146512922913123,1
8,0.370733311,0.32901413569571514,0.298799982,0.07193332899999999,0.24074074074074076,12025781.465494793,5.492000000000001,158149.0,3.0610000000000004,58631.21875,102801.67006213652,668581.5326383653,771383.2027005018,6.503605751095811,0.0054073224250199324,1
9,0.105133327,0.10548283624839336,0.0055333330000000005,0.099599994,18.0,105203.037109375,0.0,53831.0,0.978,5659.4208984375,1022786.9709698479,27548.83146587552,1050335.8024357234,0.02693506296795373,2.7713186487902117e-05,1
10,0.243466652,0.24387244729537125,0.0055333330000000005,0.237933319,43.0,254047.37447102863,1.1159999999999999,24199.0,0.98,5891.724609375,1064769.5718611188,12218.132203091724,1076987.7040642104,0.011474907365859035,2.1093269497495568e-05,1
12,0.188133322,0.18831381433585465,0.0055333330000000005,0.182599989,33.0,207628.2784016927,1.033,30594.0,1.061,5755.736328125,1040193.3749739984,15510.171930039167,1055703.5469040377,0.014910854369195413,2.238653830866128e-05,1
13,0.13833332499999998,0.10192996894199564,0.038733331,0.099599994,2.571428571428572,282867.01497395826,0.0,130789.0,0.625,18092.466796875,345654.39669166174,119408.59648699092,465062.9931786527,0.3454566110828569,0.0017408218750180554,1
14,0.22133332,0.17628955946215547,0.038733331,0.182599989,4.714285714285714,669756.7683105469,0.0,87039.0,0.8690000000000001,19264.697265625,389968.7949678953,63542.42417374281,453511.21914163814,0.16294233024202368,0.003346270124276007,1
16,0.16599999,0.16399368457817354,0.0055333330000000005,0.16046665699999998,29.0,452293.84924316406,0.278,35140.0,2.585,5833.27490234375,1054206.371158893,18090.25240271885,1072296.623561612,0.01716006741908813,2.3191886609200416e-05,1
17,0.188133322,0.1880385307265072,0.027666665,0.16046665699999998,5.8,219834.5146484375,1.114,35138.0,0.978,6610.6435546875,135996.2935621955,20187.139728770417,156183.43329096588,0.14843889638461494,0.0015612107668469125,1
19,0.22133332,0.15120632160440736,0.044266664000000004,0.17706665600000002,4.0,1185549.9412434895,2.3680000000000003,211163.0,0.634,46737.43359375,1128737.9065489115,179066.6232691789,1307804.5298180904,0.15864322641264947,0.0042144217603426026,1
20,0.315399981,0.2755346517261117,0.193666655,0.121733326,0.6285714285714286,1407378.700520833,0.0,59546.0,1.315,18780.669921875,51158.115498572304,102091.5919430289,153249.7074416012,1.9956089263272028,0.004586654637212082,1
21,0.14939999099999998,0.14966076376530946,0.022133332000000002,0.127266659,5.750000000000001,174597.3326822917,0.0,55924.0,0.774,8355.107421875,231748.74314016977,31735.99858618516,263484.74172635487,0.13694140540382613,0.0010049801240806435,1
22,0.248999985,0.1797762993407801,0.082999995,0.16599999,2.0,2719236.129557292,2.8510000000000004,395493.0,0.614,98477.765625,1088459.3862941691,365982.0262089004,1454441.4125030697,0.33623856876731395,0.004860535632643478,1
23,0.398399976,0.2898023787128072,0.20473332100000002,0.193666655,0.945945945945946,3313019.439778645,5.756,125931.0,0.917,50170.87109375,138293.70884544286,231394.27649142308,369687.985336866,1.6732089870409756,0.008340142684819208,1
24,0.44266664,0.44329685686414494,0.398399976,0.044266664000000004,0.1111111111111111,3369330.340128581,0.0,20179.0,4.715,8932.6572265625,11319.586919002031,91653.73200792958,102973.3189269316,8.096914901909692,0.007316378564755302,1
